objective,method_label,method,seed,seed_count,configured_seeds,normalization,normalized_by_epsilon,normalization_eta,uses_jvp,weight_name,weight,steps_per_epoch,batch_forward_evaluations_per_epoch,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,best_val_relative_l2,latency_ms_per_sample,parameters,dataset_kind,dataset_sha256,config_hash,run_dir,config_path
augmentation baseline,Augmentation,aug,23,5,"23,31,47,59,71",not applicable,not applicable,,False,lambda_aug,1.0,6,12,0.47503660432994366,0.5000794478692114,0.36101822229102254,0.4799009971320629,15.727251562498168,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,a80a89b88ade,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\config.yaml
augmentation baseline,Augmentation,aug,31,5,"23,31,47,59,71",not applicable,not applicable,,False,lambda_aug,1.0,6,12,0.5449895411729813,0.5710898628458381,0.40780863957479596,0.5367149859666824,17.83517718749863,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,34da212d37da,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\config.yaml
augmentation baseline,Augmentation,aug,47,5,"23,31,47,59,71",not applicable,not applicable,,False,lambda_aug,1.0,6,12,0.5343834832310677,0.5534176761284471,0.39135398669168353,0.5305221825838089,14.519978750013252,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,f90b8d36ac40,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\config.yaml
augmentation baseline,Augmentation,aug,59,5,"23,31,47,59,71",not applicable,not applicable,,False,lambda_aug,1.0,6,12,0.40845455043017864,0.4483756138943136,0.3361896541900933,0.4054867662489414,14.0714009374733,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,e75174bb0507,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\config.yaml
augmentation baseline,Augmentation,aug,71,5,"23,31,47,59,71",not applicable,not applicable,,False,lambda_aug,1.0,6,12,0.5415244773030281,0.5652007795870304,0.41139928763732314,0.5324207618832588,31.628176562480803,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,803713d7b9f0,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71\config.yaml
tangent,Augmentation + tangent,aug_tangent,23,5,"23,31,47,59,71",not applicable (JVP tangent),not applicable,,True,lambda_tangent,0.1,4,,0.3974758442491293,0.42606472270563245,0.30100327520631254,0.4042790085077286,15.918109999984154,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,8e7632f5bc2f,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_23,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_23\config.yaml
tangent,Augmentation + tangent,aug_tangent,31,5,"23,31,47,59,71",not applicable (JVP tangent),not applicable,,True,lambda_tangent,0.1,4,,0.4236011188477278,0.4593129507265985,0.31542341434396803,0.42015911638736725,11.388252812685096,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,d37215b0b80d,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_31,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_31\config.yaml
tangent,Augmentation + tangent,aug_tangent,47,5,"23,31,47,59,71",not applicable (JVP tangent),not applicable,,True,lambda_tangent,0.1,4,,0.4330386482179165,0.459195030387491,0.31489166733808815,0.433413777500391,11.051120000047376,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,747e297100aa,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_47,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_47\config.yaml
tangent,Augmentation + tangent,aug_tangent,59,5,"23,31,47,59,71",not applicable (JVP tangent),not applicable,,True,lambda_tangent,0.1,4,,0.36283597722649574,0.40669785626232624,0.297832025680691,0.3627200871706009,12.66740406244935,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,ffcb8b53820d,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_59,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_59\config.yaml
tangent,Augmentation + tangent,aug_tangent,71,5,"23,31,47,59,71",not applicable (JVP tangent),not applicable,,True,lambda_tangent,0.1,4,,0.45794625021517277,0.493508733343333,0.34912379970774055,0.4552273117005825,15.15040999984194,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,e67d15a806fa,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_71,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_71\config.yaml
normalized finite,Augmentation + normalized finite,aug_orbit,23,5,"23,31,47,59,71",divide by epsilon^2 + eta,true,1e-06,False,lambda_orbit,0.1,4,12,0.35174218751490116,0.3743666750378907,0.2530845678411424,0.3566172644495964,20.235002812523817,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,15e40d4c8c80,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\config.yaml
normalized finite,Augmentation + normalized finite,aug_orbit,31,5,"23,31,47,59,71",divide by epsilon^2 + eta,true,1e-06,False,lambda_orbit,0.1,4,12,0.37398373521864414,0.4028443736024201,0.2692930868361145,0.3725278042256832,20.405752812484934,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,64f26f2dcb71,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\config.yaml
normalized finite,Augmentation + normalized finite,aug_orbit,47,5,"23,31,47,59,71",divide by epsilon^2 + eta,true,1e-06,False,lambda_orbit,0.1,4,12,0.37636843882501125,0.3974168375134468,0.2666297974064946,0.3768513724207878,13.967314374986017,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,afbda1a47533,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\config.yaml
normalized finite,Augmentation + normalized finite,aug_orbit,59,5,"23,31,47,59,71",divide by epsilon^2 + eta,true,1e-06,False,lambda_orbit,0.1,4,12,0.3189374580979347,0.3558515668846667,0.2533877780660987,0.31855708360671997,15.312148125030944,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,44dfdafc5390,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\config.yaml
