run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,mae,mae_std,mae_stderr,method,model_name,num_batches,num_samples,oracle_canonical_ood_relative_l2,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_stderr,orbit_control,orbit_ood_mae,orbit_ood_mae_std,orbit_ood_mae_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,train_wall_seconds,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.smoothness,config.dataset.amplitude,config.dataset.max_boost,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes1,config.model.modes2,config.model.depth,config.model.add_grid,config.symmetry.name,config.symmetry.max_boost,config.symmetry.final_time,config.symmetry.length,config.symmetry.boost_x_channel,config.symmetry.boost_y_channel,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_orbit,config.training.lambda_aug,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.eval_every,config.training.eval_orbit_samples,config.training.data_fraction,config.training.num_workers,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.steps_per_epoch,config.training.lambda_tangent,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,data_fraction,steps_per_epoch,lambda_orbit,config.runtime.resume
runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_23,0.4042790085077286,8e7632f5bc2f,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,8e7632f5bc2f,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19225013302639127,0.06968805066579263,0.0021777515833060197,0.30100327520631254,0.1408241943976606,0.004400756074926894,16.45864490000531,254.68975999974646,15.918109999984154,20,5,0.29152148589491844,0.060607470774506164,0.0037879669234066353,aug_tangent,fno2d,16,256,0.3974758395925164,0.08518885027094125,0.002662151570966914,physical,0.3117498909123242,0.09214879566592997,0.0028796498645603115,0.42606472270563245,0.12884156491388254,0.0040262989035588295,2668609,2668609,0.3974758442491293,0.08518885724169636,0.005324303577606023,23,1822.9919201000594,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,0.5,8,True,31,fno2d,3,1,48,12,12,4,False,navier_stokes2d_galilean,0.25,0.5,1.0,1,2,aug_tangent,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,0.1,False,auto,runs/ablations/2d_galilean_n64_2pct_tangent_baseline/fraction_0.02/aug_tangent_lambda_0.1_steps_4/seed_23,False,0.02,4,0.05,
runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_31,0.42015911638736725,d37215b0b80d,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,d37215b0b80d,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19283841690048575,0.07128097322041756,0.0022275304131380486,0.31542341434396803,0.15939211791096314,0.004981003684717598,15.42958770005498,182.21204500296153,11.388252812685096,20,5,0.3106911536306143,0.06748781141558602,0.004217988213474126,aug_tangent,fno2d,16,256,0.4236011207103729,0.09463821939115978,0.002957444355973743,physical,0.3366110771894455,0.10352991883378991,0.0032353099635559347,0.4593129507265985,0.14268587855709933,0.004458933704909354,2668609,2668609,0.4236011188477278,0.09463822526815024,0.00591488907925939,31,1682.5031290999614,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,0.5,8,True,31,fno2d,3,1,48,12,12,4,False,navier_stokes2d_galilean,0.25,0.5,1.0,1,2,aug_tangent,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,0.1,False,auto,runs/ablations/2d_galilean_n64_2pct_tangent_baseline/fraction_0.02/aug_tangent_lambda_0.1_steps_4/seed_31,False,0.02,4,0.05,
runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_47,0.433413777500391,747e297100aa,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,747e297100aa,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.18829658185131848,0.06982046111387631,0.0021818894098086347,0.31489166733808815,0.1523131317997517,0.004759785368742241,15.47121019999031,176.81792000075802,11.051120000047376,20,5,0.31626851111650467,0.07043866630868711,0.004402416644292945,aug_tangent,fno2d,16,256,0.43303863890469074,0.09985186367429864,0.0031203707398218326,physical,0.33541556634008884,0.09810892820165622,0.003065904006301757,0.459195030387491,0.13670133397817635,0.004271916686818011,2668609,2668609,0.4330386482179165,0.09985183727516067,0.006240739829697542,47,1753.7125342000509,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,0.5,8,True,31,fno2d,3,1,48,12,12,4,False,navier_stokes2d_galilean,0.25,0.5,1.0,1,2,aug_tangent,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,0.1,False,auto,runs/ablations/2d_galilean_n64_2pct_tangent_baseline/fraction_0.02/aug_tangent_lambda_0.1_steps_4/seed_47,False,0.02,4,0.05,
runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_59,0.3627200871706009,ffcb8b53820d,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,ffcb8b53820d,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19502086704596877,0.06897388736061734,0.002155433980019292,0.297832025680691,0.16882884505862591,0.00527590140808206,18.219249099958688,202.6784649991896,12.66740406244935,20,5,0.2653297446668148,0.08631821323468412,0.005394888327167758,aug_tangent,fno2d,16,256,0.36283597256988287,0.12040088637463865,0.003762527699207458,physical,0.29662781092338264,0.12665706972650656,0.00395803342895333,0.40669785626232624,0.17503209083001153,0.00546975283843786,2668609,2668609,0.36283597722649574,0.12040089409682472,0.007525055881051545,59,1726.9381930000382,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_59\config.yaml,59,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,0.5,8,True,31,fno2d,3,1,48,12,12,4,False,navier_stokes2d_galilean,0.25,0.5,1.0,1,2,aug_tangent,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,0.1,False,auto,runs/ablations/2d_galilean_n64_2pct_tangent_baseline/fraction_0.02/aug_tangent_lambda_0.1_steps_4/seed_59,False,0.02,4,0.05,
runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_71,0.4552273117005825,e67d15a806fa,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,e67d15a806fa,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19029024778865278,0.07178788323667873,0.0022433713511462103,0.34912379970774055,0.17061366162136105,0.005331676925667533,16.726761500001885,242.40655999747105,15.15040999984194,20,5,0.33670672588050365,0.06548369371984626,0.004092730857490391,aug_tangent,fno2d,16,256,0.4579462534748018,0.09050712724840033,0.0028283477265125105,physical,0.36259853187948465,0.10340217054759696,0.003231317829612405,0.493508733343333,0.1422002852492008,0.004443758914037525,2668609,2668609,0.45794625021517277,0.09050710772624378,0.005656694232890236,71,1750.1468018000014,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\aug_tangent_lambda_0.1_steps_4\seed_71\config.yaml,71,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,0.5,8,True,31,fno2d,3,1,48,12,12,4,False,navier_stokes2d_galilean,0.25,0.5,1.0,1,2,aug_tangent,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,0.1,False,auto,runs/ablations/2d_galilean_n64_2pct_tangent_baseline/fraction_0.02/aug_tangent_lambda_0.1_steps_4/seed_71,False,0.02,4,0.05,
runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\tangent_lambda_0.1_steps_4\seed_23,0.5030351877212524,0dbe25f81a9e,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,0dbe25f81a9e,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19225013302639127,0.06968805066579263,0.0021777515833060197,0.33047680114395916,0.15872016619674462,0.004960005193648269,18.599428099929355,286.5703499992378,17.910646874952363,20,5,0.36036299727857113,0.08059928146221743,0.005037455091388589,tangent,fno2d,16,256,0.4914162396453321,0.11147766857289457,0.0034836771429029552,physical,0.3915864545851946,0.12321872622385592,0.0038505851944954975,0.533720251172781,0.16863810821027347,0.005269940881571046,2668609,2668609,0.49141624569892883,0.11147765441892073,0.006967353401182545,23,1258.1995592999738,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\tangent_lambda_0.1_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,0.5,8,True,31,fno2d,3,1,48,12,12,4,False,navier_stokes2d_galilean,0.25,0.5,1.0,1,2,tangent,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,0.1,False,auto,runs/ablations/2d_galilean_n64_2pct_tangent_baseline/fraction_0.02/tangent_lambda_0.1_steps_4/seed_23,False,0.02,4,0.05,True
runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\tangent_lambda_0.1_steps_4\seed_31,0.469816867262125,7887c42f8891,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,7887c42f8891,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19283841690048575,0.07128097322041756,0.0022275304131380486,0.31346450047567487,0.17673862127102408,0.005523081914719502,16.61849959997926,187.32011000392959,11.707506875245599,20,5,0.35329065285623074,0.08414916592700679,0.005259322870437924,tangent,fno2d,16,256,0.4816417037509382,0.117153647500592,0.0036610514843935,physical,0.3890041643753648,0.1309457430141257,0.004092054469191428,0.5299838916398585,0.17890006973226505,0.005590627179133283,2668609,2668609,0.48164170794188976,0.1171536441825342,0.007322102761408387,31,1225.239549800055,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\tangent_lambda_0.1_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,0.5,8,True,31,fno2d,3,1,48,12,12,4,False,navier_stokes2d_galilean,0.25,0.5,1.0,1,2,tangent,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,0.1,False,auto,runs/ablations/2d_galilean_n64_2pct_tangent_baseline/fraction_0.02/tangent_lambda_0.1_steps_4/seed_31,False,0.02,4,0.05,
runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\tangent_lambda_0.1_steps_4\seed_47,0.5064689554274082,19f4441c861a,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,19f4441c861a,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.18829658185131848,0.06982046111387631,0.0021818894098086347,0.3445634036324918,0.17368113821945186,0.005427535569357871,15.896639300044626,189.33853000053205,11.833658125033253,20,5,0.36769975908100605,0.08713543496397709,0.005445964685248568,tangent,fno2d,16,256,0.501974930986762,0.12125501173338102,0.003789219116668157,physical,0.393384151160717,0.12181721463127425,0.0038067879572273203,0.537427591625601,0.1677558154234474,0.005242369231982731,2668609,2668609,0.501974930986762,0.12125506357805074,0.007578441473628171,47,1242.537460200023,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\tangent_lambda_0.1_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,0.5,8,True,31,fno2d,3,1,48,12,12,4,False,navier_stokes2d_galilean,0.25,0.5,1.0,1,2,tangent,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,0.1,False,auto,runs/ablations/2d_galilean_n64_2pct_tangent_baseline/fraction_0.02/tangent_lambda_0.1_steps_4/seed_47,False,0.02,4,0.05,
runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\tangent_lambda_0.1_steps_4\seed_59,0.45011866092681885,118e13ea68c7,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,118e13ea68c7,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19502086704596877,0.06897388736061734,0.002155433980019292,0.3440962606109679,0.19388066580908583,0.006058770806533932,18.592579099931754,193.57844999758527,12.09865312484908,20,5,0.32576990127563477,0.11640407637716117,0.007275254773572573,tangent,fno2d,16,256,0.4455641461536288,0.16160533346330644,0.005050166670728326,physical,0.3662609625607729,0.1650619773203103,0.005158186791259697,0.5003274772316217,0.22642908114246518,0.007075908785702037,2668609,2668609,0.44556414894759655,0.16160533512480693,0.010100333445300433,59,1289.6872144000372,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\tangent_lambda_0.1_steps_4\seed_59\config.yaml,59,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,0.5,8,True,31,fno2d,3,1,48,12,12,4,False,navier_stokes2d_galilean,0.25,0.5,1.0,1,2,tangent,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,0.1,False,auto,runs/ablations/2d_galilean_n64_2pct_tangent_baseline/fraction_0.02/tangent_lambda_0.1_steps_4/seed_59,False,0.02,4,0.05,
runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\tangent_lambda_0.1_steps_4\seed_71,0.5260877534747124,065a3f274e48,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,065a3f274e48,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19029024778865278,0.07178788323667873,0.0022433713511462103,0.3134227185510099,0.161988408541233,0.005062137766913531,22.631109999958426,617.8325349988881,38.61453343743051,20,5,0.38966057263314724,0.08415653416833813,0.005259783385521133,tangent,fno2d,16,256,0.5303719756193459,0.11666806432578679,0.003645877010180837,physical,0.4209602540358901,0.1205715665749156,0.0037678614554661127,0.572879561688751,0.16605339017384463,0.005189168442932645,2668609,2668609,0.5303719751536846,0.11666808839501686,0.0072917555246885535,71,1577.2853067000397,runs\ablations\2d_galilean_n64_2pct_tangent_baseline\fraction_0.02\tangent_lambda_0.1_steps_4\seed_71\config.yaml,71,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,0.5,8,True,31,fno2d,3,1,48,12,12,4,False,navier_stokes2d_galilean,0.25,0.5,1.0,1,2,tangent,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,0.1,False,auto,runs/ablations/2d_galilean_n64_2pct_tangent_baseline/fraction_0.02/tangent_lambda_0.1_steps_4/seed_71,False,0.02,4,0.05,
