run_dir,method,seed,force_mae,orbit_ood_force_mae,equivariance_defect_relative,relative_l2,orbit_ood_relative_l2,latency_ms_per_sample,train_wall_seconds,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.lambda_orbit,dataset_sha256,config_hash
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_steps_24\seed_23,aug,23,20.03110304260254,20.162287914276124,0.7525510153770447,0.9877763214111328,0.9902221326828002,0.012126125002396293,41.78457730001537,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,250cc51b3a45
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_steps_24\seed_31,aug,31,19.814739013671876,19.94567761993408,0.7154269915819168,0.976484748840332,0.9785436441898346,0.0159261874796357,40.904645399947185,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,1d88f61edd9c
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_steps_24\seed_47,aug,47,19.94479931640625,20.042982486724853,0.7346422321796418,0.9830515518188476,0.9848432147502899,0.013619624987768475,40.50042009999743,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,08ec2623331e
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_steps_24\seed_59,aug,59,19.83252764892578,20.020945838928224,0.7448644702434539,0.9779680700302124,0.9826495473384858,0.013235812511993572,40.92098059999989,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,0a854fc61907
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_steps_24\seed_71,aug,71,19.94434049987793,20.09561197280884,0.7386540479660034,0.9834681396484375,0.9878261995315551,0.01315825000347104,40.084624799957965,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,dbc77bba27a5
runs\appendix\rmd17_ethanol\normalized_loco_500_5seed\aug_loco_lambda_0.03_steps_16\seed_23,aug_orbit,23,19.426571701049806,19.540631229400635,0.2594334477186203,0.954528829574585,0.9569085686206817,0.011393749991839286,30.562223799992353,True,0.001,0.03,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,ea9b7000a30b
runs\appendix\rmd17_ethanol\normalized_loco_500_5seed\aug_loco_lambda_0.03_steps_16\seed_31,aug_orbit,31,19.20621286010742,19.3110467376709,0.25391453260183333,0.9436874656677247,0.9460186262130738,0.013738187517446931,33.062356899958104,True,0.001,0.03,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,50289608f5e7
runs\appendix\rmd17_ethanol\normalized_loco_500_5seed\aug_loco_lambda_0.03_steps_16\seed_47,aug_orbit,47,19.572569213867187,19.655538986206054,0.2629536921977997,0.9622717695236206,0.9639000399112702,0.011186562514922116,31.41095839999616,True,0.001,0.03,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,046c5cd49901
runs\appendix\rmd17_ethanol\normalized_loco_500_5seed\aug_loco_lambda_0.03_steps_16\seed_59,aug_orbit,59,19.339808609008788,19.45674251174927,0.2655022023320198,0.9501290655136109,0.9527917337417603,0.012445249994925689,32.731245399976615,True,0.001,0.03,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,a4deb595ba75
runs\appendix\rmd17_ethanol\normalized_loco_500_5seed\aug_loco_lambda_0.03_steps_16\seed_71,aug_orbit,71,19.297694122314454,19.38528429031372,0.26198362773656847,0.9481608867645264,0.950700227022171,0.011091500018665101,30.623560000036377,True,0.001,0.03,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,420115589c2f
