split,max_boost,sample_index,closure_residual_relative,closure_abs_l2,closure_reference_l2,delta_boost,delta_boost_norm
test,0.35,52,3.478460541828099e-07,1.335312049377535e-06,3.838801860809326,-0.007245534565299749,0.007245534565299749
test,0.35,58,6.378747343660507e-07,3.983253009209875e-06,6.244569301605225,0.3449198603630066,0.3449198603630066
test,0.35,65,2.7648329137264227e-07,1.1133948873975896e-06,4.0269880294799805,0.06195639818906784,0.06195639818906784
test,0.35,87,2.8077445790586353e-07,1.3844604609403177e-06,4.930863380432129,-0.10033244639635086,0.10033244639635086
test,0.35,91,3.7144116049603326e-07,1.982264166144887e-06,5.336684226989746,0.33001863956451416,0.33001863956451416
test,0.35,96,2.1026352214903454e-07,1.2535507494249032e-06,5.961808204650879,0.3495402932167053,0.3495402932167053
test,0.35,98,2.2434254276504362e-07,9.276842547478736e-07,4.135124206542969,-0.051847103983163834,0.051847103983163834
test,0.35,120,3.071560001899343e-07,1.4785063058297965e-06,4.813535690307617,0.09016669541597366,0.09016669541597366
test,0.35,137,2.0997380545395572e-07,1.2176257087048725e-06,5.798941135406494,-0.3388805389404297,0.3388805389404297
test,0.35,143,1.994858820353329e-07,9.914123211274273e-07,4.969837188720703,-0.25831207633018494,0.25831207633018494
test,0.35,166,5.163462901691673e-07,2.688411541384994e-06,5.206605434417725,-0.04567127302289009,0.04567127302289009
test,0.35,185,4.0828697933648073e-07,2.1818821096530883e-06,5.343991279602051,-0.2896798849105835,0.2896798849105835
test,0.35,192,2.2369083296780445e-07,1.3208673408371396e-06,5.904879093170166,-0.33207008242607117,0.33207008242607117
test,0.35,227,5.918166721130547e-07,2.5417170945729595e-06,4.294771194458008,0.0013183295959606767,0.0013183295959606767
test,0.35,251,2.499354252449848e-07,1.164355012406304e-06,4.658623218536377,0.13566327095031738,0.13566327095031738
test,0.35,261,2.2390867115973379e-07,7.99803956397227e-07,3.572009801864624,0.23185840249061584,0.23185840249061584
test,0.35,265,4.351265943114413e-07,1.896816911539645e-06,4.359230041503906,0.04266536235809326,0.04266536235809326
test,0.35,271,5.406170657806797e-07,2.4130495148710907e-06,4.463509559631348,0.0391155481338501,0.0391155481338501
test,0.35,276,3.098965919434704e-07,1.8961444538945216e-06,6.118636131286621,-0.333518922328949,0.333518922328949
test,0.35,281,2.0669773448389606e-07,8.451826261079987e-07,4.0889787673950195,-0.054914891719818115,0.054914891719818115
test,0.35,283,2.6962689503307047e-07,9.749004448167398e-07,3.615738868713379,-0.07288434356451035,0.07288434356451035
test,0.35,286,3.6661020885730977e-07,1.4122696256890777e-06,3.8522374629974365,-0.11217646300792694,0.11217646300792694
test,0.35,287,2.3039147833969764e-07,9.248352057511511e-07,4.014190196990967,0.12716662883758545,0.12716662883758545
test,0.35,301,2.8339107416286424e-07,1.759376914378663e-06,6.2083001136779785,-0.3116094172000885,0.3116094172000885
test,0.35,310,2.0406586997978593e-07,9.581830227034516e-07,4.695459365844727,-0.015083414502441883,0.015083414502441883
test,0.35,334,3.9308537225224427e-07,1.9063847958022961e-06,4.849798202514648,0.34835973381996155,0.34835973381996155
test,0.35,343,2.252579776040875e-07,1.1443715948189492e-06,5.080271244049072,-0.05519865080714226,0.05519865080714226
test,0.35,381,1.7384030570610776e-07,8.650800964460359e-07,4.976291656494141,-0.27787819504737854,0.27787819504737854
test,0.35,422,2.155757670152525e-07,1.00358829513425e-06,4.655385494232178,0.03798776865005493,0.03798776865005493
test,0.35,426,1.9802362771770277e-07,1.1781810371758183e-06,5.949699401855469,-0.31640008091926575,0.31640008091926575
test,0.35,434,4.1427983887842856e-07,2.0323636817920487e-06,4.90577507019043,0.08640655875205994,0.08640655875205994
test,0.35,493,3.774000845169212e-07,2.2101464765000856e-06,5.856242656707764,-0.21470583975315094,0.21470583975315094
test,0.525,52,4.859646764998615e-07,1.8660535943126888e-06,3.839895725250244,-0.01086830161511898,0.01086830161511898
test,0.525,58,2.0642430342832085e-07,1.5724842796771554e-06,7.617728233337402,0.5173797607421875,0.5173797607421875
test,0.525,65,2.254780326893524e-07,9.250318839804095e-07,4.102536678314209,0.09293459355831146,0.09293459355831146
test,0.525,87,3.9121331951719185e-07,1.9918895759474253e-06,5.091568946838379,-0.1504986584186554,0.1504986584186554
test,0.525,91,1.614560005691601e-07,1.0939303365375963e-06,6.7754082679748535,0.49502795934677124,0.49502795934677124
test,0.525,96,2.885454364331963e-07,2.141693357771146e-06,7.422378063201904,0.5243104100227356,0.5243104100227356
test,0.525,98,4.2327812366238504e-07,1.7721838503348408e-06,4.186807155609131,-0.0777706578373909,0.0777706578373909
test,0.525,120,3.2798800475575263e-07,1.622494437469868e-06,4.946810245513916,0.1352500468492508,0.1352500468492508
test,0.525,137,2.2701510715705808e-07,1.637062609916029e-06,7.211249828338623,-0.5083208084106445,0.5083208084106445
test,0.525,143,1.6926775003867078e-07,1.006756178867363e-06,5.947713851928711,-0.3874680995941162,0.3874680995941162
test,0.525,166,6.717789915455796e-07,3.519152869557729e-06,5.2385573387146,-0.06850690394639969,0.06850690394639969
test,0.525,185,1.5240745199207595e-07,9.875315072349622e-07,6.479548454284668,-0.43451982736587524,0.43451982736587524
test,0.525,192,2.8360233272906044e-07,2.055107188425609e-06,7.246439456939697,-0.49810513854026794,0.49810513854026794
test,0.525,227,1.9485858615553298e-07,8.368793373847438e-07,4.294803619384766,0.0019774942193180323,0.0019774942193180323
test,0.525,251,1.9929669292650942e-07,9.894332606563694e-07,4.964624404907227,0.20349490642547607,0.20349490642547607
test,0.525,261,2.532619021167193e-07,1.1705135420925217e-06,4.621751308441162,0.3477875888347626,0.3477875888347626
test,0.525,265,4.2560100155242253e-07,1.8694562413656968e-06,4.3925089836120605,0.06399804353713989,0.06399804353713989
test,0.525,271,4.669738018492353e-07,2.0971085632481845e-06,4.490848541259766,0.05867331847548485,0.05867331847548485
test,0.525,276,2.4324705805156555e-07,1.8078230823448393e-06,7.432044982910156,-0.5002784132957458,0.5002784132957458
test,0.525,281,2.1240073522221792e-07,8.809446399027365e-07,4.14755916595459,-0.08237233012914658,0.08237233012914658
test,0.525,283,2.1089991264489072e-07,7.869565479268203e-07,3.731421947479248,-0.10932651162147522,0.10932651162147522
test,0.525,286,2.2279277800407726e-07,9.14620784442377e-07,4.105253219604492,-0.16826468706130981,0.16826468706130981
test,0.525,287,2.4979075874398404e-07,1.080215383808536e-06,4.324481010437012,0.19074992835521698,0.19074992835521698
test,0.525,301,7.51225343265105e-07,5.52439587409026e-06,7.353846549987793,-0.46741414070129395,0.46741414070129395
test,0.525,310,1.6648705525312835e-07,7.823781515980954e-07,4.699333190917969,-0.022625120356678963,0.022625120356678963
test,0.525,334,1.7696665111088805e-07,1.1596009699132992e-06,6.552652359008789,0.5225395560264587,0.5225395560264587
test,0.525,343,3.4476875043765176e-07,1.7679832353678648e-06,5.128026485443115,-0.08279797434806824,0.08279797434806824
test,0.525,381,2.8179798050587124e-07,1.7168432577818749e-06,6.092461109161377,-0.4168172776699066,0.4168172776699066
test,0.525,422,3.9406205587511067e-07,1.844256985350512e-06,4.680118083953857,0.0569816492497921,0.0569816492497921
test,0.525,426,2.8700603138531733e-07,2.0579827832989395e-06,7.170520782470703,-0.4746001362800598,0.4746001362800598
test,0.525,434,2.603169662052096e-07,1.3083667909086216e-06,5.026052474975586,0.1296098381280899,0.1296098381280899
test,0.525,493,3.184653678545146e-07,2.055800905509386e-06,6.45533561706543,-0.322058767080307,0.322058767080307
test,0.7,52,2.439792297082022e-07,9.372282647746033e-07,3.841426372528076,-0.014491069130599499,0.014491069130599499
test,0.7,58,1.7409541896995506e-07,1.6020469502109336e-06,9.202119827270508,0.6898397207260132,0.6898397207260132
test,0.7,65,2.2926852238924766e-07,9.643092653277563e-07,4.20602560043335,0.12391279637813568,0.12391279637813568
test,0.7,87,2.657655500115652e-07,1.4107868082646746e-06,5.308388710021973,-0.20066489279270172,0.20066489279270172
