run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.modes,config.dataset.amplitude,config.dataset.mean,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_aug,config.training.eval_every,config.training.eval_orbit_samples,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.data_fraction,config.training.stop_after_epochs,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,config.runtime.resume,data_fraction,config.training.lambda_orbit,lambda_orbit,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.num_workers
runs\final_1d\four_method\aug\seed_23,0.0023701862373854965,01237cbdd3e7,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,01237cbdd3e7,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.00253133656326332,0.004312153391912215,9.52860282793031e-05,2.1964186999830417,24.923265000688843,0.7788520312715264,20,5,aug,fno1d,16,512,0.003987836898886599,0.004852486108585066,0.00010722580728106317,287361,287361,0.002540455010603182,0.0041449124273893415,0.0001831809803019623,23,runs\final_1d\four_method\aug\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,1.0,25,False,auto,runs/final_1d/four_method/aug/seed_23,False,True,1.0,,,,,
runs\final_1d\four_method\aug\seed_31,0.002271200151881203,09f2f1992816,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,09f2f1992816,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.003021963014589346,0.004430432576912853,9.789965371015214e-05,2.185154699953273,24.6302800020203,0.7696962500631344,20,5,aug,fno1d,16,512,0.004400849462399492,0.005036113377845709,0.00011128343500934345,287361,287361,0.0026407567420392297,0.004007263582800152,0.00017709770333749298,31,runs\final_1d\four_method\aug\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,1.0,25,False,auto,runs/final_1d/four_method/aug/seed_31,False,True,1.0,,,,,
runs\final_1d\four_method\aug\seed_47,0.0021490512444870546,6d12e23c6773,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,6d12e23c6773,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.0024047047425796997,0.004090101637943414,9.037933137287477e-05,2.326483900018502,24.070409999694675,0.7522003124904586,20,5,aug,fno1d,16,512,0.0037581717133434722,0.004534853728817814,0.00010020705697925554,287361,287361,0.0023540331167168915,0.0035344226710781737,0.00015620088989367793,47,runs\final_1d\four_method\aug\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,1.0,25,False,auto,runs/final_1d/four_method/aug/seed_47,False,True,1.0,,,,,
runs\final_1d\four_method\aug_orbit\seed_23,0.0022649046877631918,cbc52ccb2be2,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,cbc52ccb2be2,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0022716440844798846,0.004176681559914624,9.229249543351368e-05,2.665902500040829,29.598184998030774,0.9249432811884617,20,5,aug_orbit,fno1d,16,512,0.003830133236988331,0.004887414061170209,0.00010799761328499808,287361,287361,0.0026533471900620498,0.004231149612545022,0.00018699216145283862,23,runs\final_1d\four_method\aug_orbit\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,1.0,25,False,auto,runs/final_1d/four_method/aug_orbit/seed_23,False,True,1.0,0.25,0.25,,,
runs\final_1d\four_method\aug_orbit\seed_31,0.0023263810289790854,4b0437406fd1,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,4b0437406fd1,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.00250312870413838,0.0040620317247840885,8.975906806217863e-05,2.7716677999706008,31.43071499944199,0.9822098437325621,20,5,aug_orbit,fno1d,16,512,0.003946766830267734,0.005170393265591069,0.00011425062935939695,287361,287361,0.0026580190315144137,0.004603542479473036,0.0002034497565447323,31,runs\final_1d\four_method\aug_orbit\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,1.0,25,False,auto,runs/final_1d/four_method/aug_orbit/seed_31,False,True,1.0,0.25,0.25,,,
runs\final_1d\four_method\aug_orbit\seed_47,0.002235871404991485,1b0fe9d30bfa,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,1b0fe9d30bfa,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.0020731450065500923,0.0038018393495406724,8.400957453256444e-05,2.5132535999873653,27.825355000095442,0.8695423437529826,20,5,aug_orbit,fno1d,16,512,0.0036426227325137006,0.00465961752465653,0.00010296397341938458,287361,287361,0.0026531382609391585,0.004146406454274224,0.00018324700758581074,47,runs\final_1d\four_method\aug_orbit\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,1.0,25,False,auto,runs/final_1d/four_method/aug_orbit/seed_47,False,True,1.0,0.25,0.25,,,
runs\final_1d\four_method\baseline\seed_23,0.0020556941453833133,830c65a064c2,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,830c65a064c2,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.34561104022464306,0.44319866639819433,0.009793399450718677,1.8879879000014625,20.980035001412034,0.6556260937941261,20,5,baseline,fno1d,16,512,0.3467748964958446,0.44231913778848003,0.009773964430588158,287361,287361,0.0022395967098418623,0.003925006416178573,0.0001734624158175361,23,runs\final_1d\four_method\baseline\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",baseline,150,32,0.001,0.0001,,10,4,1.0,20,5,1.0,25,False,auto,runs/final_1d/four_method/baseline/seed_23,False,True,1.0,,,,,
runs\final_1d\four_method\baseline\seed_31,0.0021958140278002247,1715ec91bb8b,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,1715ec91bb8b,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.41877802805863595,0.45751126072934983,0.010109666091591557,2.239571899990551,24.727250001160428,0.7727265625362634,20,5,baseline,fno1d,16,512,0.41995289014084847,0.4564963928713813,0.01008724046832975,287361,287361,0.0025478020615992136,0.00491197311930724,0.00021708059385426175,31,runs\final_1d\four_method\baseline\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",baseline,150,32,0.001,0.0001,,10,4,1.0,20,5,1.0,25,False,auto,runs/final_1d/four_method/baseline/seed_31,False,True,1.0,,,,,
runs\final_1d\four_method\baseline\seed_47,0.0020290075190132484,a62a1a0e540d,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,a62a1a0e540d,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.3568972807110047,0.4444224324891595,0.00982044111639079,2.204911599983461,26.047425001161173,0.8139820312862867,20,5,baseline,fno1d,16,512,0.3581579707115452,0.4434892776347068,0.00979982111246952,287361,287361,0.0023707084110355936,0.004410823013485573,0.0001949326789655832,47,runs\final_1d\four_method\baseline\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",baseline,150,32,0.001,0.0001,,10,4,1.0,20,5,1.0,25,False,auto,runs/final_1d/four_method/baseline/seed_47,False,True,1.0,,,,,
runs\final_1d\four_method\orbit\seed_23,0.0026345083315391093,d8488e09f743,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,d8488e09f743,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0158495239894485,0.025144641684333096,0.0005556233326718082,2.2544083999819122,24.967565000406466,0.7802364062627021,20,5,orbit,fno1d,16,512,0.0173984424181981,0.024463791806481738,0.0005405785337468479,287361,287361,0.002793292784190271,0.004604886482286684,0.00020350915363869882,23,runs\final_1d\four_method\orbit\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5, 'length': 1.0, 'channel': 0}]","[0.5, 0.5]",orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,1.0,25,False,auto,runs/final_1d/four_method/orbit/seed_23,False,True,1.0,0.05,0.05,True,1e-06,0.0
