source_method,trainable,beta_l2_initial,epochs,before_relative_l2,before_relative_l2,before_relative_l2,after_relative_l2,after_relative_l2,after_relative_l2,relative_l2_delta_pct,relative_l2_delta_pct,relative_l2_delta_pct,before_orbit_ood_relative_l2,before_orbit_ood_relative_l2,before_orbit_ood_relative_l2,after_orbit_ood_relative_l2,after_orbit_ood_relative_l2,after_orbit_ood_relative_l2,orbit_ood_delta_pct,orbit_ood_delta_pct,orbit_ood_delta_pct,before_equivariance_defect_relative,before_equivariance_defect_relative,before_equivariance_defect_relative,after_equivariance_defect_relative,after_equivariance_defect_relative,after_equivariance_defect_relative,defect_delta_pct,defect_delta_pct,defect_delta_pct
,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
aug,projector,0.01,1,0.0025117482897864343,0.00014550143021473756,3,0.0028243812970079793,4.276433760236427e-05,3,12.750774618554901,7.924723058279558,3,0.00403447056881608,0.00029803334586202035,3,0.004320735859740428,0.00013759626311270312,3,7.320168178111046,4.670046968727457,3,0.002599559724408914,0.0002343401201753074,3,0.0026568271979738136,0.0002081248455226695,3,2.2746261771839693,1.2820634559645157,3
aug,projector,0.01,3,0.0025117482897864343,0.00014550143021473756,3,0.0032192809643068663,8.73156185531689e-05,3,28.34183829539262,4.79342635006792,3,0.00403447056881608,0.00029803334586202035,3,0.004700119994595298,0.0002647984777899161,3,16.64242043145785,4.398138687262204,3,0.002599559724408914,0.0002343401201753074,3,0.0027646447776075167,0.000211876106522749,3,6.4673555230722855,3.5152959930518284,3
aug,projector,0.01,5,0.0025117482897864343,0.00014550143021473756,3,0.0035754463848813125,7.369974783851257e-05,3,42.57369346230592,6.021451597323015,3,0.00403447056881608,0.00029803334586202035,3,0.005050627771197469,0.0002739234415292738,3,25.328966715242956,3.7538522861780126,3,0.002599559724408914,0.0002343401201753074,3,0.002879270623351582,0.00023273461268430066,3,10.835358831449037,2.3625288242083573,3
aug,projector,0.1,1,0.0025117482897864343,0.00014550143021473756,3,0.002822231084185963,4.8472616515907505e-05,3,12.673659817674897,8.153145528160536,3,0.00403447056881608,0.00029803334586202035,3,0.004319294700205016,0.00013383187060959714,3,7.288886912252683,4.757403663324406,3,0.002599559724408914,0.0002343401201753074,3,0.002656827798803348,0.0002081250830156301,3,2.2746491590503273,1.2820827200741223,3
aug,projector,0.1,3,0.0025117482897864343,0.00014550143021473756,3,0.00319183659060703,0.00010735762735765725,3,27.244465497924182,5.2549201710727464,3,0.00403447056881608,0.00029803334586202035,3,0.004681264948279325,0.00028245350854352316,3,16.163904935529505,4.65492127909152,3,0.002599559724408914,0.0002343401201753074,3,0.0027646396086603207,0.0002118769266644443,3,6.467150537638985,3.5151166408033663,3
aug,projector,0.1,5,0.0025117482897864343,0.00014550143021473756,3,0.0035834545609153188,9.816229914706096e-05,3,42.97015219459255,8.79645954034257,3,0.00403447056881608,0.00029803334586202035,3,0.005056259920820594,0.00028005767256226527,3,25.492220707722055,5.020315487914761,3,0.002599559724408914,0.0002343401201753074,3,0.002879257326523129,0.00023272954470889148,3,10.834855362402836,2.3625502089757866,3
baseline,projector,0.01,1,0.002386035727492223,0.0001546732998461254,3,0.008801512313463414,0.00104253366355706,3,269.7705293299917,48.0218570401201,3,0.37442408118477033,0.013649780514272476,3,0.3767329837537545,0.013163408707273817,3,0.6203684316539985,0.16800822158042727,3,0.37317234967986607,0.013611453783663722,3,0.3731538717006657,0.013584727730686783,3,-0.004781845156169122,0.0077766687298341285,3
baseline,projector,0.01,3,0.002386035727492223,0.0001546732998461254,3,0.021822451807868976,0.0016705395351920155,3,819.5578494222104,120.39062198458397,3,0.37442408118477033,0.013649780514272476,3,0.3819028868213839,0.012490534183609339,3,2.006611552415475,0.3815168813273015,3,0.37317234967986607,0.013611453783663722,3,0.3731136007531773,0.013551015128595918,3,-0.015363032715994448,0.017534290169665942,3
baseline,projector,0.01,5,0.002386035727492223,0.0001546732998461254,3,0.035145028688324,0.003525493988947498,3,1383.2528810870433,239.20035445868336,3,0.37442408118477033,0.013649780514272476,3,0.38739908652981586,0.01171398377589258,3,3.4809522017574444,0.6882167394348782,3,0.37317234967986607,0.013611453783663722,3,0.3730855308362851,0.013515610532516492,3,-0.022660838761523472,0.027730223303880135,3
baseline,projector,0.1,1,0.002386035727492223,0.0001546732998461254,3,0.00880151458356219,0.0010443120793676998,3,269.7692174819183,48.07592798510721,3,0.37442408118477033,0.013649780514272476,3,0.37673298172740033,0.013162994366155463,3,0.6203708036650379,0.16823419016167718,3,0.37317234967986607,0.013611453783663722,3,0.3731539028934483,0.013584665526227464,3,-0.004773069000237514,0.007800047168021323,3
baseline,projector,0.1,3,0.002386035727492223,0.0001546732998461254,3,0.02182246387625734,0.0016709243909797523,3,819.5560466996789,120.37065650497071,3,0.37442408118477033,0.013649780514272476,3,0.3819029274357793,0.012489987378958362,3,2.0066259456238114,0.3816084295366355,3,0.37317234967986607,0.013611453783663722,3,0.3731136552310647,0.01355095828215707,3,-0.015348041696912803,0.017560267016683687,3
baseline,projector,0.1,5,0.002386035727492223,0.0001546732998461254,3,0.035137909542148314,0.0035257523115544815,3,1382.9535637641202,239.18334189526936,3,0.37442408118477033,0.013649780514272476,3,0.38739498879779904,0.011713472218521585,3,3.479859836346592,0.6882245643148669,3,0.37317234967986607,0.013611453783663722,3,0.3730852541571809,0.013515522086477346,3,-0.02273449172700189,0.027734351904256237,3
