run_dir,checkpoint,source_method,seed,trainable,epochs,lr,beta_l2_initial,orbit_eta,before_epsilon_mean,before_epsilon_mean_std,before_epsilon_mean_stderr,before_equivariance_defect_relative,before_equivariance_defect_relative_std,before_equivariance_defect_relative_stderr,before_eval_seconds,before_num_batches,before_num_samples,before_orbit_ood_relative_l2,before_orbit_ood_relative_l2_std,before_orbit_ood_relative_l2_stderr,before_relative_l2,before_relative_l2_std,before_relative_l2_stderr,after_epsilon_mean,after_epsilon_mean_std,after_epsilon_mean_stderr,after_equivariance_defect_relative,after_equivariance_defect_relative_std,after_equivariance_defect_relative_stderr,after_eval_seconds,after_num_batches,after_num_samples,after_orbit_ood_relative_l2,after_orbit_ood_relative_l2_std,after_orbit_ood_relative_l2_stderr,after_relative_l2,after_relative_l2_std,after_relative_l2_stderr,relative_l2_delta_pct,orbit_ood_delta_pct,defect_delta_pct
runs\final_1d\unlabeled_adaptation\aug\beta_0.01\epochs_1\seed_23,runs\final_1d\four_method\aug\seed_23\checkpoints\best.pt,aug,23,projector,1,1e-05,0.01,1e-06,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.0025219716815321203,0.004129207665075817,6.451886976680964e-05,4.556294200010598,16,512,0.003979996999987634,0.004854136940830618,7.58458897004784e-05,0.002540455010603182,0.0041449124273893415,0.0001831809803019623,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.0025761499088923223,0.004161054072303697,6.501646987974526e-05,4.741604599985294,16,512,0.00425926468687976,0.004767139901951847,7.44865609679976e-05,0.002851709730748553,0.004026978691009975,0.00017796899625667996,12.251928054079952,7.016781341618938,2.1482488386740384
runs\final_1d\unlabeled_adaptation\aug\beta_0.01\epochs_1\seed_31,runs\final_1d\four_method\aug\seed_31\checkpoints\best.pt,aug,31,projector,1,1e-05,0.01,1e-06,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.0028628539989110635,0.004472133556121617,6.987708681440027e-05,4.489707999979146,16,512,0.004355983325694979,0.005061807551130398,7.909074298641247e-05,0.0026407567420392297,0.004007263582800152,0.00017709770333749298,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.0028932126037570782,0.004467856686364678,6.981026072444809e-05,4.138908299966715,16,512,0.004478352109799744,0.005011191536065707,7.829986775102668e-05,0.002775098881102167,0.00397128679536115,0.0001755077389397789,5.087259152813761,2.809211490386998,1.0604314735422005
runs\final_1d\unlabeled_adaptation\aug\beta_0.01\epochs_1\seed_47,runs\final_1d\four_method\aug\seed_47\checkpoints\best.pt,aug,47,projector,1,1e-05,0.01,1e-06,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.0024138534927835575,0.004021484007088611,6.283568761075954e-05,4.229075499984901,16,512,0.003767431380765629,0.004482127638541612,7.003324435221268e-05,0.0023540331167168915,0.0035344226710781737,0.00015620088989367793,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.0025011190812720407,0.004059816160960899,6.343462751501405e-05,4.2424222999834456,16,512,0.004224590782541782,0.004357562659196167,6.808691654994011e-05,0.0028463352791732177,0.003401257340240614,0.00015031575811529113,20.91313664877099,12.134511702327199,3.615198219335669
runs\final_1d\unlabeled_adaptation\aug\beta_0.01\epochs_3\seed_23,runs\final_1d\four_method\aug\seed_23\checkpoints\best.pt,aug,23,projector,3,1e-05,0.01,1e-06,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.0025219716815321203,0.004129207665075817,6.451886976680964e-05,4.5641116999904625,16,512,0.003979996999987634,0.004854136940830618,7.58458897004784e-05,0.002540455010603182,0.0041449124273893415,0.0001831809803019623,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.0026196101680289186,0.004193940229597575,6.55303160874621e-05,4.0151447000098415,16,512,0.00451394130323024,0.0046871983525460905,7.323747425853266e-05,0.0031885407079244033,0.003932332029887404,0.00017378616526315282,25.51061501251879,13.4156961234962,3.871513990889941
runs\final_1d\unlabeled_adaptation\aug\beta_0.01\epochs_3\seed_31,runs\final_1d\four_method\aug\seed_31\checkpoints\best.pt,aug,31,projector,3,1e-05,0.01,1e-06,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.0028628539989110635,0.004472133556121617,6.987708681440027e-05,4.41886389994761,16,512,0.004355983325694979,0.005061807551130398,7.909074298641247e-05,0.0026407567420392297,0.004007263582800152,0.00017709770333749298,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.003007793867341846,0.004505132364758575,7.039269319935274e-05,4.1887667999835685,16,512,0.005003260179364588,0.004887902065877206,7.637346977933134e-05,0.0033178093435708433,0.003882576954784119,0.00017158728082540412,25.63858271204427,14.859488782968167,5.062775415229437
runs\final_1d\unlabeled_adaptation\aug\beta_0.01\epochs_3\seed_47,runs\final_1d\four_method\aug\seed_47\checkpoints\best.pt,aug,47,projector,3,1e-05,0.01,1e-06,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.0024138534927835575,0.004021484007088611,6.283568761075954e-05,4.001886399986688,16,512,0.003767431380765629,0.004482127638541612,7.003324435221268e-05,0.0023540331167168915,0.0035344226710781737,0.00015620088989367793,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.0026665302974517857,0.0041546960993782064,6.491712655278448e-05,4.150399600039236,16,512,0.004583158501191065,0.0043176979681038095,6.746403075162202e-05,0.003151492841425352,0.0033605165200795476,0.00014851525122735416,33.87631716161481,21.65207638790918,10.46777716309748
runs\final_1d\unlabeled_adaptation\aug\beta_0.01\epochs_5\seed_23,runs\final_1d\four_method\aug\seed_23\checkpoints\best.pt,aug,23,projector,5,1e-05,0.01,1e-06,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.0025219716815321203,0.004129207665075817,6.451886976680964e-05,4.933716300001834,16,512,0.003979996999987634,0.004854136940830618,7.58458897004784e-05,0.002540455010603182,0.0041449124273893415,0.0001831809803019623,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.0027498746765866056,0.004286046228983892,6.696947232787331e-05,4.946440699975938,16,512,0.004900102654573857,0.004644503637514763,7.257036933616817e-05,0.00354825850808993,0.003867239672004122,0.00017090946228423464,39.67019660967994,23.118249953180413,9.036699211310427
runs\final_1d\unlabeled_adaptation\aug\beta_0.01\epochs_5\seed_31,runs\final_1d\four_method\aug\seed_31\checkpoints\best.pt,aug,31,projector,5,1e-05,0.01,1e-06,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.0028628539989110635,0.004472133556121617,6.987708681440027e-05,4.578317800012883,16,512,0.004355983325694979,0.005061807551130398,7.909074298641247e-05,0.0026407567420392297,0.004007263582800152,0.00017709770333749298,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.0031479487836687525,0.0045678882350420405,7.137325367253188e-05,4.146942000021227,16,512,0.005366806692109094,0.004837378844921998,7.558404445190621e-05,0.0036588777584256604,0.003867685139646501,0.00017092914935865498,38.55413867466731,23.2054002698195,9.95841160136457
runs\final_1d\unlabeled_adaptation\aug\beta_0.01\epochs_5\seed_47,runs\final_1d\four_method\aug\seed_47\checkpoints\best.pt,aug,47,projector,5,1e-05,0.01,1e-06,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.0024138534927835575,0.004021484007088611,6.283568761075954e-05,4.557626799971331,16,512,0.003767431380765629,0.004482127638541612,7.003324435221268e-05,0.0023540331167168915,0.0035344226710781737,0.00015620088989367793,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.0027399884097993876,0.004197446708005216,6.55851048125815e-05,4.145665799966082,16,512,0.004884973966909456,0.004222416326552266,6.597525510237915e-05,0.0035192028881283477,0.0032771922065495188,0.00014483280203142932,49.496745102570515,29.66324992272895,13.510965681672115
runs\final_1d\unlabeled_adaptation\aug\beta_0.1\epochs_1\seed_23,runs\final_1d\four_method\aug\seed_23\checkpoints\best.pt,aug,23,projector,1,1e-05,0.1,1e-06,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.0025219716815321203,0.004129207665075817,6.451886976680964e-05,4.123935599985998,16,512,0.003979996999987634,0.004854136940830618,7.58458897004784e-05,0.002540455010603182,0.0041449124273893415,0.0001831809803019623,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.0025761488540878563,0.004161054084990777,6.50164700779809e-05,4.11055949999718,16,512,0.004258839417161653,0.004767429810798246,7.44910907937226e-05,0.0028510832344181836,0.004027376482052636,0.00017798657630316503,12.22726726190868,7.006096164768105,2.148207014078096
