checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,mae,mae_std,mae_stderr,num_batches,num_samples,oracle_canonical_ood_relative_l2,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_stderr,orbit_ood_mae,orbit_ood_mae_std,orbit_ood_mae_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,relative_l2,relative_l2_std,relative_l2_stderr
runs\ablations\1d_heat_dirichlet_boundary_mask\aug_orbit_mask\seed_23\checkpoints\best.pt,runs\evaluations\1d_heat_dirichlet_common_mask\full_domain\aug_orbit_mask\seed_23,aug_orbit_mask,23,full_domain,0,0.1,,0.05116532766260207,0.02951649073824178,0.001304456922365043,0.030059031560085714,0.027540867028016256,0.0012171458647042056,0.24493669997900724,0.03036820748820901,0.01989678136667815,0.0017586436285205325,4,128,0.03068417531903833,0.021111673028466116,0.0009330129475388453,0.03504245984368026,0.02249653596809144,0.000994215821015283,0.04556576791219413,0.03112601906022916,0.0013755886968018604,0.03765267040580511,0.02739064600286184,0.002421013941212976
runs\ablations\1d_heat_dirichlet_boundary_mask\aug_orbit_mask\seed_31\checkpoints\best.pt,runs\evaluations\1d_heat_dirichlet_common_mask\full_domain\aug_orbit_mask\seed_31,aug_orbit_mask,31,full_domain,0,0.1,,0.04981379769742489,0.028425573440464827,0.0012562447336793062,0.029420350794680417,0.028021627501011868,0.0012383926766155588,0.2567054000101052,0.026487973984330893,0.016563550325342447,0.0014640248444467861,4,128,0.028257053694687784,0.02057981637171052,0.0009095079820006524,0.03159105416852981,0.019784752111827144,0.0008743707738979899,0.043949155835434794,0.031049307240569916,0.0013721984813094723,0.03528035245835781,0.025998097644978974,0.0022979288928393305
runs\ablations\1d_heat_dirichlet_boundary_mask\aug_orbit_mask\seed_47\checkpoints\best.pt,runs\evaluations\1d_heat_dirichlet_common_mask\full_domain\aug_orbit_mask\seed_47,aug_orbit_mask,47,full_domain,0,0.1,,0.05067144753411412,0.028566796262737254,0.0012624859596347521,0.030678812065161765,0.028619540386071594,0.0012648169425895927,0.28797190001932904,0.026725870557129383,0.01762897662838481,0.0015581961149137573,4,128,0.028390718041919172,0.02082283299937354,0.0009202479010857529,0.031664471141994,0.02036940948050799,0.0009002092232770468,0.04455037973821163,0.03149382472164496,0.0013918435641359801,0.0358291445299983,0.02707934137441911,0.0023934982394896494
runs\ablations\1d_heat_dirichlet_boundary_mask\aug_orbit_no_mask\seed_23\checkpoints\best.pt,runs\evaluations\1d_heat_dirichlet_common_mask\full_domain\aug_orbit_no_mask\seed_23,aug_orbit_no_mask,23,full_domain,0,0.1,,0.05116532766260207,0.02951649073824178,0.001304456922365043,0.024035366252064705,0.02290938496344273,0.0010124613412789674,0.2360583000117913,0.03394862450659275,0.01787061994777786,0.0015795545686351639,4,128,0.033260778058320284,0.01834136156550811,0.0008105813211978184,0.03940131654962897,0.020963016480765838,0.0009264431942296799,0.0442036313470453,0.026108142813011513,0.001153827801704204,0.036297766491770744,0.02095044845373653,0.0018517755213170398
runs\ablations\1d_heat_dirichlet_boundary_mask\aug_orbit_no_mask\seed_31\checkpoints\best.pt,runs\evaluations\1d_heat_dirichlet_common_mask\full_domain\aug_orbit_no_mask\seed_31,aug_orbit_no_mask,31,full_domain,0,0.1,,0.04981379769742489,0.028425573440464827,0.0012562447336793062,0.024203711305744946,0.024402557899153014,0.001078450885549278,0.26351550000254065,0.029065873939543962,0.013866684897461646,0.0012256533654465267,4,128,0.02943173050880432,0.016523930678198934,0.0007302614646506807,0.03519085329025984,0.018711898007053033,0.0008269568731036402,0.041709961369633675,0.026071564197502322,0.0011522112400121438,0.03265221789479256,0.018634842892031763,0.001647102971912699
runs\ablations\1d_heat_dirichlet_boundary_mask\aug_orbit_no_mask\seed_47\checkpoints\best.pt,runs\evaluations\1d_heat_dirichlet_common_mask\full_domain\aug_orbit_no_mask\seed_47,aug_orbit_no_mask,47,full_domain,0,0.1,,0.05067144753411412,0.028566796262737254,0.0012624859596347521,0.02558179630432278,0.025197475161897787,0.0011135815972348451,0.25409480003872886,0.03217477444559336,0.01624531035752829,0.0014358961395360388,4,128,0.03182394499890506,0.017320436200138626,0.0007654623681391862,0.037832154193893075,0.01998314920219237,0.0008831387693957982,0.04392662295140326,0.0266479846402378,0.0011776856652541943,0.03515492007136345,0.019948015274909685,0.0017631721090126836
runs\ablations\1d_heat_dirichlet_boundary_mask\baseline\seed_23\checkpoints\best.pt,runs\evaluations\1d_heat_dirichlet_common_mask\full_domain\baseline\seed_23,baseline,23,full_domain,0,0.1,,0.05116532766260207,0.02951649073824178,0.001304456922365043,0.03344028128776699,0.029858422929252018,0.001319568333050625,0.21914259996265173,0.026005634106695652,0.01364409952326524,0.0012059794120106238,4,128,0.025283431401476264,0.01341262568496236,0.0005927599109596092,0.03794662281870842,0.022789610713950283,0.00100716801727724,0.04567355918698013,0.030819569244310247,0.0013620454003687584,0.028431840240955353,0.015982893351812858,0.0014127015340060325
runs\ablations\1d_heat_dirichlet_boundary_mask\baseline\seed_31\checkpoints\best.pt,runs\evaluations\1d_heat_dirichlet_common_mask\full_domain\baseline\seed_31,baseline,31,full_domain,0,0.1,,0.04981379769742489,0.028425573440464827,0.0012562447336793062,0.03501653135754168,0.03254036491125807,0.0014380945431897104,0.21185759996296838,0.022289822343736887,0.010390206479966805,0.0009183731824891169,4,128,0.022637881338596344,0.012268312653113915,0.0005421879419208484,0.03519609768409282,0.022019552750262395,0.0009731359417753394,0.045290611451491714,0.032713293299905466,0.0014457369704567252,0.026211788412183523,0.014915598475728513,0.0013183651034554204
runs\ablations\1d_heat_dirichlet_boundary_mask\baseline\seed_47\checkpoints\best.pt,runs\evaluations\1d_heat_dirichlet_common_mask\full_domain\baseline\seed_47,baseline,47,full_domain,0,0.1,,0.05067144753411412,0.028566796262737254,0.0012624859596347521,0.03378443524707109,0.030614742196144146,0.0013529932381982164,0.20841500000096858,0.022841511759907007,0.011754410847618822,0.0010389529524004978,4,128,0.02271293941885233,0.012814074950539078,0.0005663074557599284,0.034757037996314466,0.021004324845899706,0.0009282687832987979,0.04430582118220627,0.03160483688645859,0.00139674965504435,0.02646286552771926,0.015709641409078854,0.0013885492462960807
runs\ablations\1d_heat_dirichlet_boundary_mask\aug_orbit_mask\seed_23\checkpoints\best.pt,runs\evaluations\1d_heat_dirichlet_common_mask\valid_overlap_margin_0.05\aug_orbit_mask\seed_23,aug_orbit_mask,23,valid_overlap_margin_0.05,1,0.1,,0.05116532766260207,0.02951649073824178,0.001304456922365043,0.01133661053609103,0.014122323580969117,0.0006241244231383719,0.2739537000306882,0.03036820748820901,0.01989678136667815,0.0017586436285205325,4,128,0.01974302064627409,0.009369926520982773,0.0004140961613879121,0.023954567848704755,0.013293032733227956,0.0005874745992625146,0.024543743580579758,0.013922389160377958,0.0006152884866013335,0.03765267040580511,0.02739064600286184,0.002421013941212976
