severity,severity_scale,method,relative_l2,relative_l2,relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,equivariance_defect_relative,equivariance_defect_relative,epsilon_mean,epsilon_mean,epsilon_mean
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
1.5x,1.5,aug,0.0025117482897864343,0.00014550143021473756,3,0.01337037497341953,0.0004161001943434559,3,0.011947496025878523,0.0005587895178112375,3,0.22401178682533404,0.002121232066024982,3
1.5x,1.5,aug_orbit,0.002654834827505207,2.7595795374988135e-06,3,0.013068345427503422,0.0008409724882173796,3,0.011535019308649197,0.0009605171603144535,3,0.22401178682533404,0.002121232066024982,3
1.5x,1.5,baseline,0.002386035727492223,0.0001546732998461254,3,0.4339468995349307,0.03321834568484221,3,0.4326599663854882,0.03324489995440661,3,0.22401178682533404,0.002121232066024982,3
1.5x,1.5,orbit,0.002821321305721843,4.707878236485222e-05,3,0.03851894144281687,0.004549277670410404,3,0.0369177463794396,0.004637333923324677,3,0.22401178682533404,0.002121232066024982,3
2x,2.0,aug,0.0025117482897864343,0.00014550143021473756,3,0.03742638167417075,0.0021096501660855475,3,0.036026071375830325,0.002251908121842778,3,0.29868238617200404,0.002828312104865609,3
2x,2.0,aug_orbit,0.002654834827505207,2.7595795374988135e-06,3,0.037683705252372114,0.0027289400436502987,3,0.03617140879230374,0.0028420189303293964,3,0.29868238617200404,0.002828312104865609,3
2x,2.0,baseline,0.002386035727492223,0.0001546732998461254,3,0.46653453213366447,0.03608251198166445,3,0.4652528548202219,0.036106412717037094,3,0.29868238617200404,0.002828312104865609,3
2x,2.0,orbit,0.002821321305721843,4.707878236485222e-05,3,0.0706571822153516,0.009307611859481556,3,0.06907712308242824,0.009395844645658924,3,0.29868238617200404,0.002828312104865609,3
3x,3.0,aug,0.0025117482897864343,0.00014550143021473756,3,0.08966825219764966,0.0052490492493741615,3,0.08828230133085231,0.005399264883481525,3,0.4480235736506681,0.004242464132049964,3
3x,3.0,aug_orbit,0.002654834827505207,2.7595795374988135e-06,3,0.09064694272819906,0.006873403617425908,3,0.08916245220834577,0.0069965209825677685,3,0.4480235736506681,0.004242464132049964,3
3x,3.0,baseline,0.002386035727492223,0.0001546732998461254,3,0.4904736251858897,0.03832359715231314,3,0.4891967641992642,0.03834276514362523,3,0.4480235736506681,0.004242464132049964,3
3x,3.0,orbit,0.002821321305721843,4.707878236485222e-05,3,0.1238312564601074,0.014072739209728992,3,0.12226867356128139,0.01417296722093435,3,0.4480235736506681,0.004242464132049964,3
train_radius,1.0,aug,0.0025117482897864343,0.00014550143021473756,3,0.00403679557742483,0.000274847528413557,3,0.0025656365065076514,0.00029511272014178143,3,0.14934119308600202,0.0014141560524328046,3
train_radius,1.0,aug_orbit,0.002654834827505207,2.7595795374988135e-06,3,0.003799055525632866,4.8532499429235844e-05,3,0.0022058784070798274,0.00012917630952296777,3,0.14934119308600202,0.0014141560524328046,3
train_radius,1.0,baseline,0.002386035727492223,0.0001546732998461254,3,0.3692971174984147,0.027804253735194476,3,0.3680018512543297,0.02783260447869375,3,0.14934119308600202,0.0014141560524328046,3
train_radius,1.0,orbit,0.002821321305721843,4.707878236485222e-05,3,0.017424466069617967,0.0009374995276065572,3,0.015788451963470857,0.0010313839858920922,3,0.14934119308600202,0.0014141560524328046,3
