checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,relative_l2,relative_l2_std,relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,num_samples,num_batches,eval_seconds
runs\final_1d\four_method\aug\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_1.0\aug\seed_23,aug,23,train_radius,1.0,0.25,0.35,0.002540455010603182,0.0041449124273893415,0.0001831809803019623,0.00397114527731901,0.00498031571662761,7.78174330723064e-05,0.002340546189613546,0.00405542686374138,6.336604474595906e-05,0.14771388564258814,0.09005251997606395,0.0014070706246259992,512,16,3.9709420999861322
runs\final_1d\four_method\aug\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_1.0\aug\seed_31,aug,31,train_radius,1.0,0.25,0.35,0.0026407567420392297,0.004007263582800152,0.00017709770333749298,0.004338523483966128,0.004855374048000196,7.586521950000306e-05,0.002899749441311883,0.004357079525589879,6.807936758734186e-05,0.15027206542436033,0.09103466073227177,0.0014224165739417465,512,16,4.567860000010114
runs\final_1d\four_method\aug\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_1.0\aug\seed_47,aug,47,train_radius,1.0,0.25,0.35,0.0023540331167168915,0.0035344226710781737,0.00015620088989367793,0.0038007179709893535,0.004418333353588854,6.903645864982585e-05,0.0024566138885975253,0.003968046508254453,6.200072669147582e-05,0.1500376281910576,0.09042323925132638,0.0014128631133019747,512,16,4.2397362000192516
runs\final_1d\four_method\aug_orbit\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_1.0\aug_orbit\seed_23,aug_orbit,23,train_radius,1.0,0.25,0.35,0.0026533471900620498,0.004231149612545022,0.00018699216145283862,0.0038303679457385442,0.004959819885888663,7.749718571701035e-05,0.0021018071273979366,0.003935621677685885,6.149408871384195e-05,0.14771388564258814,0.09005251997606395,0.0014070706246259992,512,16,4.080486899998505
runs\final_1d\four_method\aug_orbit\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_1.0\aug_orbit\seed_31,aug_orbit,31,train_radius,1.0,0.25,0.35,0.0026580190315144137,0.004603542479473036,0.0002034497565447323,0.0038236491946008755,0.004985680092030605,7.79012514379782e-05,0.0023504526631898948,0.004004094806261073,6.256398134782927e-05,0.15027206542436033,0.09103466073227177,0.0014224165739417465,512,16,4.627902299980633
runs\final_1d\four_method\aug_orbit\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_1.0\aug_orbit\seed_47,aug_orbit,47,train_radius,1.0,0.25,0.35,0.0026531382609391585,0.004146406454274224,0.00018324700758581074,0.003743149436559179,0.004721678170918403,7.377622142060004e-05,0.0021653754306516504,0.003820451485093333,5.969455445458333e-05,0.1500376281910576,0.09042323925132638,0.0014128631133019747,512,16,4.1421381999971345
runs\final_1d\four_method\baseline\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_1.0\baseline\seed_23,baseline,23,train_radius,1.0,0.25,0.35,0.0022395967098418623,0.003925006416178573,0.0001734624158175361,0.34014298742567917,0.44263539151531706,0.006916177992426829,0.33879336928037596,0.44360699082077776,0.0069313592315746525,0.14771388564258814,0.09005251997606395,0.0014070706246259992,512,16,4.1112841999856755
runs\final_1d\four_method\baseline\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_1.0\baseline\seed_31,baseline,31,train_radius,1.0,0.25,0.35,0.0025478020615992136,0.00491197311930724,0.00021708059385426175,0.39551909775764216,0.45177240902830645,0.007058943891067288,0.394216531838941,0.45285439012998707,0.007075849845781048,0.15027206542436033,0.09103466073227177,0.0014224165739417465,512,16,3.947045499982778
runs\final_1d\four_method\baseline\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_1.0\baseline\seed_47,baseline,47,train_radius,1.0,0.25,0.35,0.0023707084110355936,0.004410823013485573,0.0001949326789655832,0.37222926731192274,0.45000564686293193,0.007031338232233311,0.3709956526436722,0.4509877124677573,0.007046683007308708,0.1500376281910576,0.09042323925132638,0.0014128631133019747,512,16,3.9917947000358254
runs\final_1d\four_method\orbit\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_1.0\orbit\seed_23,orbit,23,train_radius,1.0,0.25,0.35,0.002793292784190271,0.004604886482286684,0.00020350915363869882,0.016727680876101658,0.02392695838628723,0.00037385872478573796,0.015001271275298711,0.02450889089982908,0.0003829514203098294,0.14771388564258814,0.09005251997606395,0.0014070706246259992,512,16,4.878316799993627
