run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,mae,mae_std,mae_stderr,method,model_name,num_batches,num_samples,oracle_canonical_ood_relative_l2,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_stderr,orbit_control,orbit_ood_mae,orbit_ood_mae_std,orbit_ood_mae_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,train_wall_seconds,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.amplitude,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.depth,config.model.add_grid,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_orbit,config.training.lambda_aug,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.eval_every,config.training.eval_orbit_samples,config.training.data_fraction,config.training.num_workers,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,data_fraction,lambda_orbit,config.dataset.dt,config.dataset.viscosity,config.dataset.smoothness,config.dataset.solver_batch_size,config.dataset.dealias,config.model.modes1,config.model.modes2,config.symmetry.transforms,config.symmetry.probabilities,config.training.steps_per_epoch,steps_per_epoch,config.model.input_pseudoscalar,config.model.output_pseudoscalar,config.training.stop_after_epochs,config.runtime.resume,orbit_data_fraction,orbit_steps_per_epoch,force_mae,force_mae_std,force_mae_stderr,orbit_ood_force_mae,orbit_ood_force_mae_std,orbit_ood_force_mae_stderr,best_val_unrolled_mse,cycles_per_epoch,epochs,trajectory_nmse,trajectory_nmse_std,unrolled_mse,unrolled_mse_std,rollout_time_steps,trajectory_nmse_cumulative,trajectory_nmse_cumulative_std,unrolled_mse_cumulative,unrolled_mse_cumulative_std,eval_orbit_samples,orbit_eval_samples,orbit_max_boost,orbit_ood_trajectory_nmse,orbit_ood_trajectory_nmse_cumulative,orbit_ood_trajectory_nmse_std,orbit_rollout_time_steps,orbit_ood_trajectory_nmse_stderr,trajectory_nmse_stderr
runs\ablations\2d_d4_five_seed_completion\fraction_0.01\aug_orbit_lambda_0.2_steps_4\seed_59,0.06204957840964198,182526ec6157,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,182526ec6157,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,1.0,0.0,0.0,0.045412412961013615,0.018063410107380995,0.0005644815658556561,17.167734199902043,209.9005500029307,13.118784375183168,20.0,5.0,0.04434368829242885,0.005275326732916834,0.00032970792080730214,aug_orbit,fno2d,16.0,256.0,0.06252485798904672,0.00848754371486885,0.00026523574108965156,physical,0.044480715529061854,0.005206535971397967,0.00016270424910618648,0.06272094772430137,0.00839477656076494,0.00026233676752390435,2668513,2668513,0.06252485862933099,0.008487543284367925,0.0005304714552729953,59,1079.7676633999217,runs\ablations\2d_d4_five_seed_completion\fraction_0.01\aug_orbit_lambda_0.2_steps_4\seed_59\config.yaml,59,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,1.0,31.0,fno2d,1.0,1.0,48.0,4.0,False,aug_orbit,150,16,0.001,0.0001,0.2,1.0,True,1e-06,10.0,4.0,0.01,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_d4_five_seed_completion/fraction_0.01/aug_orbit_lambda_0.2_steps_4/seed_59,False,0.01,0.2,0.001,0.001,8.0,8.0,True,12.0,12.0,[{'name': 'd4_vorticity2d'}],[1.0],4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs\ablations\2d_d4_five_seed_completion\fraction_0.01\aug_orbit_lambda_0.2_steps_4\seed_71,0.06782692112028599,c4c24e39dfc2,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,c4c24e39dfc2,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,1.0,0.0,0.0,0.05147975409636274,0.02089640772859796,0.0006530127415186862,17.528273599920794,207.68921499839053,12.980575937399408,20.0,5.0,0.04959114268422127,0.00592506952454665,0.0003703168452841656,aug_orbit,fno2d,16.0,256.0,0.0694495162460953,0.0092508292746945,0.00028908841483420313,physical,0.04946614784421399,0.005745027571789661,0.00017953211161842692,0.0693252847995609,0.00896024858657278,0.0002800077683303994,2668513,2668513,0.06944951601326466,0.009250831809162408,0.0005781769880726505,71,1178.0976061000256,runs\ablations\2d_d4_five_seed_completion\fraction_0.01\aug_orbit_lambda_0.2_steps_4\seed_71\config.yaml,71,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,1.0,31.0,fno2d,1.0,1.0,48.0,4.0,False,aug_orbit,150,16,0.001,0.0001,0.2,1.0,True,1e-06,10.0,4.0,0.01,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_d4_five_seed_completion/fraction_0.01/aug_orbit_lambda_0.2_steps_4/seed_71,False,0.01,0.2,0.001,0.001,8.0,8.0,True,12.0,12.0,[{'name': 'd4_vorticity2d'}],[1.0],4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs\ablations\2d_d4_five_seed_completion\fraction_0.01\aug_steps_4\seed_59,0.06228049797937274,86103ffa88e7,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,86103ffa88e7,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,1.0,0.0,0.0,0.0457538747577928,0.01817531352046373,0.0005679785475144916,17.448426399962045,236.7069249972701,14.794182812329382,20.0,5.0,0.04473569826222956,0.005228195512845863,0.0003267622195528664,aug,fno2d,16.0,256.0,0.06301018223166466,0.008357983678815687,0.0002611869899629902,physical,0.044797628885135055,0.00526386409048139,0.00016449575282754343,0.06309001211775467,0.00849160052762375,0.0002653625164882422,2668513,2668513,0.06301018223166466,0.008357982808275821,0.0005223739255172388,59,765.5313268000027,runs\ablations\2d_d4_five_seed_completion\fraction_0.01\aug_steps_4\seed_59\config.yaml,59,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,1.0,31.0,fno2d,1.0,1.0,48.0,4.0,False,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10.0,4.0,0.01,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_d4_five_seed_completion/fraction_0.01/aug_steps_4/seed_59,False,0.01,0.05,0.001,0.001,8.0,8.0,True,12.0,12.0,[{'name': 'd4_vorticity2d'}],[1.0],4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs\ablations\2d_d4_five_seed_completion\fraction_0.01\aug_steps_4\seed_71,0.06925049982964993,9577642c447a,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,9577642c447a,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,1.0,0.0,0.0,0.05239807942416519,0.021298648527864242,0.0006655827664957576,17.613620800082572,213.02451000083238,13.314031875052024,20.0,5.0,0.05042282701469958,0.006041793094756096,0.000377612068422256,aug,fno2d,16.0,256.0,0.07060986862052232,0.009416986149165047,0.0002942808171614077,physical,0.05026227788766846,0.005820797793679071,0.00018189993105247097,0.07037149195093662,0.009101596860035123,0.0002844249018760976,2668513,2668513,0.07060986664146185,0.009416992875692963,0.0005885620547308102,71,756.5803976999596,runs\ablations\2d_d4_five_seed_completion\fraction_0.01\aug_steps_4\seed_71\config.yaml,71,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,1.0,31.0,fno2d,1.0,1.0,48.0,4.0,False,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10.0,4.0,0.01,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_d4_five_seed_completion/fraction_0.01/aug_steps_4/seed_71,False,0.01,0.05,0.001,0.001,8.0,8.0,True,12.0,12.0,[{'name': 'd4_vorticity2d'}],[1.0],4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs\ablations\2d_d4_five_seed_completion\fraction_0.01\d4_gfno2d_steps_4\seed_59,0.08952185977250338,db3327074ff2,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,db3327074ff2,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,1.0,0.0,0.0,7.943203628180129e-08,2.9975777910451345e-08,9.367430597016045e-10,32.77992749994155,398.6750549986027,24.91719093741267,20.0,5.0,0.06432442553341389,0.006997540191505643,0.0004373462619691027,baseline,d4_gfno2d,16.0,256.0,0.09004738566000015,0.011417411181458904,0.00035679409942059075,physical,0.06432442541699857,0.006997535022916457,0.00021867296946613928,0.09004738600924611,0.011417410976083519,0.00035679409300260997,350280,350280,0.09004738507792354,0.011417411311328448,0.000713588206958028,59,927.8647537999786,runs\ablations\2d_d4_five_seed_completion\fraction_0.01\d4_gfno2d_steps_4\seed_59\config.yaml,59,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,1.0,31.0,d4_gfno2d,1.0,1.0,8.0,4.0,False,baseline,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10.0,4.0,0.01,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_d4_five_seed_completion/fraction_0.01/d4_gfno2d_steps_4/seed_59,False,0.01,0.05,0.001,0.001,8.0,8.0,True,6.0,6.0,[{'name': 'd4_vorticity2d'}],[1.0],4.0,4.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs\ablations\2d_d4_five_seed_completion\fraction_0.01\d4_gfno2d_steps_4\seed_71,0.10048758145421743,b65c34c991be,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,b65c34c991be,False,,,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,1.0,0.0,0.0,7.770643961624302e-08,3.009207806678623e-08,9.403774395870698e-10,33.1892635000404,397.71385500207543,24.857115937629715,20.0,5.0,0.07303780084475875,0.007922225993405984,0.000495139124587874,baseline,d4_gfno2d,16.0,256.0,0.10122891061473638,0.01226073322435411,0.0003831479132610659,physical,0.07303780154325068,0.007922213124787863,0.0002475691601496207,0.10122891049832106,0.01226072765772516,0.00038314773930391124,350280,350280,0.10122890956699848,0.01226073297330886,0.0007662958108318038,71,952.5308374000015,runs\ablations\2d_d4_five_seed_completion\fraction_0.01\d4_gfno2d_steps_4\seed_71\config.yaml,71,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,1.0,31.0,d4_gfno2d,1.0,1.0,8.0,4.0,False,baseline,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10.0,4.0,0.01,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_d4_five_seed_completion/fraction_0.01/d4_gfno2d_steps_4/seed_71,False,0.01,0.05,0.001,0.001,8.0,8.0,True,6.0,6.0,[{'name': 'd4_vorticity2d'}],[1.0],4.0,4.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs\ablations\2d_d4_focused_lambda_refinement\fraction_0.01\aug_orbit_lambda_0.2_steps_4\seed_23,0.061249027494341135,2fb8db31c22f,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,2fb8db31c22f,False,,,2dc27b5552ced2ce5956a1650f822ba91d29f155,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,1.0,0.0,0.0,0.043120108923176304,0.017754738750386086,0.0005548355859495652,30.254610900068656,345.5979899968952,21.59987437480595,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.061756015464197844,0.00851270155048081,0.0002660219234525253,2668513,2668513,0.061935780569911,0.008322461821904522,0.0005201538638690326,23,,runs\ablations\2d_d4_focused_lambda_refinement\fraction_0.01\aug_orbit_lambda_0.2_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,1.0,31.0,fno2d,1.0,1.0,48.0,4.0,False,aug_orbit,150,16,0.001,0.0001,0.2,1.0,True,1e-06,10.0,4.0,0.01,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_d4_focused_lambda_refinement/fraction_0.01/aug_orbit_lambda_0.2_steps_4/seed_23,False,0.01,0.2,0.001,0.001,8.0,8.0,True,12.0,12.0,[{'name': 'd4_vorticity2d'}],[1.0],4.0,4.0,,,25.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs\ablations\2d_d4_focused_low_label_pilot\fraction_0.01\aug_steps_4\seed_23,0.06349745485931635,917e8a5b5c06,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,917e8a5b5c06,False,,,2dc27b5552ced2ce5956a1650f822ba91d29f155,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,1.0,0.0,0.0,0.04471199095132761,0.018463779640737525,0.0005769931137730477,29.496297400037292,328.2161749986699,20.513510937416868,20.0,5.0,,,,aug,fno2d,16.0,256.0,,,,,,,,0.06394675752380863,0.00874378480816037,0.00027324327525501155,2668513,2668513,0.06411803257651627,0.008840800522430236,0.0005525500326518897,23,,runs\ablations\2d_d4_focused_low_label_pilot\fraction_0.01\aug_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,1.0,31.0,fno2d,1.0,1.0,48.0,4.0,False,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10.0,4.0,0.01,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_d4_focused_low_label_pilot/fraction_0.01/aug_steps_4/seed_23,False,0.01,0.05,0.001,0.001,8.0,8.0,True,12.0,12.0,[{'name': 'd4_vorticity2d'}],[1.0],4.0,4.0,,,25.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs\ablations\2d_d4_focused_seed_replication\fraction_0.01\aug_orbit_lambda_0.2_steps_4\seed_31,0.066107084043324,4ac02d112374,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,4ac02d112374,False,,,2dc27b5552ced2ce5956a1650f822ba91d29f155,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,1.0,0.0,0.0,0.042338594095781446,0.016394935451362273,0.000512341732855071,40.955479100113735,611.3533850002568,38.20958656251605,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.06677658425178379,0.009545493964119283,0.0002982966863787276,2668513,2668513,0.06670718919485807,0.00918769417647609,0.0005742308860297557,31,,runs\ablations\2d_d4_focused_seed_replication\fraction_0.01\aug_orbit_lambda_0.2_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,1.0,31.0,fno2d,1.0,1.0,48.0,4.0,False,aug_orbit,150,16,0.001,0.0001,0.2,1.0,True,1e-06,10.0,4.0,0.01,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_d4_focused_seed_replication/fraction_0.01/aug_orbit_lambda_0.2_steps_4/seed_31,False,0.01,0.2,0.001,0.001,8.0,8.0,True,12.0,12.0,[{'name': 'd4_vorticity2d'}],[1.0],4.0,4.0,,,25.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs\ablations\2d_d4_focused_seed_replication\fraction_0.01\aug_orbit_lambda_0.2_steps_4\seed_47,0.06190691376104951,b3942043006b,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,b3942043006b,False,,,2dc27b5552ced2ce5956a1650f822ba91d29f155,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,1.0,0.0,0.0,0.0425968334893696,0.018934043016141475,0.0005916888442544211,34.25766050000675,380.2184700034559,23.763654375215992,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.06236456928309053,0.00856413072946768,0.000267629085295865,2668513,2668513,0.06246252148412168,0.009100917528296244,0.0005688073455185152,47,,runs\ablations\2d_d4_focused_seed_replication\fraction_0.01\aug_orbit_lambda_0.2_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,1.0,31.0,fno2d,1.0,1.0,48.0,4.0,False,aug_orbit,150,16,0.001,0.0001,0.2,1.0,True,1e-06,10.0,4.0,0.01,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_d4_focused_seed_replication/fraction_0.01/aug_orbit_lambda_0.2_steps_4/seed_47,False,0.01,0.2,0.001,0.001,8.0,8.0,True,12.0,12.0,[{'name': 'd4_vorticity2d'}],[1.0],4.0,4.0,,,25.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
