run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.smoothness,config.dataset.amplitude,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes1,config.model.modes2,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_orbit,config.training.lambda_aug,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.eval_every,config.training.eval_orbit_samples,config.training.data_fraction,config.training.num_workers,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.stop_after_epochs,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,config.runtime.resume,data_fraction,lambda_orbit
runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug\seed_23,0.2095833234488964,c2db5c04a86e,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,c2db5c04a86e,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.044984214947291434,0.07861334405736402,0.0024566670017926256,37.215634599968325,457.3686049989192,28.58553781243245,20,5,aug,fno2d,16,256,0.21364962146617472,0.025395100132497652,0.0007935968791405516,2668513,2668513,0.21347744297236204,0.025571264319824493,0.0015982040199890308,23,runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,25,False,auto,runs/ablations/2d_extreme_low_label_aug_orbit/fraction_0.01/aug/seed_23,False,True,0.01,0.05
runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug\seed_31,0.20436793565750122,eaaa017c6bc0,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,eaaa017c6bc0,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.36938732606358826,0.33956640234179225,0.010611450073181008,0.030913320669483824,0.06346258364523745,0.0019832057389136703,31.3579163000104,309.62625999818556,19.351641249886598,20,5,aug,fno2d,16,256,0.2079316871240735,0.02638994737993309,0.000824685855622909,2668513,2668513,0.20773082319647074,0.02607260328166908,0.0016295377051043175,31,runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug\seed_31\config.yaml,31,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,25,False,auto,runs/ablations/2d_extreme_low_label_aug_orbit/fraction_0.01/aug/seed_31,False,True,0.01,0.05
runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug\seed_47,0.20607872866094112,c286761fb2cb,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,c286761fb2cb,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.032574146255342384,0.07088875486309582,0.0022152735894717442,28.221085599972866,387.47726999863517,24.217329374914698,20,5,aug,fno2d,16,256,0.20943763386458158,0.024299529290562873,0.0007593602903300898,2668513,2668513,0.20922659803181887,0.024223967518519664,0.001513997969907479,47,runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug\seed_47\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,25,False,auto,runs/ablations/2d_extreme_low_label_aug_orbit/fraction_0.01/aug/seed_47,False,True,0.01,0.05
runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug_orbit_lambda_0.05\seed_23,0.20870693400502205,742699d14be0,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,742699d14be0,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.04412066988818708,0.07705454735684168,0.0024079546049013026,36.85107560001779,384.8335149988998,24.052094687431236,20,5,aug_orbit,fno2d,16,256,0.21253876481205225,0.025227634753524728,0.0007883635860476477,2668513,2668513,0.2124091312289238,0.02538623632448597,0.001586639770280373,23,runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug_orbit_lambda_0.05\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,25,False,auto,runs/ablations/2d_extreme_low_label_aug_orbit/fraction_0.01/aug_orbit_lambda_0.05/seed_23,False,True,0.01,0.05
runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug_orbit_lambda_0.05\seed_31,0.21303748525679111,f98b0a0fedfc,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,f98b0a0fedfc,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.36938732606358826,0.33956640234179225,0.010611450073181008,0.03244179301867689,0.06653429121778077,0.002079196600555649,27.12186119996477,389.74057500017807,24.35878593751113,20,5,aug_orbit,fno2d,16,256,0.2167137125506997,0.02729818499335152,0.000853068281042235,2668513,2668513,0.2166692717000842,0.02700603925263739,0.0016878774532898368,31,runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug_orbit_lambda_0.05\seed_31\config.yaml,31,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,25,False,auto,runs/ablations/2d_extreme_low_label_aug_orbit/fraction_0.01/aug_orbit_lambda_0.05/seed_31,False,True,0.01,0.05
runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug_orbit_lambda_0.05\seed_47,0.18098432198166847,728463dd2b9b,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,728463dd2b9b,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.02693676631749753,0.05862770073238243,0.001832115647886951,26.070037099998444,318.5250799986534,19.907817499915836,20,5,aug_orbit,fno2d,16,256,0.18399324547499418,0.022095361491949628,0.0006904800466234259,2668513,2668513,0.1839371407404542,0.022022106002915442,0.0013763816251822151,47,runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.01\aug_orbit_lambda_0.05\seed_47\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,25,False,auto,runs/ablations/2d_extreme_low_label_aug_orbit/fraction_0.01/aug_orbit_lambda_0.05/seed_47,False,True,0.01,0.05
runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.02\aug\seed_23,0.10913887713104486,b8beef4f6767,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,b8beef4f6767,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.024158084130878166,0.042042920555405996,0.0013138412673564374,26.871102200006135,315.1165449991822,19.69478406244889,20,5,aug,fno2d,16,256,0.11046422750223428,0.01306403290034857,0.0004082510281358928,2668513,2668513,0.11034756666049361,0.01278109079550007,0.0007988181747187544,23,runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.02\aug\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,25,False,auto,runs/ablations/2d_extreme_low_label_aug_orbit/fraction_0.02/aug/seed_23,False,True,0.02,0.05
runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.02\aug\seed_31,0.13603525049984455,622086d239e3,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,622086d239e3,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.36938732606358826,0.33956640234179225,0.010611450073181008,0.022280355348257785,0.04567385216638831,0.0014273078801996346,36.171961200016085,365.86136000114493,22.866335000071558,20,5,aug,fno2d,16,256,0.13710742117837071,0.01646422638184527,0.0005145070744326647,2668513,2668513,0.1370490211993456,0.016565225759570642,0.0010353266099731651,31,runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.02\aug\seed_31\config.yaml,31,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,25,False,auto,runs/ablations/2d_extreme_low_label_aug_orbit/fraction_0.02/aug/seed_31,False,True,0.02,0.05
runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.02\aug\seed_47,0.11601336672902107,c95ceaef9019,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,c95ceaef9019,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.017586719481236912,0.03824865418792931,0.001195270443372791,27.26251960004447,310.1217549992725,19.382609687454533,20,5,aug,fno2d,16,256,0.11735601152759045,0.013973143141417474,0.00043666072316929605,2668513,2668513,0.11734708258882165,0.013954056461691507,0.0008721285288557192,47,runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.02\aug\seed_47\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,25,False,auto,runs/ablations/2d_extreme_low_label_aug_orbit/fraction_0.02/aug/seed_47,False,True,0.02,0.05
runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.02\aug_orbit_lambda_0.05\seed_23,0.10571151692420244,1531c1c7fcd2,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,1531c1c7fcd2,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.023210890291277764,0.04038389979857621,0.0012619968687055067,25.061458700045478,295.3971500013722,18.462321875085763,20,5,aug_orbit,fno2d,16,256,0.10688365658279508,0.012785851915267177,0.0003995578723520993,2668513,2668513,0.10670875012874603,0.012485797802070214,0.0007803623626293884,23,runs\ablations\2d_extreme_low_label_aug_orbit\fraction_0.02\aug_orbit_lambda_0.05\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,25,False,auto,runs/ablations/2d_extreme_low_label_aug_orbit/fraction_0.02/aug_orbit_lambda_0.05/seed_23,False,True,0.02,0.05
