run_dir,method,method_label,seed,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,best_val_relative_l2,latency_ms_per_sample,train_wall_seconds,train_wall_seconds_scope,checkpoint_resumed,resume_last_completed_epoch,resume_source_last_checkpoint_sha256,resume_source_best_checkpoint_sha256,resume_authorization_source,optimizer_steps,model_forwards_total,backward_passes_total,parameters,dataset_sha256,config_hash,environment.git_commit,environment.platform,environment.python,environment.torch,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.omp_num_threads,environment.mkl_num_threads,device,deterministic,config_path
runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\baseline_steps_4\seed_23,baseline,CNO2d,23,0.3683708179742098,0.44161558616906404,0.36525828181765974,0.37834692001342773,115.94572031249868,1488.1497396000013,post_resume_segment,True,108.0,2bd7a1e0f067fe3e5975816c69a5547991a34bc9b0a179871ed057f64e28b208,9b9457c84e7e6925e842e2cfe0e38ac928340c9586ad50d86cda31b56019339e,runs/ablations/2d_galilean_n64_2pct_cno2d_5seed/PAUSED.md,600,600,600,2667743,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,57d7580e4a21,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,8,8,cpu,False,runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\baseline_steps_4\seed_23\config.yaml
runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\baseline_steps_4\seed_31,baseline,CNO2d,31,0.355182534083724,0.428351279348135,0.3705238508991897,0.33307600393891335,99.62389562499538,4852.161980700001,full_run,False,,,,,600,600,600,2667743,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,291d7a63be5f,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,8,8,cpu,False,runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\baseline_steps_4\seed_31\config.yaml
runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\baseline_steps_4\seed_47,baseline,CNO2d,47,0.3604748137295246,0.42098758602514863,0.3509972430765629,0.3607930429279804,124.01685218750345,5116.526078800001,full_run,False,,,,,600,600,600,2667743,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,7dff7e1abcaf,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,8,8,cpu,False,runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\baseline_steps_4\seed_47\config.yaml
runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\baseline_steps_4\seed_59,baseline,CNO2d,59,0.40669121220707893,0.47815192164853215,0.4084427310153842,0.4208874888718128,128.34144874999538,5334.023116799999,full_run,False,,,,,600,600,600,2667743,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,88e62b3b498b,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,8,8,cpu,False,runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\baseline_steps_4\seed_59\config.yaml
runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\baseline_steps_4\seed_71,baseline,CNO2d,71,0.38201215118169785,0.45962373027577996,0.37196388002485037,0.36689552292227745,118.19803468749797,5383.792019600001,full_run,False,,,,,600,600,600,2667743,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,f667a427ff6a,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,8,8,cpu,False,runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\baseline_steps_4\seed_71\config.yaml
runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_23,orbit,CNO2d + normalized LOCO,23,0.2142763314768672,0.23577607842162251,0.14514291752129793,0.218041418120265,119.73589093749979,9260.0034781,full_run,False,,,,,600,1200,600,2667743,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,d4682b47c8c9,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,8,8,cpu,False,runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_23\config.yaml
runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_31,orbit,CNO2d + normalized LOCO,31,0.21035375352948904,0.23582090623676777,0.15655477333348244,0.20565014332532883,123.4750912499976,9217.3103624,full_run,False,,,,,600,1200,600,2667743,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,7cf0b34d62df,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,8,8,cpu,False,runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_31\config.yaml
runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_47,orbit,CNO2d + normalized LOCO,47,0.22418284509330988,0.2469577945303172,0.15270349977072328,0.2256151046603918,120.86691249999149,9502.600174299994,full_run,False,,,,,600,1200,600,2667743,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2945337085af,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,8,8,cpu,False,runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_47\config.yaml
runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_59,orbit,CNO2d + normalized LOCO,59,0.19778117071837187,0.23266484588384628,0.16603678336832672,0.1990339495241642,127.35051437498441,9672.769833499995,full_run,False,,,,,600,1200,600,2667743,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,69237c821a12,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,8,8,cpu,False,runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_59\config.yaml
runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_71,orbit,CNO2d + normalized LOCO,71,0.21693419106304646,0.24435191112570465,0.1538175008026883,0.2114353459328413,115.5831743750241,9180.412239900004,full_run,False,,,,,600,1200,600,2667743,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,ba920ff9a836,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,8,8,cpu,False,runs\ablations\2d_galilean_n64_2pct_cno2d_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_71\config.yaml
