run_dir,method,method_label,seed,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,best_val_relative_l2,latency_ms_per_sample,train_wall_seconds,optimizer_steps,model_forwards_total,backward_passes_total,parameters,dataset_sha256,config_hash,environment.git_commit,environment.platform,environment.python,environment.torch,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.omp_num_threads,environment.mkl_num_threads,device,deterministic,config_path
runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\baseline_steps_4\seed_23,baseline,DeepONet,23,0.9970114789903164,1.001956288702786,0.5510173537768424,1.0204455107450485,4.84809312492871,274.63418980001006,600,600,600,2688033,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,80629f92f12b,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,1,1,cpu,False,runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\baseline_steps_4\seed_23\config.yaml
runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\baseline_steps_4\seed_31,baseline,DeepONet,31,0.9871565625071526,0.9940562592819333,0.6081653879955411,0.9896950870752335,5.669635312369792,244.84183350001695,600,600,600,2688033,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,68bbf9f1a5f6,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,1,1,cpu,False,runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\baseline_steps_4\seed_31\config.yaml
runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\baseline_steps_4\seed_47,baseline,DeepONet,47,0.9962647669017315,0.9992016712203622,0.5647508590482175,0.9975433573126793,4.75282343741128,258.6293210000149,600,600,600,2688033,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,a1cd474208a4,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,1,1,cpu,False,runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\baseline_steps_4\seed_47\config.yaml
runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\baseline_steps_4\seed_59,baseline,DeepONet,59,0.9874466806650162,0.9980328660458326,0.5424338080920279,0.9889471530914307,5.126383750030072,243.46248919999925,600,600,600,2688033,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,dab397cf88e1,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,1,1,cpu,False,runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\baseline_steps_4\seed_59\config.yaml
runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\baseline_steps_4\seed_71,baseline,DeepONet,71,1.0068260170519352,1.0130731733515859,0.6439515789970756,1.0063227117061615,5.3659150000385125,262.1475064000115,600,600,600,2688033,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,51c951911072,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,1,1,cpu,False,runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\baseline_steps_4\seed_71\config.yaml
runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_23,orbit,DeepONet + normalized LOCO,23,0.9306816644966602,0.9375235391780734,0.5729059330187738,0.9208785891532898,5.081060312477348,398.75138070003595,600,1200,600,2688033,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,539124557dc2,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,1,1,cpu,False,runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_23\config.yaml
runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_31,orbit,DeepONet + normalized LOCO,31,0.9297855384647846,0.9386845473200083,0.5593838728964329,0.9282496646046638,4.756368124981236,396.70083750004414,600,1200,600,2688033,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,e9d9cd95791e,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,1,1,cpu,False,runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_31\config.yaml
runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_47,orbit,DeepONet + normalized LOCO,47,0.9430352337658405,0.9502763915807009,0.5740459570661187,0.9492072835564613,5.078654374847247,399.29060080001364,600,1200,600,2688033,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,a82c992af9a6,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,1,1,cpu,False,runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_47\config.yaml
runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_59,orbit,DeepONet + normalized LOCO,59,0.862465612590313,0.8743435358628631,0.5480332537554204,0.8615299239754677,5.8235912500094855,397.3996909999987,600,1200,600,2688033,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,3eae5ae7994b,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,1,1,cpu,False,runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_59\config.yaml
runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_71,orbit,DeepONet + normalized LOCO,71,0.9089039079844952,0.9172403011471033,0.5182705014012754,0.912914589047432,4.988851874986722,393.2704053000198,600,1200,600,2688033,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,d65ef33cfc1a,fed40c8ad88d167a292e7c4ae53bf39dd49b05b5,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,False,,,1,1,cpu,False,runs\ablations\2d_galilean_n64_2pct_deeponet_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_71\config.yaml
