run_dir,seed,method,orbit_eta,step_max_boost,epsilon_mean,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,latency_ms_per_sample,parameters
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-8\eps_0.25\seed_23,23,aug_orbit,1e-08,0.25,0.19225013302639127,0.352359751239419,0.37563845608383417,0.2508073579519987,11.259732812322909,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-8\eps_0.25\seed_31,31,aug_orbit,1e-08,0.25,0.19283841690048575,0.3836863413453102,0.41080733900889754,0.27154262992553413,13.287074687468703,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-8\eps_0.25\seed_47,47,aug_orbit,1e-08,0.25,0.18829658185131848,0.38442259281873703,0.4053403688594699,0.26176216593012214,11.810073124797782,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-6\eps_0.125\seed_23,23,aug_orbit,1e-06,0.125,0.09612506651319563,0.48987337946891785,0.4990303353406489,0.17630867660045624,13.529655312231625,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-6\eps_0.125\seed_31,31,aug_orbit,1e-06,0.125,0.09641920845024288,0.5326296463608742,0.5427155699580908,0.20371017348952591,10.694291562322178,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-6\eps_0.125\seed_47,47,aug_orbit,1e-06,0.125,0.09414829092565924,0.5221803952008486,0.5282370378263295,0.21974957501515746,14.172894999865093,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-6\eps_0.25\seed_23,23,aug_orbit,1e-06,0.25,0.19225013302639127,0.35236600413918495,0.3756452235393226,0.25081305112689734,10.768505624946556,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-6\eps_0.25\seed_31,31,aug_orbit,1e-06,0.25,0.19283841690048575,0.38372382894158363,0.4108535018749535,0.2715658126398921,12.483306562717189,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-6\eps_0.25\seed_47,47,aug_orbit,1e-06,0.25,0.18829658185131848,0.3844344299286604,0.40535067627206445,0.26177065377123654,11.885546875055297,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-6\eps_0.5\seed_23,23,aug_orbit,1e-06,0.5,0.38450026605278254,0.2865099161863327,0.34273911779746413,0.2752366124186665,12.578087500151014,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-6\eps_0.5\seed_31,31,aug_orbit,1e-06,0.5,0.3856768338009715,0.29383620619773865,0.3542586946859956,0.27760209213010967,13.04166499976418,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-6\eps_0.5\seed_47,47,aug_orbit,1e-06,0.5,0.37659316370263696,0.29699932038784027,0.3469425314106047,0.2730165559332818,12.878354375061463,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-4\eps_0.25\seed_23,23,aug_orbit,0.0001,0.25,0.19225013302639127,0.3530466612428427,0.37638516211882234,0.2516606708522886,11.929461250110762,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-4\eps_0.25\seed_31,31,aug_orbit,0.0001,0.25,0.19283841690048575,0.38470278680324554,0.4118534503504634,0.2723669405095279,12.373206562551786,2668609
runs\ablations\2d_galilean_n64_2pct_eta_epsilon_sensitivity\eta_1e-4\eps_0.25\seed_47,47,aug_orbit,0.0001,0.25,0.18829658185131848,0.3853607401251793,0.4062362271361053,0.26276138448156416,14.401228749920847,2668609
