checkpoint,run_dir,method,seed,severity,severity_scale,max_boost,observable_canonical_relative_l2,observable_canonical_relative_l2_std,observable_canonical_relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,observable_canonical_ood_relative_l2,observable_canonical_ood_relative_l2_std,observable_canonical_ood_relative_l2_stderr,observable_canonical_gap_relative,observable_canonical_gap_relative_std,observable_canonical_gap_relative_stderr,observed_boost_norm_mean,observed_boost_norm_mean_std,observed_boost_norm_mean_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,total_boost_norm_mean,total_boost_norm_mean_std,total_boost_norm_mean_stderr,num_samples,num_batches,eval_seconds
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.10\aug_orbit_lambda_0.1_steps_4\seed_23\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,23,boost_0.10,0.4,0.1,0.29860381223261356,0.04004650362941353,0.0025029064768383458,0.35355799412354827,0.08116934890958599,0.0025365421534245623,0.29860380524769425,0.04004649902538424,0.0012514530945432576,0.2955799433402717,0.10695622292861558,0.0033423819665192368,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07753759901970625,0.028760426403663938,0.0008987633251144981,0.3782709199003875,0.15116020055706844,0.004723756267408389,256,16,25.990227900008904
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.10\aug_orbit_lambda_0.1_steps_4\seed_31\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,31,boost_0.10,0.4,0.1,0.33613906241953373,0.04985525479306475,0.0031159534245665467,0.3769287774339318,0.08257127927885491,0.002580352477464216,0.33613905357196927,0.049855260739470254,0.0015579768981084454,0.33396271523088217,0.1137660089261781,0.0035551877789430654,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07652263162890449,0.02849712913015001,0.0008905352853171878,0.3808317603543401,0.1474375770357314,0.004607424282366606,256,16,30.32230120000895
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.10\aug_orbit_lambda_0.1_steps_4\seed_47\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,47,boost_0.10,0.4,0.1,0.3431418463587761,0.04931313792505006,0.0030820711203156286,0.3810813273303211,0.08980468386715502,0.0028063963708485945,0.34314184030517936,0.04931311512830027,0.0015410348477593835,0.3407626049593091,0.12089473930672164,0.003777960603335051,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07630419766064733,0.02883334962992451,0.0009010421759351409,0.38111159997060895,0.1518728549599052,0.004746026717497038,256,16,31.023127499996917
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.10\aug_orbit_lambda_0.1_steps_4\seed_59\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,59,boost_0.10,0.4,0.1,0.24829181283712387,0.03489465777633048,0.002180916111020655,0.3258673236705363,0.11219835798698845,0.003506198687093389,0.24829180631786585,0.03489463827407805,0.001090457446064939,0.27880060323514044,0.13079554428875417,0.004087360759023568,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07514752534916624,0.02827431149297133,0.0008835722341553541,0.38132026605308056,0.14799164625916691,0.004624738945598966,256,16,33.191094400011934
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.10\aug_orbit_lambda_0.1_steps_4\seed_71\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,71,boost_0.10,0.4,0.1,0.40028870292007923,0.04825479312145303,0.0030159245700908145,0.41997386422008276,0.08489486026751455,0.00265296438335983,0.4002886996604502,0.0482548322236517,0.0015079635069891156,0.36520451633259654,0.12734493165139155,0.003979529114105986,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07503010047366843,0.029043823059964627,0.0009076194706238946,0.3785290182568133,0.14567828401838884,0.004552446375574651,256,16,28.15504729998065
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.20\aug_orbit_lambda_0.1_steps_4\seed_23\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,23,boost_0.20,0.8,0.2,0.29860381223261356,0.04004650362941353,0.0025029064768383458,0.3625868074595928,0.09434148206854778,0.002948171314642118,0.29860380245372653,0.04004655183540721,0.0012514547448564753,0.3071813895367086,0.12211982758410184,0.0038162446120031824,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.1550751980394125,0.057520852807327875,0.0017975266502289961,0.39373479038476944,0.17122946440085926,0.005350920762526852,256,16,31.17971789999865
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.20\aug_orbit_lambda_0.1_steps_4\seed_31\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,31,boost_0.20,0.8,0.2,0.33613906241953373,0.04985525479306475,0.0031159534245665467,0.38813014328479767,0.09839179527680685,0.003074743602400214,0.33613905450329185,0.049855268470610496,0.001557977139706578,0.3472384358756244,0.1315082403528659,0.004109632511027059,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.15304526325780898,0.05699425826030002,0.0017810705706343755,0.39744911389425397,0.1664412282074595,0.005201288381483109,256,16,30.229086600011215
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.20\aug_orbit_lambda_0.1_steps_4\seed_47\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,47,boost_0.20,0.8,0.2,0.3431418463587761,0.04931313792505006,0.0030820711203156286,0.3946165032684803,0.10980844152450348,0.0034315137976407336,0.34314184077084064,0.049313098903969885,0.001541034340749059,0.35618813475593925,0.14257011205453352,0.004455316001704172,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.15260839532129467,0.05766669925984902,0.0018020843518702818,0.39918434666469693,0.17138732719832803,0.005355853974947751,256,16,27.982791299989913
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.20\aug_orbit_lambda_0.1_steps_4\seed_59\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,59,boost_0.20,0.8,0.2,0.24829181283712387,0.03489465777633048,0.002180916111020655,0.3438692605122924,0.13962416559841825,0.0043632551749505704,0.24829180841334164,0.03489464421499857,0.0010904576317187053,0.2980393674224615,0.1622936479653953,0.005071676498918603,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.1502950506983325,0.05654862298594266,0.0017671444683107081,0.39754231041297317,0.16810167822946664,0.005253177444670833,256,16,28.8049469999969
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.20\aug_orbit_lambda_0.1_steps_4\seed_71\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,71,boost_0.20,0.8,0.2,0.40028870292007923,0.04825479312145303,0.0030159245700908145,0.4305950552225113,0.10433617806588442,0.0032605055645588883,0.40028870664536953,0.048254769456530455,0.0015079615455165767,0.376781084574759,0.14638252789684328,0.0045744539967763525,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.15006020094733685,0.058087646119929254,0.0018152389412477892,0.3929523373953998,0.16229259299792204,0.005071643531185064,256,16,30.899520600010874
