checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,relative_l2,relative_l2_std,relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,num_samples,num_batches,eval_seconds
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.10\aug_orbit_lambda_0.1_steps_4\seed_23,aug_orbit_lambda_0.1_steps_4,23,boost_0.10,0.4,,0.1,0.35174218751490116,0.077843177434051,0.004865198589628188,0.35355799412354827,0.08116934890958599,0.0025365421534245623,0.11210296931676567,0.0514856538518767,0.0016089266828711469,0.07753759901970625,0.028760426403663938,0.0008987633251144981,256,16,17.54617440000584
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.10\aug_orbit_lambda_0.1_steps_4\seed_31,aug_orbit_lambda_0.1_steps_4,31,boost_0.10,0.4,,0.1,0.37398373521864414,0.0797110701849171,0.004981941886557319,0.3769287774339318,0.08257127927885491,0.002580352477464216,0.11674112139735371,0.05568639486132115,0.001740199839416286,0.07652263162890449,0.02849712913015001,0.0008905352853171878,256,16,18.27292810000654
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.10\aug_orbit_lambda_0.1_steps_4\seed_47,aug_orbit_lambda_0.1_steps_4,47,boost_0.10,0.4,,0.1,0.37636843882501125,0.08209717624324323,0.0051310735152027016,0.3810813273303211,0.08980468386715502,0.0028063963708485945,0.12118670390918851,0.059884632124521414,0.0018713947538912942,0.07630419766064733,0.02883334962992451,0.0009010421759351409,256,16,16.182074000011198
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.10\aug_orbit_lambda_0.1_steps_4\seed_59,aug_orbit_lambda_0.1_steps_4,59,boost_0.10,0.4,,0.1,0.3189374580979347,0.10069071630808267,0.006293169769255167,0.3258673236705363,0.11219835798698845,0.003506198687093389,0.10971955372951925,0.06732902616562446,0.0021040320676757643,0.07514752534916624,0.02827431149297133,0.0008835722341553541,256,16,16.930518099994515
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.10\aug_orbit_lambda_0.1_steps_4\seed_71,aug_orbit_lambda_0.1_steps_4,71,boost_0.10,0.4,,0.1,0.4171714447438717,0.07889951710680652,0.004931219819175408,0.41997386422008276,0.08489486026751455,0.00265296438335983,0.12912575050722808,0.06581947284136354,0.0020568585262926106,0.07503010047366843,0.029043823059964627,0.0009076194706238946,256,16,16.431740500003798
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.20\aug_orbit_lambda_0.1_steps_4\seed_23,aug_orbit_lambda_0.1_steps_4,23,boost_0.20,0.8,,0.2,0.35174218751490116,0.077843177434051,0.004865198589628188,0.3625868074595928,0.09434148206854778,0.002948171314642118,0.2083892181981355,0.09625413238124642,0.0030079416369139505,0.1550751980394125,0.057520852807327875,0.0017975266502289961,256,16,16.638077900002827
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.20\aug_orbit_lambda_0.1_steps_4\seed_31,aug_orbit_lambda_0.1_steps_4,31,boost_0.20,0.8,,0.2,0.37398373521864414,0.0797110701849171,0.004981941886557319,0.38813014328479767,0.09839179527680685,0.003074743602400214,0.21895832964219153,0.10588701375589303,0.003308969179871657,0.15304526325780898,0.05699425826030002,0.0017810705706343755,256,16,16.76656470001035
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.20\aug_orbit_lambda_0.1_steps_4\seed_47,aug_orbit_lambda_0.1_steps_4,47,boost_0.20,0.8,,0.2,0.37636843882501125,0.08209717624324323,0.0051310735152027016,0.3946165032684803,0.10980844152450348,0.0034315137976407336,0.22660374362021685,0.11414131251079,0.0035669160159621876,0.15260839532129467,0.05766669925984902,0.0018020843518702818,256,16,18.260583700001007
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.20\aug_orbit_lambda_0.1_steps_4\seed_59,aug_orbit_lambda_0.1_steps_4,59,boost_0.20,0.8,,0.2,0.3189374580979347,0.10069071630808267,0.006293169769255167,0.3438692605122924,0.13962416559841825,0.0043632551749505704,0.20675893011502922,0.13098952235483677,0.004093422573588649,0.1502950506983325,0.05654862298594266,0.0017671444683107081,256,16,18.805371199996443
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.20\aug_orbit_lambda_0.1_steps_4\seed_71,aug_orbit_lambda_0.1_steps_4,71,boost_0.20,0.8,,0.2,0.4171714447438717,0.07889951710680652,0.004931219819175408,0.4305950552225113,0.10433617806588442,0.0032605055645588883,0.23931952589191496,0.12064690276477431,0.0037702157113991973,0.15006020094733685,0.058087646119929254,0.0018152389412477892,256,16,16.112876200000755
