run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,mae,mae_std,mae_stderr,method,model_name,num_batches,num_samples,oracle_canonical_ood_relative_l2,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_stderr,orbit_control,orbit_ood_mae,orbit_ood_mae_std,orbit_ood_mae_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,train_wall_seconds,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.diffusivity,config.dataset.modes,config.dataset.amplitude,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes,config.model.depth,config.model.add_grid,config.symmetry.name,config.symmetry.max_shift,config.symmetry.length,config.symmetry.use_mask,config.symmetry.mask_margin,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_orbit,config.training.lambda_aug,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.eval_every,config.training.eval_orbit_samples,config.training.data_fraction,config.training.num_workers,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,data_fraction,lambda_orbit,config.dataset.dt,config.dataset.viscosity,config.dataset.smoothness,config.dataset.solver_batch_size,config.dataset.dealias,config.model.modes1,config.model.modes2,config.symmetry.transforms,config.symmetry.probabilities,config.training.steps_per_epoch,steps_per_epoch,config.model.input_pseudoscalar,config.model.output_pseudoscalar,config.training.stop_after_epochs,config.runtime.resume,config.dataset.max_boost,config.symmetry.max_boost,config.symmetry.final_time,config.symmetry.boost_x_channel,config.symmetry.boost_y_channel,config.training.orbit_control,config.training.orbit_data_fraction,config.training.orbit_steps_per_epoch,config.training.orbit_batch_size,orbit_data_fraction,orbit_steps_per_epoch,config.training.lambda_tangent,config.training.unlabeled_orbit_steps_per_epoch,config.dataset.mean,force_mae,force_mae_std,force_mae_stderr,orbit_ood_force_mae,orbit_ood_force_mae_std,orbit_ood_force_mae_stderr,config.dataset.raw_dir,config.dataset.molecule,config.dataset.download_if_missing,config.dataset.split_seed,config.dataset.center_positions,config.dataset.charge_scale,config.model.n_atoms,config.model.hidden,config.symmetry.max_angle,config.symmetry.max_translation,config.symmetry.coord_start,config.symmetry.force_start,config.model.canonicalizers,config.model.canonical_channel,config.model.translation_mode,config.model.final_time,config.model.length,config.dataset.velocity,best_val_unrolled_mse,cycles_per_epoch,epochs,trajectory_nmse,trajectory_nmse_std,unrolled_mse,unrolled_mse_std,config.dataset.train_samples,config.dataset.valid_samples,config.dataset.test_samples,config.dataset.nx,config.dataset.nt,config.dataset.nt_effective,config.dataset.end_time,config.dataset.length,config.dataset.tol,config.model.num_layers,config.model.time_history,config.model.time_future,config.training.lr_decay,config.training.unrolling,config.training.print_interval,config.training.cycles_multiplier,config.training.max_cycles_per_epoch,config.training.augmentation.time_shift,config.training.augmentation.max_x_shift,config.training.augmentation.max_velocity,config.training.augmentation.max_scale,rollout_time_steps,trajectory_nmse_cumulative,trajectory_nmse_cumulative_std,unrolled_mse_cumulative,unrolled_mse_cumulative_std,config.dataset.overwrite,eval_orbit_samples,orbit_eval_samples,orbit_max_boost,orbit_ood_trajectory_nmse,orbit_ood_trajectory_nmse_cumulative,orbit_ood_trajectory_nmse_std,orbit_rollout_time_steps,config.training.orbit_max_boost,config.training.eval_orbit_seed,orbit_ood_trajectory_nmse_stderr,trajectory_nmse_stderr,config.dataset.input_steps,config.dataset.output_steps,config.dataset.terms,config.symmetry.input_steps,config.symmetry.output_steps,config.training.loss,config.model.boost_x_channel,config.model.boost_y_channel,config.model.boost_reduction,paper_table
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.01_steps_4\seed_23,0.5045140385627747,a93bdcd80e42,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,a93bdcd80e42,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19225013302639127,0.06968805066579263,0.0021777515833060197,0.3685741126537323,0.1495021607009819,0.004671942521905685,20.34110469999723,252.13725499997963,15.758578437498727,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.533201512414962,0.1255970466085643,0.003924907706517634,2668609,2668609,0.5052915513515472,0.08990627515581275,0.005619142197238297,23,,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.01_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,,,1.0,31.0,fno2d,3.0,1.0,48.0,,4.0,False,navier_stokes2d_galilean,,1.0,,,aug_orbit,150,16,0.001,0.0001,0.01,1.0,True,1e-06,10.0,4.0,0.02,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.01_steps_4/seed_23,False,0.02,0.01,0.001,0.001,8.0,8.0,True,12.0,12.0,,,4.0,4,,,20.0,True,0.5,0.25,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lambda_extended
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.01_steps_4\seed_31,0.5641423314809799,a5e5be5c897a,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,a5e5be5c897a,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19283841690048575,0.07128097322041756,0.0022275304131380486,0.4116803705692291,0.1701216568272126,0.005316301775850393,22.986071899998933,293.3050599996932,18.331566249980824,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.600124292075634,0.13307875756446558,0.004158711173889549,2668609,2668609,0.5714566707611084,0.0946821636477904,0.0059176352279869,31,,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.01_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,,,1.0,31.0,fno2d,3.0,1.0,48.0,,4.0,False,navier_stokes2d_galilean,,1.0,,,aug_orbit,150,16,0.001,0.0001,0.01,1.0,True,1e-06,10.0,4.0,0.02,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.01_steps_4/seed_31,False,0.02,0.01,0.001,0.001,8.0,8.0,True,12.0,12.0,,,4.0,4,,,20.0,True,0.5,0.25,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lambda_extended
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.01_steps_4\seed_47,0.5745863616466522,741416db8244,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,741416db8244,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.18829658185131848,0.06982046111387631,0.0021818894098086347,0.40625513857230544,0.16088417370488634,0.005027630428277698,17.63928049999231,204.05206499999622,12.753254062499764,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.5969447772949934,0.13023207470947407,0.0040697523346710646,2668609,2668609,0.5748099572956562,0.10478060118067832,0.006548787573792395,47,,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.01_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,,,1.0,31.0,fno2d,3.0,1.0,48.0,,4.0,False,navier_stokes2d_galilean,,1.0,,,aug_orbit,150,16,0.001,0.0001,0.01,1.0,True,1e-06,10.0,4.0,0.02,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.01_steps_4/seed_47,False,0.02,0.01,0.001,0.001,8.0,8.0,True,12.0,12.0,,,4.0,4,,,20.0,True,0.5,0.25,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lambda_extended
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23,0.41114696860313416,f942711416ad,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,f942711416ad,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19225013302639127,0.06968805066579263,0.0021777515833060197,0.2967575057409704,0.132148045096742,0.004129626409273187,19.348707599998306,220.17224000010174,13.760765000006359,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.43041030410677195,0.1168511931143239,0.003651599784822622,2668609,2668609,0.4079300407320261,0.08235839029970274,0.005147399393731421,23,,runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,,,1.0,31.0,fno2d,3.0,1.0,48.0,,4.0,False,navier_stokes2d_galilean,,1.0,,,aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10.0,4.0,0.02,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_galilean_n64_paper_ladder/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_23,False,0.02,0.05,0.001,0.001,8.0,8.0,True,12.0,12.0,,,4.0,4,,,20.0,True,0.5,0.25,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lambda_extended
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31,0.4408779889345169,0ed1943d4971,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,0ed1943d4971,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19283841690048575,0.07128097322041756,0.0022275304131380486,0.3311604899354279,0.15608950545757488,0.004877797045549215,18.877338299993426,276.464974999908,17.27906093749425,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.4728768290951848,0.12687285239520843,0.003964776637350263,2668609,2668609,0.4431467857211828,0.09173351097213325,0.005733344435758328,31,,runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,,,1.0,31.0,fno2d,3.0,1.0,48.0,,4.0,False,navier_stokes2d_galilean,,1.0,,,aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10.0,4.0,0.02,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_galilean_n64_paper_ladder/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_31,False,0.02,0.05,0.001,0.001,8.0,8.0,True,12.0,12.0,,,4.0,4,,,20.0,True,0.5,0.25,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lambda_extended
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47,0.444568395614624,6692f46699b4,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,6692f46699b4,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.18829658185131848,0.06982046111387631,0.0021818894098086347,0.31934808916412294,0.14504174457470653,0.004532554517959579,19.759751799996593,352.02437000007194,22.001523125004496,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.4644093024544418,0.11795353418530964,0.0036860479432909263,2668609,2668609,0.44410983473062515,0.08789472735049333,0.005493420459405833,47,,runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,,,1.0,31.0,fno2d,3.0,1.0,48.0,,4.0,False,navier_stokes2d_galilean,,1.0,,,aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10.0,4.0,0.02,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_galilean_n64_paper_ladder/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_47,False,0.02,0.05,0.001,0.001,8.0,8.0,True,12.0,12.0,,,4.0,4,,,20.0,True,0.5,0.25,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lambda_extended
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59,0.3561897836625576,beb2c19cc494,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,beb2c19cc494,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19502086704596877,0.06897388736061734,0.002155433980019292,0.2864377486985177,0.15683852351054084,0.004901203859704401,27.830349800002296,324.32176000002073,20.270110000001296,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.394859722815454,0.15648227987658903,0.004890071246143407,2668609,2668609,0.35551958344876766,0.10535435227507495,0.006584647017192184,59,,runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\config.yaml,59,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,,,1.0,31.0,fno2d,3.0,1.0,48.0,,4.0,False,navier_stokes2d_galilean,,1.0,,,aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10.0,4.0,0.02,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_galilean_n64_paper_ladder/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_59,False,0.02,0.05,0.001,0.001,8.0,8.0,True,12.0,12.0,,,4.0,4,,,20.0,True,0.5,0.25,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lambda_extended
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71,0.463244266808033,c5e2e4b37a4e,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,c5e2e4b37a4e,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19029024778865278,0.07178788323667873,0.0022433713511462103,0.3467512344941497,0.15889294570884543,0.00496540455340142,22.202499899998656,236.38758000015514,14.774223750009696,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.49648840306326747,0.12764033453794532,0.003988760454310791,2668609,2668609,0.4692544639110565,0.08914675465660651,0.005571672166037907,71,,runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71\config.yaml,71,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,,,1.0,31.0,fno2d,3.0,1.0,48.0,,4.0,False,navier_stokes2d_galilean,,1.0,,,aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10.0,4.0,0.02,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_galilean_n64_paper_ladder/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_71,False,0.02,0.05,0.001,0.001,8.0,8.0,True,12.0,12.0,,,4.0,4,,,20.0,True,0.5,0.25,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lambda_extended
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23,0.3566172644495964,15e40d4c8c80,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,15e40d4c8c80,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19225013302639127,0.06968805066579263,0.0021777515833060197,0.2530845678411424,0.12607723867135281,0.0039399137084797755,25.0394590000069,323.76004500038107,20.235002812523817,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.3743666750378907,0.11671114434318862,0.0036472232607246443,2668609,2668609,0.35174218751490116,0.077843177434051,0.004865198589628188,23,,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,,,1.0,31.0,fno2d,3.0,1.0,48.0,,4.0,False,navier_stokes2d_galilean,,1.0,,,aug_orbit,150,16,0.001,0.0001,0.1,1.0,True,1e-06,10.0,4.0,0.02,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_23,False,0.02,0.1,0.001,0.001,8.0,8.0,True,12.0,12.0,,,4.0,4,,,20.0,True,0.5,0.25,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lambda_extended
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31,0.3725278042256832,64f26f2dcb71,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,64f26f2dcb71,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19283841690048575,0.07128097322041756,0.0022275304131380486,0.2692930868361145,0.14138593454553086,0.004418310454547839,24.81355639999674,326.49204499975895,20.405752812484934,20.0,5.0,,,,aug_orbit,fno2d,16.0,256.0,,,,,,,,0.4028443736024201,0.11890964229022491,0.0037159263215695284,2668609,2668609,0.37398373521864414,0.0797110701849171,0.004981941886557319,31,,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64.0,1024.0,128.0,256.0,0.5,,,1.0,31.0,fno2d,3.0,1.0,48.0,,4.0,False,navier_stokes2d_galilean,,1.0,,,aug_orbit,150,16,0.001,0.0001,0.1,1.0,True,1e-06,10.0,4.0,0.02,0.0,1.0,20.0,5.0,False,auto,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_31,False,0.02,0.1,0.001,0.001,8.0,8.0,True,12.0,12.0,,,4.0,4,,,20.0,True,0.5,0.25,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lambda_extended
