severity,severity_scale,max_boost,method,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,observable_canonical_ood_relative_l2_mean,observable_canonical_ood_relative_l2_std,observable_canonical_ood_relative_l2_count,observable_canonical_gap_relative_mean,observable_canonical_gap_relative_std,observable_canonical_gap_relative_count,observable_canonical_relative_l2_mean,observable_canonical_relative_l2_std,observable_canonical_relative_l2_count,epsilon_mean_mean,epsilon_mean_std,epsilon_mean_count,total_boost_norm_mean_mean,total_boost_norm_mean_std,total_boost_norm_mean_count,observable_canonical_delta_pct
boost_0.10,0.4,0.1,aug_orbit_steps_4,0.4280973534099758,0.042817950101396315,5,0.3822195864282548,0.062275514177780364,5,0.3827794215641916,0.04493196556878443,5,0.3822195868939161,0.06227550733531632,5,0.07610841082641855,0.0010414586365699884,5,0.3800127129070461,0.001485200274564289,5,-10.7166668086792
boost_0.10,0.4,0.1,aug_steps_6,0.504959150031209,0.057391132891066364,5,0.4658411636017263,0.07835606877765744,5,0.4631394503638148,0.052458541938613885,5,0.46584116108715534,0.07835606328170555,5,0.07610841082641855,0.0010414586365699884,5,0.3800127129070461,0.001485200274564289,5,-7.746762570212854
boost_0.20,0.8,0.2,aug_orbit_steps_4,0.4409779436886311,0.040213417676356666,5,0.3822195863351226,0.062275512461502563,5,0.3970596511848271,0.04247780797125201,5,0.3822195868939161,0.06227550733531632,5,0.1522168216528371,0.002082917273139977,5,0.39617257975041864,0.002687434616441411,5,-13.324556974894193
boost_0.20,0.8,0.2,aug_steps_6,0.5176457076333463,0.05429066619839901,5,0.4658411620184779,0.07835606510673511,5,0.4770199000835419,0.05026431817786067,5,0.46584116108715534,0.07835606328170555,5,0.1522168216528371,0.002082917273139977,5,0.39617257975041864,0.002687434616441411,5,-10.007722434658348
boost_0.35,1.4,0.35,aug_orbit_steps_4,0.48071915060281756,0.03443095024899542,5,0.38221958791837096,0.06227551317700571,5,0.4406524888239801,0.0369360246801283,5,0.3822195868939161,0.06227550733531632,5,0.26637942758388816,0.003645103030004082,5,0.44085081219673156,0.0048162443015786136,5,-20.49004341951616
boost_0.35,1.4,0.35,aug_steps_6,0.5554751775227487,0.0476043320665255,5,0.4658411618322134,0.07835606649332419,5,0.5182549584656954,0.0442185217200346,5,0.46584116108715534,0.07835606328170555,5,0.26637942758388816,0.003645103030004082,5,0.44085081219673156,0.0048162443015786136,5,-16.136457454368323
boost_0.50,2.0,0.5,aug_orbit_steps_4,0.5449375823140145,0.026712908521942663,5,0.38221958475187423,0.062275513295195026,5,0.5147885387763381,0.030411436017917116,5,0.3822195868939161,0.06227550733531632,5,0.3805420490913093,0.005207290133984615,5,0.5084747289307415,0.006819087652563832,5,-29.859933108518053
boost_0.50,2.0,0.5,aug_steps_6,0.615769459027797,0.038424578886321684,5,0.46584116397425535,0.07835606730439483,5,0.5882158610969782,0.034982461298666195,5,0.46584116108715534,0.07835606328170555,5,0.3805420490913093,0.005207290133984615,5,0.5084747289307415,0.006819087652563832,5,-24.34812133915424
train_radius,1.0,0.25,aug_orbit_steps_4,0.45137997455894946,0.03851915394424391,5,0.3822195855900645,0.06227551262031381,5,0.4084178672172129,0.040786717513667275,5,0.3822195868939161,0.06227550733531632,5,0.19027102454565464,0.0026036450669923075,5,0.40841429876163604,0.0033524027750310675,5,-15.321988760459002
train_radius,1.0,0.25,aug_steps_6,0.5276591050438583,0.05233804633687878,5,0.46584116369485856,0.07835606626360597,5,0.48787471931427717,0.04863345482161225,5,0.46584116108715534,0.07835606328170555,5,0.19027102454565464,0.0026036450669923075,5,0.40841429876163604,0.0033524027750310675,5,-11.715507371726577
