checkpoint,run_dir,method,seed,severity,severity_scale,max_boost,observable_canonical_relative_l2,observable_canonical_relative_l2_std,observable_canonical_relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,observable_canonical_ood_relative_l2,observable_canonical_ood_relative_l2_std,observable_canonical_ood_relative_l2_stderr,observable_canonical_gap_relative,observable_canonical_gap_relative_std,observable_canonical_gap_relative_stderr,observed_boost_norm_mean,observed_boost_norm_mean_std,observed_boost_norm_mean_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,total_boost_norm_mean,total_boost_norm_mean_std,total_boost_norm_mean_stderr,num_samples,num_batches,eval_seconds
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_23\observable_canonicalization,aug_orbit_steps_4,23,boost_0.10,0.4,0.1,0.3610133398324251,0.04829802747094702,0.0030186267169341886,0.40973882423713803,0.08508530711612933,0.0026589158473790415,0.36101333517581224,0.04829811651061094,0.0015093161409565918,0.3543853824958205,0.12178200402173793,0.0038056876256793103,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07753759901970625,0.028760426403663938,0.0008987633251144981,0.3782709199003875,0.15116020055706844,0.004723756267408389,256,16,35.489364699984435
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_31\observable_canonicalization,aug_orbit_steps_4,31,boost_0.10,0.4,0.1,0.40910317562520504,0.06092315476197702,0.003807697172623564,0.44660280644893646,0.09371223825259405,0.002928507445393564,0.4091031774878502,0.060923115502202405,0.0019038473594438251,0.4128698566928506,0.12958279044149115,0.0040494622012965985,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07652263162890449,0.02849712913015001,0.0008905352853171878,0.3808317603543401,0.1474375770357314,0.004607424282366606,256,16,35.7435541000159
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_47\observable_canonicalization,aug_orbit_steps_4,47,boost_0.10,0.4,0.1,0.3993988949805498,0.059278598343406576,0.003704912396462911,0.44882547529414296,0.09430145371991124,0.002946920428747226,0.39939889684319496,0.05927856615485623,0.0018524551923392572,0.3993008411489427,0.1342640928152558,0.004195752900476744,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07630419766064733,0.02883334962992451,0.0009010421759351409,0.38111159997060895,0.1518728549599052,0.004746026717497038,256,16,34.820049000001745
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_59\observable_canonicalization,aug_orbit_steps_4,59,boost_0.10,0.4,0.1,0.2877726461738348,0.03854656281222555,0.002409160175764097,0.3628580002114177,0.11726121062388441,0.0036644128319963877,0.28777263639494777,0.0385465799450774,0.0012045806232836688,0.3192418050020933,0.13750775176091876,0.004297117242528711,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07514752534916624,0.02827431149297133,0.0008835722341553541,0.38132026605308056,0.14799164625916691,0.004624738945598966,256,16,39.03717620001407
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_71\observable_canonicalization,aug_orbit_steps_4,71,boost_0.10,0.4,0.1,0.4538098778575659,0.055144160971845685,0.0034465100607403553,0.4724616608582437,0.0949046953308857,0.0029657717290901783,0.45380988623946905,0.0551442271037417,0.0017232570969919281,0.42809922248125076,0.1410743756319109,0.004408574238497215,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07503010047366843,0.029043823059964627,0.0009076194706238946,0.3785290182568133,0.14567828401838884,0.004552446375574651,256,16,39.021312800003216
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_23\observable_canonicalization,aug_steps_6,23,boost_0.10,0.4,0.1,0.4357576444745064,0.06152666425257606,0.0038454165157860037,0.47741912910714746,0.09223072085706026,0.002882210026783133,0.4357576509937644,0.061526688088584414,0.001922709002768263,0.43333694711327553,0.13951529718581074,0.004359853037056586,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07753759901970625,0.028760426403663938,0.0008987633251144981,0.3782709199003875,0.15116020055706844,0.004723756267408389,256,16,39.6934405999782
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_31\observable_canonicalization,aug_steps_6,31,boost_0.10,0.4,0.1,0.5296987444162369,0.07679139071505331,0.004799461919690832,0.5482212519273162,0.0960645579963506,0.003002017437385956,0.5296987458132207,0.07679140836670696,0.0023997315114595926,0.5019305255264044,0.14979042771377765,0.004680950866055552,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07652263162890449,0.02849712913015001,0.0008905352853171878,0.3808317603543401,0.1474375770357314,0.004607424282366606,256,16,37.641303099982906
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_47\observable_canonicalization,aug_steps_6,47,boost_0.10,0.4,0.1,0.4996605161577463,0.06856024556593784,0.004285015347871115,0.5391324646770954,0.09913382979945112,0.0030979321812328476,0.4996605133637786,0.06856025913610457,0.002142508098003268,0.4951707306317985,0.14950617233068145,0.004672067885333795,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07630419766064733,0.02883334962992451,0.0009010421759351409,0.38111159997060895,0.1518728549599052,0.004746026717497038,256,16,36.98307919999934
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_59\observable_canonicalization,aug_steps_6,59,boost_0.10,0.4,0.1,0.34218985214829445,0.04527371115761654,0.0028296069473510337,0.4162450204603374,0.12233973290233106,0.0038231166531978457,0.3421898437663913,0.04527375522482979,0.001414804850775931,0.3845462189055979,0.14507999497214816,0.00453374984287963,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07514752534916624,0.02827431149297133,0.0008835722341553541,0.38132026605308056,0.14799164625916691,0.004624738945598966,256,16,35.130014800000936
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_71\observable_canonicalization,aug_steps_6,71,boost_0.10,0.4,0.1,0.5218990482389927,0.061512207671781984,0.003844512979486374,0.5437778839841485,0.09395080874323897,0.0029359627732262177,0.5218990640714765,0.061512173646879505,0.0019222554264649845,0.5007128296419978,0.14703187004331364,0.004594745938853551,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.07503010047366843,0.029043823059964627,0.0009076194706238946,0.3785290182568133,0.14567828401838884,0.004552446375574651,256,16,34.61896709998837
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_23\observable_canonicalization,aug_orbit_steps_4,23,boost_0.20,0.8,0.2,0.3610133398324251,0.04829802747094702,0.0030186267169341886,0.41918037086725235,0.09674811125027431,0.0030233784765710723,0.36101333843544126,0.04829808612001956,0.0015093151912506113,0.3665460320189595,0.13612769252236293,0.004253990391323841,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.1550751980394125,0.057520852807327875,0.0017975266502289961,0.39373479038476944,0.17122946440085926,0.005350920762526852,256,16,27.175033500010613
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_31\observable_canonicalization,aug_orbit_steps_4,31,boost_0.20,0.8,0.2,0.40910317562520504,0.06092315476197702,0.003807697172623564,0.45862683607265353,0.10750011097712579,0.003359378468035181,0.40910317888483405,0.060923129051628264,0.0019038477828633832,0.4259645976126194,0.14541330644255507,0.004544165826329846,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.15304526325780898,0.05699425826030002,0.0017810705706343755,0.39744911389425397,0.1664412282074595,0.005201288381483109,256,16,31.379896099999314
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_47\observable_canonicalization,aug_orbit_steps_4,47,boost_0.20,0.8,0.2,0.3993988949805498,0.059278598343406576,0.003704912396462911,0.4618884208612144,0.1120811013125477,0.0035025344160171156,0.39939889311790466,0.059278587326858784,0.001852455853964337,0.41396810160949826,0.15323968195478596,0.004788740061087061,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.15260839532129467,0.05766669925984902,0.0018020843518702818,0.39918434666469693,0.17138732719832803,0.005355853974947751,256,16,30.786862199980533
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_59\observable_canonicalization,aug_orbit_steps_4,59,boost_0.20,0.8,0.2,0.2877726461738348,0.03854656281222555,0.002409160175764097,0.38207907183095813,0.14508490998939685,0.004533903437168652,0.28777263779193163,0.03854657555602133,0.0012045804861256666,0.33917062170803547,0.1695187245588867,0.005297460142465209,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.1502950506983325,0.05654862298594266,0.0017671444683107081,0.39754231041297317,0.16810167822946664,0.005253177444670833,256,16,32.79740320000565
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_71\observable_canonicalization,aug_orbit_steps_4,71,boost_0.20,0.8,0.2,0.4538098778575659,0.055144160971845685,0.0034465100607403553,0.4831150188110769,0.11209024781726754,0.0035028202442896105,0.4538098834455013,0.05514424587450724,0.0017232576835783512,0.4396489029750228,0.15727533616752007,0.004914854255235002,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.15006020094733685,0.058087646119929254,0.0018152389412477892,0.3929523373953998,0.16229259299792204,0.005071643531185064,256,16,30.938235400011763
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_23\observable_canonicalization,aug_steps_6,23,boost_0.20,0.8,0.2,0.4357576444745064,0.06152666425257606,0.0038454165157860037,0.4881017762236297,0.10282024730104397,0.003213132728157624,0.4357576514594257,0.06152672452489666,0.0019227101414030206,0.444301241543144,0.1512199985492253,0.004725624954663291,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.1550751980394125,0.057520852807327875,0.0017975266502289961,0.39373479038476944,0.17122946440085926,0.005350920762526852,256,16,31.843905800022185
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_31\observable_canonicalization,aug_steps_6,31,boost_0.20,0.8,0.2,0.5296987444162369,0.07679139071505331,0.004799461919690832,0.5600695637986064,0.10926656589092147,0.003414580184091296,0.529698746278882,0.07679143547450354,0.0023997323585782356,0.5166617003269494,0.16478018124799929,0.005149380663999978,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.15304526325780898,0.05699425826030002,0.0017810705706343755,0.39744911389425397,0.1664412282074595,0.005201288381483109,256,16,37.349368099996354
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_47\observable_canonicalization,aug_steps_6,47,boost_0.20,0.8,0.2,0.4996605161577463,0.06856024556593784,0.004285015347871115,0.5519582414999604,0.11421933044394528,0.00356935407637329,0.4996605096384883,0.06856026760765789,0.002142508362739309,0.5091968774795532,0.1643085194028657,0.005134641231339553,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.15260839532129467,0.05766669925984902,0.0018020843518702818,0.39918434666469693,0.17138732719832803,0.005355853974947751,256,16,36.92275360002532
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_59\observable_canonicalization,aug_steps_6,59,boost_0.20,0.8,0.2,0.34218985214829445,0.04527371115761654,0.0028296069473510337,0.4356270330026746,0.1478536683884773,0.004620427137139916,0.34218984795734286,0.04527374283384887,0.0014148044635577772,0.40425209794193506,0.17494723492596967,0.005467101091436552,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.1502950506983325,0.05654862298594266,0.0017671444683107081,0.39754231041297317,0.16810167822946664,0.005253177444670833,256,16,32.8440597000008
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_71\observable_canonicalization,aug_steps_6,71,boost_0.20,0.8,0.2,0.5218990482389927,0.061512207671781984,0.003844512979486374,0.5524719236418605,0.108599142589862,0.0033937232059331876,0.5218990547582507,0.0615122507721895,0.0019222578366309218,0.5106875831261277,0.16053714017545068,0.005016785630482834,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.15006020094733685,0.058087646119929254,0.0018152389412477892,0.3929523373953998,0.16229259299792204,0.005071643531185064,256,16,27.325661599985324
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_23\observable_canonicalization,aug_orbit_steps_4,23,train_radius,1.0,0.25,0.3610133398324251,0.04829802747094702,0.0030186267169341886,0.4279166623018682,0.1079855838681889,0.0033745494958809033,0.3610133375041187,0.048298105133118704,0.0015093157854099595,0.3766412800177932,0.1487584492868349,0.004648701540213591,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.19384399359114468,0.07190105852850656,0.00224690807901583,0.4058612585067749,0.18427383421579416,0.005758557319243567,256,16,30.76522100000875
