severity,severity_scale,max_boost,method,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,epsilon_mean_mean,epsilon_mean_std,epsilon_mean_count
boost_0.10,0.4,0.1,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.37148185735568406,0.03491147393174433,5,0.11777521977201104,0.007723508141592391,5,0.07610841082641855,0.0010414586365699884,5
boost_0.10,0.4,0.1,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.504959150031209,0.057391132891066364,5,0.1773718833224848,0.017115845443869397,5,0.07610841082641855,0.0010414586365699884,5
boost_0.20,0.8,0.2,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.3839595539495349,0.03305245937740224,5,0.2200059494934976,0.013491428727076017,5,0.1522168216528371,0.002082917273139977,5
boost_0.20,0.8,0.2,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.5176457076333463,0.05429066619839901,5,0.3204523526132107,0.028222777251337015,5,0.1522168216528371,0.002082917273139977,5
boost_0.35,1.4,0.35,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.42415375635027885,0.028522237655661295,5,0.3447429035790265,0.017250996791017735,5,0.26637942758388816,0.003645103030004082,5
boost_0.35,1.4,0.35,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.5554751775227487,0.0476043320665255,5,0.47716859290376307,0.03483083095361909,5,0.26637942758388816,0.003645103030004082,5
boost_0.50,2.0,0.5,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.4910142183303833,0.021614513427919917,5,0.456046259123832,0.015625594832197633,5,0.3805420490913093,0.005207290133984615,5
boost_0.50,2.0,0.5,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.615769459027797,0.038424578886321684,5,0.5971294542774558,0.032668780869497115,5,0.3805420490913093,0.005207290133984615,5
train_radius,1.0,0.25,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.39430237831547854,0.031804576340177845,5,0.26459835027344525,0.015404244539067545,5,0.19027102454565464,0.0026036450669923075,5
train_radius,1.0,0.25,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.5276591050438583,0.05233804633687878,5,0.37902478594332933,0.03164119838809726,5,0.19027102454565464,0.0026036450669923075,5
