severity,severity_scale,max_boost,method_label,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,oracle_canonical_ood_relative_l2_mean,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_count,oracle_gap_pct_mean
boost_0.10,0.4,0.1,FNO,0.9336431169882417,0.023609987803597434,5,0.9286857791244983,0.02283818955473919,5,0.5338014186474079
boost_0.10,0.4,0.1,FNO + aug.,0.504959150031209,0.057391132891066364,5,0.5008777289651334,0.059013664106447546,5,0.8148537716995748
boost_0.10,0.4,0.1,FNO + aug. + orbit,0.37148185735568406,0.034911473931744326,5,0.3676406521350145,0.03603633222827408,5,1.0448260273618724
boost_0.20,0.8,0.2,FNO,0.9473298609256744,0.023961528754309264,5,0.9286857834085822,0.02283818364555405,5,2.0075764968278387
boost_0.20,0.8,0.2,FNO + aug.,0.5176457076333463,0.05429066619839901,5,0.5008777325972915,0.059013667291864906,5,3.3477182044218177
boost_0.20,0.8,0.2,FNO + aug. + orbit,0.3839595539495349,0.03305245937740224,5,0.3676406516693532,0.03603633328655561,5,4.438818777543266
train_radius,1.0,0.25,FNO,0.9568993199616671,0.02399779179730109,5,0.9286857854574919,0.02283819122960902,5,3.0380064975665104
train_radius,1.0,0.25,FNO + aug.,0.5276591050438583,0.05233804633687879,5,0.500877729896456,0.05901366862730471,5,5.34688878120788
train_radius,1.0,0.25,FNO + aug. + orbit,0.39430237831547854,0.03180457634017786,5,0.36764065148308867,0.036036335077811545,5,7.252116088042648
boost_0.35,1.4,0.35,FNO,0.9798298634588718,0.023847676172460162,5,0.9286857793107629,0.02283818763085576,5,5.507146258454198
boost_0.35,1.4,0.35,FNO + aug.,0.5554751775227487,0.0476043320665255,5,0.5008777299895882,0.05901366589124445,5,10.900354370775348
boost_0.35,1.4,0.35,FNO + aug. + orbit,0.42415375635027885,0.02852223765566127,5,0.36764065111055966,0.03603633261569559,5,15.371832540554431
boost_0.50,2.0,0.5,FNO,1.0192776266485453,0.023266281143358367,5,0.9286857791244983,0.022838188908360823,5,9.754843840663819
boost_0.50,2.0,0.5,FNO + aug.,0.615769459027797,0.038424578886321684,5,0.5008777294307947,0.059013666709468164,5,22.93807906523756
boost_0.50,2.0,0.5,FNO + aug. + orbit,0.4910142183303833,0.02161451342791991,5,0.3676406505517661,0.03603633272039988,5,33.55819537188133
