checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,relative_l2,relative_l2_std,relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,num_samples,num_batches,eval_seconds
runs\ablations\2d_galilean_n64_2pct_semi_supervised_joint\fraction_0.02\semi_aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_semi_supervised_ood_severity\fraction_0.02\boost_0.10\semi_aug_orbit\seed_23,semi_aug_orbit,23,boost_0.10,0.4,,0.1,0.4475370720028877,0.07157898584630186,0.004473686615393866,0.44879776798188686,0.07279971181425428,0.002274990994195446,0.10362791235093027,0.04302330467493534,0.0013444782710917294,0.07753759901970625,0.028760426403663938,0.0008987633251144981,256,16,17.659262700006366
runs\ablations\2d_galilean_n64_2pct_semi_supervised_joint\fraction_0.02\semi_aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_semi_supervised_ood_severity\fraction_0.02\boost_0.10\semi_aug_orbit\seed_31,semi_aug_orbit,31,boost_0.10,0.4,,0.1,0.5439915731549263,0.0740078388717111,0.004625489929481944,0.5452995654195547,0.07524974770302516,0.002351554615719536,0.11977861972991377,0.05111306315685873,0.0015972832236518352,0.07652263162890449,0.02849712913015001,0.0008905352853171878,256,16,21.543064900004538
runs\ablations\2d_galilean_n64_2pct_semi_supervised_joint\fraction_0.02\semi_aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_semi_supervised_ood_severity\fraction_0.02\boost_0.10\semi_aug_orbit\seed_47,semi_aug_orbit,47,boost_0.10,0.4,,0.1,0.49296038411557674,0.07504650628752867,0.004690406642970542,0.49558368138968945,0.07780353527642246,0.002431360477388202,0.10868100600782782,0.0490725302939879,0.0015335165716871219,0.07630419766064733,0.02883334962992451,0.0009010421759351409,256,16,17.990514700009953
runs\ablations\2d_galilean_n64_2pct_semi_supervised_joint\fraction_0.02\semi_aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_semi_supervised_ood_severity\fraction_0.02\boost_0.20\semi_aug_orbit\seed_23,semi_aug_orbit,23,boost_0.20,0.8,,0.2,0.4475370720028877,0.07157898584630186,0.004473686615393866,0.4551293635740876,0.0792701221223324,0.0024771913163228877,0.1914213658310473,0.08092053075089581,0.002528766585965494,0.1550751980394125,0.057520852807327875,0.0017975266502289961,256,16,23.931909399994765
runs\ablations\2d_galilean_n64_2pct_semi_supervised_joint\fraction_0.02\semi_aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_semi_supervised_ood_severity\fraction_0.02\boost_0.20\semi_aug_orbit\seed_31,semi_aug_orbit,31,boost_0.20,0.8,,0.2,0.5439915731549263,0.0740078388717111,0.004625489929481944,0.5510160233825445,0.0811356222719374,0.0025354881959980436,0.2213599814567715,0.09479187279830459,0.0029622460249470184,0.15304526325780898,0.05699425826030002,0.0017810705706343755,256,16,15.850875599993742
runs\ablations\2d_galilean_n64_2pct_semi_supervised_joint\fraction_0.02\semi_aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_semi_supervised_ood_severity\fraction_0.02\boost_0.20\semi_aug_orbit\seed_47,semi_aug_orbit,47,boost_0.20,0.8,,0.2,0.49296038411557674,0.07504650628752867,0.004690406642970542,0.5037637036293745,0.08662258358592685,0.002706955737060214,0.20139779220335186,0.09450262948842647,0.002953207171513327,0.15260839532129467,0.05766669925984902,0.0018020843518702818,256,16,18.382560300000478
runs\ablations\2d_galilean_n64_2pct_semi_supervised_joint\fraction_0.02\semi_aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_semi_supervised_ood_severity\fraction_0.02\boost_0.25\semi_aug_orbit\seed_23,semi_aug_orbit,23,train_radius,1.0,,0.25,0.4475370720028877,0.07157898584630186,0.004473686615393866,0.4611494578421116,0.0862480848871092,0.0026952526527221623,0.22994213923811913,0.10099071275731013,0.0031559597736659415,0.19384399359114468,0.07190105852850656,0.00224690807901583,256,16,23.856815399994957
runs\ablations\2d_galilean_n64_2pct_semi_supervised_joint\fraction_0.02\semi_aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_semi_supervised_ood_severity\fraction_0.02\boost_0.25\semi_aug_orbit\seed_31,semi_aug_orbit,31,train_radius,1.0,,0.25,0.5439915731549263,0.0740078388717111,0.004625489929481944,0.5562471114099026,0.08694972250237762,0.0027171788281993006,0.26609981223009527,0.11675360989772783,0.0036485503093039947,0.19130657613277435,0.07124281708448539,0.0022263380338901685,256,16,30.720409200002905
runs\ablations\2d_galilean_n64_2pct_semi_supervised_joint\fraction_0.02\semi_aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_semi_supervised_ood_severity\fraction_0.02\boost_0.25\semi_aug_orbit\seed_47,semi_aug_orbit,47,train_radius,1.0,,0.25,0.49296038411557674,0.07504650628752867,0.004690406642970542,0.5105159496888518,0.09498806158820015,0.002968376924631255,0.24253260623663664,0.11849049030592679,0.003702827822060212,0.19076048978604376,0.07208337280867372,0.0022526054002710537,256,16,34.46019030000025
runs\ablations\2d_galilean_n64_2pct_semi_supervised_joint\fraction_0.02\semi_aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_semi_supervised_ood_severity\fraction_0.02\boost_0.35\semi_aug_orbit\seed_23,semi_aug_orbit,23,boost_0.35,1.4,,0.35,0.4475370720028877,0.07157898584630186,0.004473686615393866,0.48063546046614647,0.11066042773227894,0.003458138366633717,0.3012982509098947,0.14802859026722662,0.004625893445850832,0.27138158469460905,0.10066149129388946,0.0031456716029340456,256,16,23.309323299996322
