severity,severity_scale,max_boost,method,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,epsilon_mean_mean,epsilon_mean_std,epsilon_mean_count
boost_0.10,0.4,0.1,aug_orbit_steps_4,0.4239921417087317,0.044064674324690065,5,0.4280973534099758,0.04281795010139631,5,0.14177904026582833,0.01189688880858286,5,0.0761084108264185,0.0010414586365699733,5
boost_0.10,0.4,0.1,aug_steps_6,0.5008777312934398,0.05901367076480938,5,0.504959150031209,0.057391132891066364,5,0.17737188332248474,0.017115845443869394,5,0.0761084108264185,0.0010414586365699733,5
boost_0.10,0.4,0.1,semi_aug_orbit,0.49482967642446357,0.04825441314972342,3,0.4965603382637103,0.04825831142054547,3,0.11069584602955723,0.008261720307857195,3,0.07678814276975264,0.0006581731174759197,3
boost_0.20,0.8,0.2,aug_orbit_steps_4,0.4239921417087317,0.044064674324690065,5,0.4409779436886311,0.040213417676356694,5,0.26174449184909454,0.020418513040169894,5,0.15221682165283706,0.00208291727313998,5
boost_0.20,0.8,0.2,aug_steps_6,0.5008777312934398,0.05901367076480938,5,0.5176457076333463,0.05429066619839901,5,0.3204523526132107,0.02822277725133701,5,0.15221682165283706,0.00208291727313998,5
boost_0.20,0.8,0.2,semi_aug_orbit,0.49482967642446357,0.04825441314972342,3,0.5033030301953355,0.04794498980410057,3,0.20472637983039021,0.015244336590661104,3,0.15357628553950534,0.0013163462349518827,3
train_radius,1.0,0.25,aug_orbit_steps_4,0.4239921417087317,0.044064674324690065,5,0.45137997455894946,0.0385191539442439,5,0.312677507288754,0.023180776049073294,5,0.19027102454565462,0.002603645066992296,5
train_radius,1.0,0.25,aug_steps_6,0.5008777312934398,0.05901367076480938,5,0.5276591050438583,0.05233804633687879,5,0.3790247859433293,0.03164119838809727,5,0.19027102454565462,0.002603645066992296,5
train_radius,1.0,0.25,semi_aug_orbit,0.49482967642446357,0.04825441314972342,3,0.5093041729802886,0.04756040612335496,3,0.2461915192349503,0.018354428955856723,3,0.19197035316998753,0.001645432738025663,3
boost_0.35,1.4,0.35,aug_orbit_steps_4,0.4239921417087317,0.044064674324690065,5,0.48071915060281756,0.03443095024899543,5,0.40109234368428587,0.025815986542055233,5,0.2663794275838881,0.003645103030004047,5
boost_0.35,1.4,0.35,aug_steps_6,0.5008777312934398,0.05901367076480938,5,0.5554751775227487,0.0476043320665255,5,0.47716859290376307,0.03483083095361911,5,0.2663794275838881,0.003645103030004047,5
boost_0.35,1.4,0.35,semi_aug_orbit,0.49482967642446357,0.04825441314972342,3,0.527867739709715,0.046190800284936384,3,0.3225827225639174,0.02359114608039095,3,0.26875848765484983,0.0023036055956279274,3
boost_0.50,2.0,0.5,aug_orbit_steps_4,0.4239921417087317,0.044064674324690065,5,0.5449375823140145,0.026712908521942663,5,0.5160984207876027,0.023615428199174695,5,0.3805420490913093,0.0052072901339846305,5
boost_0.50,2.0,0.5,aug_steps_6,0.5008777312934398,0.05901367076480938,5,0.615769459027797,0.038424578886321684,5,0.5971294542774558,0.032668780869497115,5,0.3805420490913093,0.0052072901339846305,5
boost_0.50,2.0,0.5,semi_aug_orbit,0.49482967642446357,0.04825441314972342,3,0.5730968221711615,0.0425423233172557,3,0.43380727836241323,0.0278166192835571,3,0.3839407063399752,0.003290865476051326,3
