checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,relative_l2,relative_l2_std,relative_l2_stderr
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_23,aug_orbit_steps_4,23,boost_0.10,0.4,,0.1,0.0775375990197062,0.0287604264036639,0.0008987633251144,0.1333179307403043,0.0581520393542366,0.0018172512298198,19.079035099995963,16,256,0.409738824237138,0.0850853071161293,0.002658915847379,0.4079300407320261,0.0823583902997027,0.0051473993937314
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_31,aug_orbit_steps_4,31,boost_0.10,0.4,,0.1,0.0765226316289044,0.02849712913015,0.0008905352853171,0.1478061452507972,0.0672841489813314,0.0021026296556666,16.446406700000807,16,256,0.4466028064489364,0.093712238252594,0.0029285074453935,0.4431467857211828,0.0917335109721332,0.0057333444357583
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_47,aug_orbit_steps_4,47,boost_0.10,0.4,,0.1,0.0763041976606473,0.0288333496299245,0.0009010421759351,0.1481329712551087,0.0687305745339248,0.0021478304541851,17.305858500003524,16,256,0.4488254752941429,0.0943014537199112,0.0029469204287472,0.4441098347306251,0.0878947273504933,0.0054934204594058
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_59,aug_orbit_steps_4,59,boost_0.10,0.4,,0.1,0.0751475253491662,0.0282743114929713,0.0008835722341553,0.1254982507089153,0.0710930291824448,0.0022216571619514,22.26041309999709,16,256,0.3628580002114177,0.1172612106238844,0.0036644128319963,0.3555195834487676,0.1053543522750749,0.0065846470171921
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_71,aug_orbit_steps_4,71,boost_0.10,0.4,,0.1,0.0750301004736684,0.0290438230599646,0.0009076194706238,0.1541399033740162,0.072147562509059,0.002254611328408,26.738433499995157,16,256,0.4724616608582437,0.0949046953308857,0.0029657717290901,0.4692544639110565,0.0891467546566065,0.0055716721660379
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_23,aug_steps_6,23,boost_0.10,0.4,,0.1,0.0775375990197062,0.0287604264036639,0.0008987633251144,0.1680631104391068,0.0703325624830563,0.0021978925775955,15.061306499999771,16,256,0.4774191291071474,0.0922307208570602,0.0028822100267831,0.4750366043299436,0.0904988943811234,0.0056561808988202
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_31,aug_steps_6,31,boost_0.10,0.4,,0.1,0.0765226316289044,0.02849712913015,0.0008905352853171,0.189314167946577,0.0813652210026966,0.0025426631563342,17.066230799995537,16,256,0.5482212519273162,0.0960645579963506,0.0030020174373859,0.5449895411729813,0.0935792729209056,0.0058487045575566
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_47,aug_steps_6,47,boost_0.10,0.4,,0.1,0.0763041976606473,0.0288333496299245,0.0009010421759351,0.1880486221052706,0.0801079786713511,0.0025033743334797,15.14298950000375,16,256,0.5391324646770954,0.0991338297994511,0.0030979321812328,0.5343834832310677,0.093936737826763,0.0058710461141726
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_59,aug_steps_6,59,boost_0.10,0.4,,0.1,0.0751475253491662,0.0282743114929713,0.0008835722341553,0.1514818534487858,0.0751295908463294,0.0023477997139477,21.141284800003632,16,256,0.4162450204603374,0.122339732902331,0.0038231166531978,0.4084545504301786,0.1118689592374649,0.0069918099523415
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_71,aug_steps_6,71,boost_0.10,0.4,,0.1,0.0750301004736684,0.0290438230599646,0.0009076194706238,0.1899516626726836,0.0811960825905449,0.0025373775809545,22.955884900002275,16,256,0.5437778839841485,0.0939508087432389,0.0029359627732262,0.5415244773030281,0.0888614237093296,0.0055538389818331
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_23,aug_orbit_steps_4,23,boost_0.20,0.8,,0.2,0.1550751980394125,0.0575208528073278,0.0017975266502289,0.2454982937779277,0.1055566469980928,0.0032986452186904,15.03239449999819,16,256,0.4191803708672523,0.0967481112502743,0.003023378476571,0.4079300407320261,0.0823583902997027,0.0051473993937314
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_31,aug_orbit_steps_4,31,boost_0.20,0.8,,0.2,0.1530452632578089,0.0569942582603,0.0017810705706343,0.2732206531800329,0.1224979744377777,0.0038280617011805,16.137273399996047,16,256,0.4586268360726535,0.1075001109771257,0.0033593784680351,0.4431467857211828,0.0917335109721332,0.0057333444357583
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_47,aug_orbit_steps_4,47,boost_0.20,0.8,,0.2,0.1526083953212946,0.057666699259849,0.0018020843518702,0.2725604344159364,0.1252863106060578,0.0039151972064393,22.40429390000645,16,256,0.4618884208612144,0.1120811013125477,0.0035025344160171,0.4441098347306251,0.0878947273504933,0.0054934204594058
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_59,aug_orbit_steps_4,59,boost_0.20,0.8,,0.2,0.1502950506983325,0.0565486229859426,0.0017671444683107,0.2348808136302977,0.136743671879008,0.004273239746219,27.03666460000386,16,256,0.3820790718309581,0.1450849099893968,0.0045339034371686,0.3555195834487676,0.1053543522750749,0.0065846470171921
