run_dir,checkpoint,source_method,target_severity,loss_mode,seed,trainable,epochs,lr,beta_l2_initial,gamma_prediction_preservation,orbit_eta,id_relative_l2_degradation,id_relative_l2_degradation_pct,target_orbit_ood_delta_pct,target_defect_delta_pct,before_epsilon_mean,before_epsilon_mean_std,before_epsilon_mean_stderr,before_equivariance_defect_relative,before_equivariance_defect_relative_std,before_equivariance_defect_relative_stderr,before_eval_seconds,before_num_batches,before_num_samples,before_orbit_ood_relative_l2,before_orbit_ood_relative_l2_std,before_orbit_ood_relative_l2_stderr,before_relative_l2,before_relative_l2_std,before_relative_l2_stderr,after_epsilon_mean,after_epsilon_mean_std,after_epsilon_mean_stderr,after_equivariance_defect_relative,after_equivariance_defect_relative_std,after_equivariance_defect_relative_stderr,after_eval_seconds,after_num_batches,after_num_samples,after_orbit_ood_relative_l2,after_orbit_ood_relative_l2_std,after_orbit_ood_relative_l2_stderr,after_relative_l2,after_relative_l2_std,after_relative_l2_stderr,relative_l2_delta_pct,orbit_ood_delta_pct,defect_delta_pct
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.35\aug_orbit_lambda_0.1_steps_4\orbit_preserve_projector_e5\seed_23,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,aug_orbit_lambda_0.1_steps_4,boost_0.35,orbit_preserve,23,projector,5,1e-05,0.0,1.0,1e-06,-0.00012101046741008759,-0.03440317132984427,-0.3226400060654666,0.00023356995211276654,0.26845665113069117,0.09916831358164468,0.0030990097994263964,0.327559897210449,0.17518439124816826,0.005474512226505258,15.315006699995138,16,256,0.40142227755859494,0.15349154491630354,0.004796610778634486,0.35174218751490116,0.077843177434051,0.004865198589628188,0.26845665113069117,0.09916831358164468,0.0030990097994263964,0.327560662291944,0.1751088240267815,0.0054721507508369216,14.894598999992013,16,256,0.40012712869793177,0.1508363011198057,0.004713634409993928,0.3516211770474911,0.07708474811210751,0.0048177967570067195,-0.03440317132984427,-0.3226400060654666,0.00023356995211276654
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.35\aug_orbit_lambda_0.1_steps_4\orbit_preserve_projector_e5\seed_31,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,aug_orbit_lambda_0.1_steps_4,boost_0.35,orbit_preserve,31,projector,5,1e-05,0.0,1.0,1e-06,0.00026496313512325287,0.07084883917969353,-0.24200329146117916,0.17469324648471396,0.26685350737534463,0.0956651297586106,0.0029895353049565815,0.3501409790478647,0.18368782362235933,0.005740244488198729,15.74480919999769,16,256,0.4293055818416178,0.15440844977823454,0.004825264055569829,0.37398373521864414,0.0797110701849171,0.004981941886557319,0.26685350737534463,0.0956651297586106,0.0029895353049565815,0.35075265169143677,0.1838144801834206,0.005744202505731893,15.007028499996522,16,256,0.42826664820313454,0.15089159628581905,0.004715362383931845,0.3742486983537674,0.07804094156676597,0.004877558847922873,0.07084883917969353,-0.24200329146117916,0.17469324648471396
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.35\aug_orbit_lambda_0.1_steps_4\orbit_preserve_projector_e5\seed_47,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,aug_orbit_lambda_0.1_steps_4,boost_0.35,orbit_preserve,47,projector,5,1e-05,0.0,1.0,1e-06,0.001083865761756897,0.28797998183391904,-0.07125097199369712,0.07772635997986832,0.26369992876425385,0.10062953547084603,0.0031446729834639386,0.34475706331431866,0.17839404849422116,0.005574814015444411,15.12839310002164,16,256,0.4291279814206064,0.15675818794228538,0.004898693373196418,0.37636843882501125,0.08209717624324323,0.0051310735152027016,0.26369992876425385,0.10062953547084603,0.0031446729834639386,0.34502503043040633,0.17844029230773112,0.0055762591346165975,15.654666699992958,16,256,0.42882222356274724,0.1534986020275081,0.004796831313359628,0.37745230458676815,0.0808584770311479,0.005053654814446744,0.28797998183391904,-0.07125097199369712,0.07772635997986832
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.35\aug_orbit_lambda_0.1_steps_4\random_orbit_preserve_projector_e5\seed_23,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,aug_orbit_lambda_0.1_steps_4,boost_0.35,random_orbit_preserve,23,projector,5,1e-05,0.0,1.0,1e-06,2.9996037483215332e-05,0.008527847539463451,-0.2866821382685347,0.13077799124447953,0.26845665113069117,0.09916831358164468,0.0030990097994263964,0.327559897210449,0.17518439124816826,0.005474512226505258,14.80820530001074,16,256,0.40142227755859494,0.15349154491630354,0.004796610778634486,0.35174218751490116,0.077843177434051,0.004865198589628188,0.26845665113069117,0.09916831358164468,0.0030990097994263964,0.3279882734641433,0.17536497419310743,0.005480155443534607,20.36466510000173,16,256,0.4002714715898037,0.15084992892389498,0.004714060278871718,0.3517721835523844,0.0770403733454391,0.004815023334089944,0.008527847539463451,-0.2866821382685347,0.13077799124447953
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.35\aug_orbit_lambda_0.1_steps_4\random_orbit_preserve_projector_e5\seed_31,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,aug_orbit_lambda_0.1_steps_4,boost_0.35,random_orbit_preserve,31,projector,5,1e-05,0.0,1.0,1e-06,0.000522904098033905,0.1398200105489078,-0.1760083496961884,0.418148409954755,0.26685350737534463,0.0956651297586106,0.0029895353049565815,0.3501409790478647,0.18368782362235933,0.005740244488198729,15.362094499985687,16,256,0.4293055818416178,0.15440844977823454,0.004825264055569829,0.37398373521864414,0.0797110701849171,0.004981941886557319,0.26685350737534463,0.0956651297586106,0.0029895353049565815,0.3516050879843533,0.18414164034867594,0.005754426260896123,15.017388800013578,16,256,0.42854996817186475,0.15090991536801804,0.004715934855250564,0.37450663931667805,0.07791587823236057,0.004869742389522536,0.1398200105489078,-0.1760083496961884,0.418148409954755
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.35\aug_orbit_lambda_0.1_steps_4\random_orbit_preserve_projector_e5\seed_47,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,aug_orbit_lambda_0.1_steps_4,boost_0.35,random_orbit_preserve,47,projector,5,1e-05,0.0,1.0,1e-06,0.0012827049940824509,0.340810987788176,-0.02798473320448913,0.20885645823436327,0.26369992876425385,0.10062953547084603,0.0031446729834639386,0.34475706331431866,0.17839404849422116,0.005574814015444411,15.341238299995894,16,256,0.4291279814206064,0.15675818794228538,0.004898693373196418,0.37636843882501125,0.08209717624324323,0.0051310735152027016,0.26369992876425385,0.10062953547084603,0.0031446729834639386,0.34547711070626974,0.17877575100501913,0.005586742218906848,15.37783449998824,16,256,0.4290078910999,0.15347990933644062,0.0047962471667637695,0.3776511438190937,0.0807838864868949,0.005048992905430931,0.340810987788176,-0.02798473320448913,0.20885645823436327
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.35\aug_steps_6\orbit_preserve_projector_e5\seed_23,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,aug_steps_6,boost_0.35,orbit_preserve,23,projector,5,1e-05,0.0,1.0,1e-06,-0.0009157191962003708,-0.19276813362456569,-0.40722198934091125,0.022974643152195995,0.26845665113069117,0.09916831358164468,0.0030990097994263964,0.4552241680212319,0.19317153206914633,0.006036610377160823,14.036029999988386,16,256,0.5275229820981622,0.1548813548093873,0.004840042337793353,0.47503660432994366,0.09049889438112348,0.005656180898820217,0.26845665113069117,0.09916831358164468,0.0030990097994263964,0.45532875414937735,0.1931986254837043,0.00603745704636576,18.15045710001141,16,256,0.5253747925162315,0.15238492364093847,0.004762028863779327,0.4741208851337433,0.0896472981023337,0.005602956131395856,-0.19276813362456569,-0.40722198934091125,0.022974643152195995
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.35\aug_steps_6\orbit_preserve_projector_e5\seed_31,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\checkpoints\best.pt,aug_steps_6,boost_0.35,orbit_preserve,31,projector,5,1e-05,0.0,1.0,1e-06,-0.0016701221466064453,-0.3064503115072337,-0.47879756960784725,0.0669646932563106,0.26685350737534463,0.0956651297586106,0.0029895353049565815,0.5097618470899761,0.2105476663871645,0.00657961457459889,14.274461799999699,16,256,0.5983986044302583,0.1572437033097195,0.004913865728428735,0.5449895411729813,0.09357927292090563,0.005848704557556602,0.26685350737534463,0.0956651297586106,0.0029895353049565815,0.5101032075472176,0.21058186383465122,0.0065806832448328505,14.723246899986407,16,256,0.5955334864556789,0.15440684294880946,0.004825213842150296,0.5433194190263748,0.09265949926406786,0.005791218704004241,-0.3064503115072337,-0.47879756960784725,0.0669646932563106
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.35\aug_steps_6\orbit_preserve_projector_e5\seed_47,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\checkpoints\best.pt,aug_steps_6,boost_0.35,orbit_preserve,47,projector,5,1e-05,0.0,1.0,1e-06,-0.0013945698738098145,-0.26096799724755204,-0.39216953475477156,0.019578288856703097,0.26369992876425385,0.10062953547084603,0.0031446729834639386,0.485664380248636,0.18414744958806847,0.00575460779962714,14.11030440000468,16,256,0.5804333472624421,0.15013131691775405,0.004691603653679814,0.5343834832310677,0.093936737826763,0.005871046114172687,0.26369992876425385,0.10062953547084603,0.0031446729834639386,0.48575946502387524,0.1841636809282295,0.0057551150290071715,15.165152599976864,16,256,0.5781570645049214,0.14817174180302867,0.004630366931344646,0.5329889133572578,0.09322343758810932,0.005826464849256832,-0.26096799724755204,-0.39216953475477156,0.019578288856703097
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.35\aug_steps_6\random_orbit_preserve_projector_e5\seed_23,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,aug_steps_6,boost_0.35,random_orbit_preserve,23,projector,5,1e-05,0.0,1.0,1e-06,-0.0008648056536912918,-0.18205031902985835,-0.39714295817276923,0.06606945046907509,0.26845665113069117,0.09916831358164468,0.0030990097994263964,0.4552241680212319,0.19317153206914633,0.006036610377160823,14.530729099991731,16,256,0.5275229820981622,0.1548813548093873,0.004840042337793353,0.47503660432994366,0.09049889438112348,0.005656180898820217,0.26845665113069117,0.09916831358164468,0.0030990097994263964,0.45552493212744594,0.19330206579267967,0.00604068955602124,14.083340999990469,16,256,0.5254279617220163,0.15241614688679306,0.004763004590212283,0.47417179867625237,0.0896648571760191,0.005604053573501194,-0.18205031902985835,-0.39714295817276923,0.06606945046907509
