setting,comparison,metric,reference_mean,candidate_mean,relative_reduction_pct,seed_count
2pct_headline,aug_orbit_lambda_0.10_vs_aug_compute_matched,orbit_ood_relative_l2,0.5276326760649681,0.39498347137123346,25.1404453725306,5
2pct_headline,aug_orbit_lambda_0.10_vs_supervised_baseline,orbit_ood_relative_l2,0.956805614195764,0.39498347137123346,58.718524900877185,5
2pct_headline,aug_orbit_lambda_0.10_vs_aug_compute_matched,equivariance_defect_relative,0.38155395807698367,0.26766052255406975,29.849889671419522,5
2pct_headline,aug_orbit_lambda_0.10_vs_supervised_baseline,equivariance_defect_relative,0.6987714536488057,0.26766052255406975,61.6955556560854,5
label_fraction_0.01,aug_orbit_lambda_0.10_vs_aug_compute_matched,orbit_ood_relative_l2,0.7420703964307904,0.6405674346412221,13.678346727989307,3
label_fraction_0.01,aug_orbit_lambda_0.10_vs_aug_compute_matched,equivariance_defect_relative,0.5079775375003616,0.3999470436635117,21.266785607970505,3
label_fraction_0.02,aug_orbit_lambda_0.10_vs_aug_compute_matched,orbit_ood_relative_l2,0.5276326760649681,0.39498347137123346,25.1404453725306,5
label_fraction_0.02,aug_orbit_lambda_0.10_vs_aug_compute_matched,equivariance_defect_relative,0.38155395807698367,0.26766052255406975,29.849889671419522,5
label_fraction_0.05,aug_orbit_lambda_0.10_vs_aug_compute_matched,orbit_ood_relative_l2,0.32370066658283275,0.25145430366198224,22.318879872421633,3
label_fraction_0.05,aug_orbit_lambda_0.10_vs_aug_compute_matched,equivariance_defect_relative,0.24271229716638723,0.16210127082498124,33.21258431588429,3
severity_boost_0.10,aug_orbit_lambda_0.10_vs_aug_compute_matched,orbit_ood_relative_l2,0.504959150031209,0.37148185735568406,26.433285280061828,5
severity_boost_0.10,aug_orbit_lambda_0.10_vs_aug_compute_matched,equivariance_defect_relative,0.1773718833224848,0.11777521977201104,33.59983692687042,5
severity_boost_0.20,aug_orbit_lambda_0.10_vs_aug_compute_matched,orbit_ood_relative_l2,0.5176457076333463,0.3839595539495349,25.825801646268577,5
severity_boost_0.20,aug_orbit_lambda_0.10_vs_aug_compute_matched,equivariance_defect_relative,0.3204523526132107,0.2200059494934976,31.34519135234839,5
severity_train_radius,aug_orbit_lambda_0.10_vs_aug_compute_matched,orbit_ood_relative_l2,0.5276591050438583,0.39430237831547854,25.273273113954,5
severity_train_radius,aug_orbit_lambda_0.10_vs_aug_compute_matched,equivariance_defect_relative,0.37902478594332933,0.26459835027344525,30.189697326810915,5
severity_boost_0.35,aug_orbit_lambda_0.10_vs_aug_compute_matched,orbit_ood_relative_l2,0.5554751775227487,0.42415375635027885,23.641276241743807,5
severity_boost_0.35,aug_orbit_lambda_0.10_vs_aug_compute_matched,equivariance_defect_relative,0.47716859290376307,0.3447429035790265,27.752390097360124,5
severity_boost_0.50,aug_orbit_lambda_0.10_vs_aug_compute_matched,orbit_ood_relative_l2,0.615769459027797,0.4910142183303833,20.260056563114155,5
severity_boost_0.50,aug_orbit_lambda_0.10_vs_aug_compute_matched,equivariance_defect_relative,0.5971294542774558,0.456046259123832,23.626902699740143,5
