checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,relative_l2,relative_l2_std,relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,num_samples,num_batches,eval_seconds
runs\ablations\2d_galilean_n64_compute_matched\fraction_0.05\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_compute_matched_ood_severity\fraction_0.05\boost_0.10\aug_steps_6\seed_23,aug_steps_6,23,boost_0.10,0.4,,0.1,0.29847685620188713,0.04812114269696566,0.0030075714185603536,0.3019577949307859,0.052124431702081954,0.001628888490690061,0.11602840828709304,0.0469781324348062,0.0014680666385876937,0.07753759901970625,0.028760426403663938,0.0008987633251144981,256,16,16.477955499998643
runs\ablations\2d_galilean_n64_compute_matched\fraction_0.05\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_compute_matched_ood_severity\fraction_0.05\boost_0.10\aug_steps_6\seed_31,aug_steps_6,31,boost_0.10,0.4,,0.1,0.2880410924553871,0.0615846780881029,0.003849042380506431,0.29295096592977643,0.07174902834243391,0.0022421571357010596,0.11302569054532796,0.052339263754072586,0.0016356019923147683,0.07652263162890449,0.02849712913015001,0.0008905352853171878,256,16,19.94003789999988
runs\ablations\2d_galilean_n64_compute_matched\fraction_0.05\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_compute_matched_ood_severity\fraction_0.05\boost_0.10\aug_steps_6\seed_47,aug_steps_6,47,boost_0.10,0.4,,0.1,0.29856625758111477,0.07518276913610171,0.004698923071006357,0.30427494598552585,0.08609827092905505,0.00269057096653297,0.11736767273396254,0.056531339816962435,0.001766604369280076,0.07630419766064733,0.02883334962992451,0.0009010421759351409,256,16,18.338643100003537
runs\ablations\2d_galilean_n64_compute_matched\fraction_0.05\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_compute_matched_ood_severity\fraction_0.05\boost_0.20\aug_steps_6\seed_23,aug_steps_6,23,boost_0.20,0.8,,0.2,0.29847685620188713,0.04812114269696566,0.0030075714185603536,0.31347805820405483,0.06977583793538904,0.0021804949354809074,0.20651562418788671,0.08335110418238151,0.002604722005699422,0.1550751980394125,0.057520852807327875,0.0017975266502289961,256,16,18.08614829999715
runs\ablations\2d_galilean_n64_compute_matched\fraction_0.05\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_compute_matched_ood_severity\fraction_0.05\boost_0.20\aug_steps_6\seed_31,aug_steps_6,31,boost_0.20,0.8,,0.2,0.2880410924553871,0.0615846780881029,0.003849042380506431,0.30864635948091745,0.10046077076185676,0.003139399086308024,0.2032387771178037,0.09924034390237256,0.0031012607469491425,0.15304526325780898,0.05699425826030002,0.0017810705706343755,256,16,15.874632999999449
runs\ablations\2d_galilean_n64_compute_matched\fraction_0.05\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_compute_matched_ood_severity\fraction_0.05\boost_0.20\aug_steps_6\seed_47,aug_steps_6,47,boost_0.20,0.8,,0.2,0.29856625758111477,0.07518276913610171,0.004698923071006357,0.3213803037069738,0.11408975410529489,0.003565304815790465,0.21197579591535032,0.10807085943603098,0.003377214357375968,0.15260839532129467,0.05766669925984902,0.0018020843518702818,256,16,18.02822770000057
runs\ablations\2d_galilean_n64_compute_matched\fraction_0.05\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_compute_matched_ood_severity\fraction_0.05\boost_0.25\aug_steps_6\seed_23,aug_steps_6,23,train_radius,1.0,,0.25,0.29847685620188713,0.04812114269696566,0.0030075714185603536,0.32307007955387235,0.08578824462603364,0.0026808826445635513,0.2428473753388971,0.10228668336002185,0.0031964588550006828,0.19384399359114468,0.07190105852850656,0.00224690807901583,256,16,16.667171599998255
runs\ablations\2d_galilean_n64_compute_matched\fraction_0.05\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_compute_matched_ood_severity\fraction_0.05\boost_0.25\aug_steps_6\seed_31,aug_steps_6,31,train_radius,1.0,,0.25,0.2880410924553871,0.0615846780881029,0.003849042380506431,0.3209129720926285,0.12083583269456204,0.0037761197717050637,0.2407755134627223,0.12386400621199394,0.0038707501941248105,0.19130657613277435,0.07124281708448539,0.0022263380338901685,256,16,18.15775200000644
runs\ablations\2d_galilean_n64_compute_matched\fraction_0.05\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_compute_matched_ood_severity\fraction_0.05\boost_0.25\aug_steps_6\seed_47,aug_steps_6,47,train_radius,1.0,,0.25,0.29856625758111477,0.07518276913610171,0.004698923071006357,0.3348445212468505,0.13465292761248018,0.004207903987890006,0.2513798465952277,0.13474249488619847,0.004210702965193702,0.19076048978604376,0.07208337280867372,0.0022526054002710537,256,16,17.483941599995887
runs\ablations\2d_galilean_n64_compute_matched\fraction_0.05\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_compute_matched_ood_severity\fraction_0.05\boost_0.35\aug_steps_6\seed_23,aug_steps_6,23,boost_0.35,1.4,,0.35,0.29847685620188713,0.04812114269696566,0.0030075714185603536,0.3513637688010931,0.1315596944750028,0.004111240452343837,0.30620183143764734,0.1496108735161161,0.004675339797378628,0.27138158469460905,0.10066149129388946,0.0031456716029340456,256,16,15.684416500000225
