source,run_dir,method,method_label,seed,data_fraction,lambda_orbit,max_boost,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,severity
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.10/aug_orbit_lambda_0.1_steps_4/seed_23,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,23,0.02,0.1,0.1,0.3517421875149011,0.3535579941235482,0.1121029693167656,boost_0.10
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.10/aug_orbit_lambda_0.1_steps_4/seed_31,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,31,0.02,0.1,0.1,0.3739837352186441,0.3769287774339318,0.1167411213973537,boost_0.10
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.10/aug_orbit_lambda_0.1_steps_4/seed_47,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,47,0.02,0.1,0.1,0.3763684388250112,0.3810813273303211,0.1211867039091885,boost_0.10
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.10/aug_orbit_lambda_0.1_steps_4/seed_59,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,59,0.02,0.1,0.1,0.3189374580979347,0.3258673236705363,0.1097195537295192,boost_0.10
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.10/aug_orbit_lambda_0.1_steps_4/seed_71,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,71,0.02,0.1,0.1,0.4171714447438717,0.4199738642200827,0.129125750507228,boost_0.10
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.20/aug_orbit_lambda_0.1_steps_4/seed_23,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,23,0.02,0.1,0.2,0.3517421875149011,0.3625868074595928,0.2083892181981355,boost_0.20
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.20/aug_orbit_lambda_0.1_steps_4/seed_31,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,31,0.02,0.1,0.2,0.3739837352186441,0.3881301432847976,0.2189583296421915,boost_0.20
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.20/aug_orbit_lambda_0.1_steps_4/seed_47,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,47,0.02,0.1,0.2,0.3763684388250112,0.3946165032684803,0.2266037436202168,boost_0.20
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.20/aug_orbit_lambda_0.1_steps_4/seed_59,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,59,0.02,0.1,0.2,0.3189374580979347,0.3438692605122924,0.2067589301150292,boost_0.20
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.20/aug_orbit_lambda_0.1_steps_4/seed_71,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,71,0.02,0.1,0.2,0.4171714447438717,0.4305950552225113,0.2393195258919149,boost_0.20
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.25/aug_orbit_lambda_0.1_steps_4/seed_23,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,23,0.02,0.1,0.25,0.3517421875149011,0.3711374695412814,0.2500362806022167,train_radius
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.25/aug_orbit_lambda_0.1_steps_4/seed_31,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,31,0.02,0.1,0.25,0.3739837352186441,0.3979674959555268,0.2640515533275902,train_radius
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.25/aug_orbit_lambda_0.1_steps_4/seed_47,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,47,0.02,0.1,0.25,0.3763684388250112,0.4056654120795429,0.272533637471497,train_radius
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.25/aug_orbit_lambda_0.1_steps_4/seed_59,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,59,0.02,0.1,0.25,0.3189374580979347,0.3575427257455885,0.2501835951115936,train_radius
