severity,severity_scale,method,relative_l2,relative_l2,relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,equivariance_defect_relative,equivariance_defect_relative,epsilon_mean,epsilon_mean,epsilon_mean
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
boost_0.10,0.4,aug_orbit_steps_4,0.4239921417087317,0.044064674324690044,5,0.4280973534099758,0.042817950101396315,5,0.14177904026582838,0.011896888808582888,5,0.07610841082641855,0.0010414586365699884,5
boost_0.10,0.4,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.504959150031209,0.057391132891066364,5,0.1773718833224848,0.017115845443869397,5,0.07610841082641855,0.0010414586365699884,5
boost_0.20,0.8,aug_orbit_steps_4,0.4239921417087317,0.044064674324690044,5,0.4409779436886311,0.040213417676356666,5,0.26174449184909465,0.020418513040169887,5,0.1522168216528371,0.002082917273139977,5
boost_0.20,0.8,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.5176457076333463,0.05429066619839901,5,0.3204523526132107,0.028222777251337015,5,0.1522168216528371,0.002082917273139977,5
boost_0.35,1.4,aug_orbit_steps_4,0.4239921417087317,0.044064674324690044,5,0.48071915060281756,0.03443095024899542,5,0.40109234368428587,0.025815986542055233,5,0.26637942758388816,0.003645103030004082,5
boost_0.35,1.4,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.5554751775227487,0.0476043320665255,5,0.47716859290376307,0.03483083095361909,5,0.26637942758388816,0.003645103030004082,5
boost_0.50,2.0,aug_orbit_steps_4,0.4239921417087317,0.044064674324690044,5,0.5449375823140145,0.026712908521942663,5,0.5160984207876027,0.023615428199174695,5,0.3805420490913093,0.005207290133984615,5
boost_0.50,2.0,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.615769459027797,0.038424578886321684,5,0.5971294542774558,0.032668780869497115,5,0.3805420490913093,0.005207290133984615,5
train_radius,1.0,aug_orbit_steps_4,0.4239921417087317,0.044064674324690044,5,0.45137997455894946,0.03851915394424391,5,0.312677507288754,0.02318077604907331,5,0.19027102454565464,0.0026036450669923075,5
train_radius,1.0,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.5276591050438583,0.05233804633687878,5,0.37902478594332933,0.03164119838809726,5,0.19027102454565464,0.0026036450669923075,5
