checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,relative_l2,relative_l2_std,relative_l2_stderr
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_23,aug_orbit_steps_4,23,boost_0.10,0.4,,0.1,0.07753759901970625,0.028760426403663938,0.0008987633251144981,0.1333179307403043,0.058152039354236684,0.0018172512298198964,19.079035099995963,16,256,0.40973882423713803,0.08508530711612933,0.0026589158473790415,0.4079300407320261,0.08235839029970274,0.005147399393731421
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_31,aug_orbit_steps_4,31,boost_0.10,0.4,,0.1,0.07652263162890449,0.02849712913015001,0.0008905352853171878,0.14780614525079727,0.0672841489813314,0.002102629655666606,16.446406700000807,16,256,0.44660280644893646,0.09371223825259405,0.002928507445393564,0.4431467857211828,0.09173351097213325,0.005733344435758328
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_47,aug_orbit_steps_4,47,boost_0.10,0.4,,0.1,0.07630419766064733,0.02883334962992451,0.0009010421759351409,0.14813297125510871,0.06873057453392484,0.002147830454185151,17.305858500003524,16,256,0.44882547529414296,0.09430145371991124,0.002946920428747226,0.44410983473062515,0.08789472735049333,0.005493420459405833
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_59,aug_orbit_steps_4,59,boost_0.10,0.4,,0.1,0.07514752534916624,0.02827431149297133,0.0008835722341553541,0.1254982507089153,0.07109302918244481,0.0022216571619514004,22.260413099997095,16,256,0.3628580002114177,0.11726121062388441,0.0036644128319963877,0.35551958344876766,0.10535435227507495,0.006584647017192184
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_orbit_steps_4\seed_71,aug_orbit_steps_4,71,boost_0.10,0.4,,0.1,0.07503010047366843,0.029043823059964627,0.0009076194706238946,0.15413990337401628,0.072147562509059,0.002254611328408094,26.738433499995153,16,256,0.4724616608582437,0.0949046953308857,0.0029657717290901783,0.4692544639110565,0.08914675465660651,0.005571672166037907
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_23,aug_steps_6,23,boost_0.10,0.4,,0.1,0.07753759901970625,0.028760426403663938,0.0008987633251144981,0.16806311043910682,0.0703325624830563,0.0021978925775955095,15.061306499999773,16,256,0.47741912910714746,0.09223072085706026,0.002882210026783133,0.47503660432994366,0.09049889438112348,0.005656180898820217
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_31,aug_steps_6,31,boost_0.10,0.4,,0.1,0.07652263162890449,0.02849712913015001,0.0008905352853171878,0.18931416794657707,0.08136522100269664,0.00254266315633427,17.066230799995537,16,256,0.5482212519273162,0.0960645579963506,0.003002017437385956,0.5449895411729813,0.09357927292090563,0.005848704557556602
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_47,aug_steps_6,47,boost_0.10,0.4,,0.1,0.07630419766064733,0.02883334962992451,0.0009010421759351409,0.18804862210527062,0.08010797867135118,0.0025033743334797244,15.14298950000375,16,256,0.5391324646770954,0.09913382979945112,0.0030979321812328476,0.5343834832310677,0.093936737826763,0.005871046114172687
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_59,aug_steps_6,59,boost_0.10,0.4,,0.1,0.07514752534916624,0.02827431149297133,0.0008835722341553541,0.15148185344878584,0.07512959084632945,0.0023477997139477952,21.141284800003632,16,256,0.4162450204603374,0.12233973290233106,0.0038231166531978457,0.40845455043017864,0.11186895923746494,0.006991809952341559
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.10\aug_steps_6\seed_71,aug_steps_6,71,boost_0.10,0.4,,0.1,0.07503010047366843,0.029043823059964627,0.0009076194706238946,0.1899516626726836,0.0811960825905449,0.002537377580954528,22.955884900002275,16,256,0.5437778839841485,0.09395080874323897,0.0029359627732262177,0.5415244773030281,0.08886142370932967,0.005553838981833105
