run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.smoothness,config.dataset.amplitude,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes1,config.model.modes2,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_orbit,config.training.lambda_aug,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.eval_every,config.training.eval_orbit_samples,config.training.data_fraction,config.training.num_workers,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.steps_per_epoch,config.training.stop_after_epochs,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,config.runtime.resume,data_fraction,steps_per_epoch,lambda_orbit,config.dataset.max_boost,config.symmetry.name,config.symmetry.max_boost,config.symmetry.final_time,config.symmetry.length,config.symmetry.boost_x_channel,config.symmetry.boost_y_channel,oracle_canonical_ood_relative_l2,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_stderr,train_wall_seconds,orbit_control,config.training.orbit_control,config.training.orbit_data_fraction,config.training.orbit_steps_per_epoch,config.training.orbit_batch_size,orbit_data_fraction,orbit_steps_per_epoch,config.training.unlabeled_orbit_steps_per_epoch,unlabeled_orbit_steps_per_epoch,config.dataset.modes,config.dataset.mean,config.model.modes,config.model.canonicalizers,config.model.canonical_channel,config.model.translation_mode,config.model.final_time,config.model.length,config.dataset.velocity,config.symmetry.max_shift,paper_table
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.01\aug_steps_6\seed_23,0.6633274853229523,9627aa1fa54f,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,9627aa1fa54f,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19225013302639127,0.06968805066579263,0.0021777515833060197,0.47635993687435985,0.17911940053822684,0.005597481266819589,17.51852470000449,203.7628300000506,12.735176875003162,20,5,aug,fno2d,16,256,0.6660089818760753,0.11705664971324098,0.0036580203035387806,2668609,2668609,0.6587285734713078,0.10012964064904886,0.006258102540565554,23,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.01\aug_steps_6\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.01/aug_steps_6/seed_23,False,True,0.01,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,label_efficiency
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.01\aug_steps_6\seed_31,0.8230339288711548,5b46ecd4512d,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,5b46ecd4512d,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19283841690048575,0.07128097322041756,0.0022275304131380486,0.5602677366696298,0.21172236990087623,0.006616324059402382,16.775789899998927,202.33780999988085,12.646113124992553,20,5,aug,fno2d,16,256,0.8318642480298877,0.14444357155019724,0.004513861610943664,2668609,2668609,0.8258921690285206,0.1411426332117436,0.008821414575733976,31,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.01\aug_steps_6\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.01/aug_steps_6/seed_31,False,True,0.01,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,label_efficiency
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.01\aug_steps_6\seed_47,0.7119398340582848,e224044d24d6,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,e224044d24d6,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.18829658185131848,0.06982046111387631,0.0021818894098086347,0.48730493895709515,0.18631715841079943,0.005822411200337482,17.893557400006102,206.2405350003246,12.890033437520287,20,5,aug,fno2d,16,256,0.7283379593864083,0.12920857900811752,0.004037768094003673,2668609,2668609,0.7175309807062149,0.11555942423333089,0.007222464014583181,47,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.01\aug_steps_6\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.01/aug_steps_6/seed_47,False,True,0.01,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,label_efficiency
runs\ablations\2d_galilean_n64_1pct_lambda_0p1\fraction_0.01\aug_orbit_lambda_0.1_steps_4\seed_23,0.5711672455072403,dcd785358077,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,dcd785358077,False,,,bc3bd81c50dcdfd3f1df99560d560f7881e5e36f,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19225013302639127,0.06968805066579263,0.0021777515833060197,0.3831079206429422,0.16082024951454127,0.005025632797329415,25.111310800013598,307.9334249996464,19.2458390624779,20,5,aug_orbit,fno2d,16,256,0.5867450572550297,0.1141416051374414,0.0035669251605450437,2668609,2668609,0.5740373209118843,0.09580488764209863,0.005987805477631164,23,runs\ablations\2d_galilean_n64_1pct_lambda_0p1\fraction_0.01\aug_orbit_lambda_0.1_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.1,1.0,True,1e-06,10,4,0.01,0.0,1.0,20,5,4.0,20.0,False,auto,runs/ablations/2d_galilean_n64_1pct_lambda_0p1/fraction_0.01/aug_orbit_lambda_0.1_steps_4/seed_23,False,True,0.01,4,0.1,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,label_efficiency
runs\ablations\2d_galilean_n64_1pct_lambda_0p1\fraction_0.01\aug_orbit_lambda_0.1_steps_4\seed_31,0.6730874180793762,41ba05bf020c,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,41ba05bf020c,False,,,bc3bd81c50dcdfd3f1df99560d560f7881e5e36f,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19283841690048575,0.07128097322041756,0.0022275304131380486,0.4215838615782559,0.18328415306993948,0.005727629783435609,21.160761300008744,254.06132500065723,15.878832812541077,20,5,aug_orbit,fno2d,16,256,0.6875967308878899,0.12709346846219402,0.003971670889443563,2668609,2668609,0.675119798630476,0.11700187027672028,0.0073126168922950175,31,runs\ablations\2d_galilean_n64_1pct_lambda_0p1\fraction_0.01\aug_orbit_lambda_0.1_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.1,1.0,True,1e-06,10,4,0.01,0.0,1.0,20,5,4.0,20.0,False,auto,runs/ablations/2d_galilean_n64_1pct_lambda_0p1/fraction_0.01/aug_orbit_lambda_0.1_steps_4/seed_31,False,True,0.01,4,0.1,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,label_efficiency
runs\ablations\2d_galilean_n64_1pct_lambda_0p1\fraction_0.01\aug_orbit_lambda_0.1_steps_4\seed_47,0.6384407058358192,384938bad0be,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,384938bad0be,False,,,bc3bd81c50dcdfd3f1df99560d560f7881e5e36f,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.18829658185131848,0.06982046111387631,0.0021818894098086347,0.39514934876933694,0.16910471408262173,0.005284522315081929,20.454807300004177,253.22714000067208,15.826696250042005,20,5,aug_orbit,fno2d,16,256,0.6473605157807469,0.13658985708222174,0.004268433033819429,2668609,2668609,0.636393778026104,0.11748354707634039,0.007342721692271274,47,runs\ablations\2d_galilean_n64_1pct_lambda_0p1\fraction_0.01\aug_orbit_lambda_0.1_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.1,1.0,True,1e-06,10,4,0.01,0.0,1.0,20,5,4.0,20.0,False,auto,runs/ablations/2d_galilean_n64_1pct_lambda_0p1/fraction_0.01/aug_orbit_lambda_0.1_steps_4/seed_47,False,True,0.01,4,0.1,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,label_efficiency
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23,0.4799009971320629,a80a89b88ade,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,a80a89b88ade,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19225013302639127,0.06968805066579263,0.0021777515833060197,0.36101822229102254,0.1452077143783605,0.0045377410743237655,19.116995299998962,251.6360249999707,15.727251562498168,20,5,aug,fno2d,16,256,0.5000794478692114,0.120103391275983,0.003753230977374469,2668609,2668609,0.47503660432994366,0.09049889438112348,0.005656180898820217,23,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23,False,True,0.02,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,label_efficiency
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31,0.5367149859666824,34da212d37da,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,34da212d37da,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19283841690048575,0.07128097322041756,0.0022275304131380486,0.40780863957479596,0.17191203207775463,0.005372251002429832,18.20374289999745,285.3628349999781,17.83517718749863,20,5,aug,fno2d,16,256,0.5710898628458381,0.1281007278015681,0.004003147743799003,2668609,2668609,0.5449895411729813,0.09357927292090563,0.005848704557556602,31,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31,False,True,0.02,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,label_efficiency
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47,0.5305221825838089,f90b8d36ac40,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,f90b8d36ac40,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.18829658185131848,0.06982046111387631,0.0021818894098086347,0.39135398669168353,0.15326978952331324,0.004789680922603539,19.01342250000016,232.31966000021202,14.519978750013252,20,5,aug,fno2d,16,256,0.5534176761284471,0.11879284670690606,0.0037122764595908142,2668609,2668609,0.5343834832310677,0.093936737826763,0.005871046114172687,47,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47,False,True,0.02,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,label_efficiency
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59,0.4054867662489414,e75174bb0507,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,e75174bb0507,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19502086704596877,0.06897388736061734,0.002155433980019292,0.3361896541900933,0.1599215761867973,0.004997549255837416,19.791790599992964,225.1424149995728,14.0714009374733,20,5,aug,fno2d,16,256,0.4483756138943136,0.15744601463467373,0.004920187957333554,2668609,2668609,0.40845455043017864,0.11186895923746494,0.006991809952341559,59,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\config.yaml,59,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59,False,True,0.02,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,label_efficiency
