severity,severity_scale,method,relative_l2,relative_l2,relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,equivariance_defect_relative,equivariance_defect_relative,epsilon_mean,epsilon_mean,epsilon_mean
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
boost_0.10,0.4,aug,0.3875881439695756,0.0033733224742326555,3,0.39409858314320445,0.003015429123845735,3,0.14656342406912395,0.0042681350872643235,3,0.0767881427697527,0.0006581731174759279,3
boost_0.10,0.4,aug_orbit,0.253514948921899,0.012429307964308883,3,0.25792607851326466,0.013189794813674905,3,0.08892701748603334,0.003820388706825485,3,0.0767881427697527,0.0006581731174759279,3
boost_0.20,0.8,aug,0.3875881439695756,0.0033733224742326555,3,0.4126223085137705,0.0015843354807711255,3,0.26420369154463214,0.005660271441067735,3,0.1535762855395054,0.0013163462349518559,3
boost_0.20,0.8,aug_orbit,0.253514948921899,0.012429307964308883,3,0.27251320037369925,0.015503757882931702,3,0.16533770695483932,0.008702845511586024,3,0.1535762855395054,0.0013163462349518559,3
boost_0.35,1.4,aug,0.3875881439695756,0.0033733224742326555,3,0.4616094967350364,0.0049943489698783495,3,0.3943389003785948,0.0029183446075838728,3,0.2687584876548499,0.0023036055956279274,3
boost_0.35,1.4,aug_orbit,0.253514948921899,0.012429307964308883,3,0.3181748248947163,0.021987447636910823,3,0.2629577691356341,0.017237237915199585,3,0.2687584876548499,0.0023036055956279274,3
boost_0.50,2.0,aug,0.3875881439695756,0.0033733224742326555,3,0.5325620057992637,0.008499436590061393,3,0.5033140345476568,0.0030418048529155667,3,0.3839407063399752,0.003290865476051337,3
boost_0.50,2.0,aug_orbit,0.253514948921899,0.012429307964308883,3,0.39442872737223905,0.02699104292029881,3,0.36462165593790513,0.0243853921785565,3,0.3839407063399752,0.003290865476051337,3
train_radius,1.0,aug,0.3875881439695756,0.0033733224742326555,3,0.4262081010577579,0.0018815650411197302,3,0.31224911256382865,0.005206444003393979,3,0.1919703531699876,0.0016454327380256684,3
train_radius,1.0,aug_orbit,0.253514948921899,0.012429307964308883,3,0.2843396846825878,0.01742996727988593,3,0.1990170736486713,0.011483994099362611,3,0.1919703531699876,0.0016454327380256684,3
