checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,relative_l2,relative_l2_std,relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,num_samples,num_batches,eval_seconds
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.05\aug_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_ood_severity\fraction_0.05\boost_0.10\aug\seed_23,aug,23,boost_0.10,0.4,,0.1,0.39144619554281235,0.06768230664930928,0.00423014416558183,0.39710914017632604,0.07264077590839589,0.0022700242471373716,0.15137135377153754,0.06324459348452383,0.0019763935463913695,0.07753759901970625,0.028760426403663938,0.0008987633251144981,256,16,18.29402009999467
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.05\aug_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_ood_severity\fraction_0.05\boost_0.10\aug\seed_31,aug,31,boost_0.10,0.4,,0.1,0.3851944860070944,0.07708937248027695,0.004818085780017309,0.3910783054307103,0.08672169538619695,0.0027100529808186547,0.14322146342601627,0.06300866764777664,0.00196902086399302,0.07652263162890449,0.02849712913015001,0.0008905352853171878,256,16,23.890771599995787
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.05\aug_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_ood_severity\fraction_0.05\boost_0.10\aug\seed_47,aug,47,boost_0.10,0.4,,0.1,0.38612375035881996,0.08998515323931515,0.005624072077457197,0.394108303822577,0.10045301266929252,0.003139156645915391,0.14509745500981808,0.06517109810706216,0.0020365968158456925,0.07630419766064733,0.02883334962992451,0.0009010421759351409,256,16,20.205221399999573
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.05\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_ood_severity\fraction_0.05\boost_0.10\aug_orbit\seed_23,aug_orbit,23,boost_0.10,0.4,,0.1,0.25046497117727995,0.04337023907119465,0.0027106399419496658,0.2535634411033243,0.04765536577180511,0.0014892301803689097,0.08752713876310736,0.038344647808396824,0.0011982702440124008,0.07753759901970625,0.028760426403663938,0.0008987633251144981,256,16,29.612330900003144
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.05\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_ood_severity\fraction_0.05\boost_0.10\aug_orbit\seed_31,aug_orbit,31,boost_0.10,0.4,,0.1,0.24289453029632568,0.05422342674995988,0.0033889641718724923,0.24747029971331358,0.06285465672613696,0.00196420802269178,0.08600402646698058,0.04204587249534144,0.00131393351547942,0.07652263162890449,0.02849712913015001,0.0008905352853171878,256,16,14.752976200004923
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.05\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_ood_severity\fraction_0.05\boost_0.10\aug_orbit\seed_47,aug_orbit,47,boost_0.10,0.4,,0.1,0.26718534529209137,0.0734579391710859,0.0045911211981928685,0.2727444947231561,0.084913952218832,0.0026535610068385,0.09324988722801208,0.05162506415557779,0.001613283254861806,0.07630419766064733,0.02883334962992451,0.0009010421759351409,256,16,15.826059699997131
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.05\aug_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_ood_severity\fraction_0.05\boost_0.20\aug\seed_23,aug,23,boost_0.20,0.8,,0.2,0.39144619554281235,0.06768230664930928,0.00423014416558183,0.4130238047800958,0.09226545117634671,0.002883295349260835,0.270373051520437,0.10959542799505492,0.0034248571248454663,0.1550751980394125,0.057520852807327875,0.0017975266502289961,256,16,16.540872300000046
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.05\aug_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_ood_severity\fraction_0.05\boost_0.20\aug\seed_31,aug,31,boost_0.20,0.8,,0.2,0.3851944860070944,0.07708937248027695,0.004818085780017309,0.41087585035711527,0.11463758220725666,0.0035824244439767706,0.2592500757891685,0.11469369548084278,0.003584177983776337,0.15304526325780898,0.05699425826030002,0.0017810705706343755,256,16,16.018616000001202
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.05\aug_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_ood_severity\fraction_0.05\boost_0.20\aug\seed_47,aug,47,boost_0.20,0.8,,0.2,0.38612375035881996,0.08998515323931515,0.005624072077457197,0.4139672704041004,0.12848527788834682,0.004015164934010838,0.26298794732429087,0.12010965485050148,0.0037534267140781714,0.15260839532129467,0.05766669925984902,0.0018020843518702818,256,16,14.769433100002061
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.05\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_ood_severity\fraction_0.05\boost_0.20\aug_orbit\seed_23,aug_orbit,23,boost_0.20,0.8,,0.2,0.25046497117727995,0.04337023907119465,0.0027106399419496658,0.2649682427290827,0.06694822248526684,0.002092131952664589,0.16100408730562776,0.07479705772237878,0.002337408053824337,0.1550751980394125,0.057520852807327875,0.0017975266502289961,256,16,15.22482289999607
