run_dir,method,method_label,seed,data_fraction,steps_per_epoch,lambda_orbit,epochs_logged,optimizer_steps,model_forward_passes_est,backward_passes_est,augmented_labeled_samples_est,orbit_consistency_samples_est,eval_seconds,latency_ms_per_sample,train_wall_minutes_est,train_wall_source
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_23,baseline,FNO,23,0.02,4,0.05,150,600,600,600,0,0,23.682661800005008,19.60492312500719,14.266224439938863,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_31,baseline,FNO,31,0.02,4,0.05,150,600,600,600,0,0,24.810446300005424,15.669380625013218,14.544715571403504,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_47,baseline,FNO,47,0.02,4,0.05,150,600,600,600,0,0,20.31983630001196,15.232490312519076,15.031774735450744,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_59,baseline,FNO,59,0.02,4,0.05,150,600,600,600,0,0,20.71918800000276,14.356153125027047,14.07511502901713,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_71,baseline,FNO,71,0.02,4,0.05,150,600,600,600,0,0,24.10842730000149,17.787281562505086,14.858815900484721,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/orbit_lambda_0.05_steps_4/seed_23,orbit,FNO + orbit,23,0.02,4,0.05,150,600,1200,600,0,9600,22.162078800000018,16.049995312505416,18.824679919083913,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/orbit_lambda_0.05_steps_4/seed_31,orbit,FNO + orbit,31,0.02,4,0.05,150,600,1200,600,0,9600,25.853234299996984,18.682585624992495,19.473201596736907,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/orbit_lambda_0.05_steps_4/seed_47,orbit,FNO + orbit,47,0.02,4,0.05,150,600,1200,600,0,9600,22.18265010000323,16.53431312502107,18.365333811442056,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/orbit_lambda_0.05_steps_4/seed_59,orbit,FNO + orbit,59,0.02,4,0.05,150,600,1200,600,0,9600,21.67278660000011,14.734114062457593,18.904317657152813,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/orbit_lambda_0.05_steps_4/seed_71,orbit,FNO + orbit,71,0.02,4,0.05,150,600,1200,600,0,9600,23.5503483999928,14.56306968748322,17.938581148783367,rng_file_mtime
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23,aug,FNO + aug.,23,0.02,6,0.05,150,900,1800,900,14400,0,19.11699529999896,15.727251562498168,18.978923483689627,rng_file_mtime
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31,aug,FNO + aug.,31,0.02,6,0.05,150,900,1800,900,14400,0,18.20374289999745,17.83517718749863,18.600867585341135,rng_file_mtime
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47,aug,FNO + aug.,47,0.02,6,0.05,150,900,1800,900,14400,0,19.01342250000016,14.519978750013252,18.693622859319053,rng_file_mtime
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59,aug,FNO + aug.,59,0.02,6,0.05,150,900,1800,900,14400,0,19.791790599992964,14.0714009374733,23.13378535906474,rng_file_mtime
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71,aug,FNO + aug.,71,0.02,6,0.05,150,900,1800,900,14400,0,27.361354399996344,31.628176562480803,23.45646766026815,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_23,aug_orbit,FNO + aug. + orbit,23,0.02,4,0.1,150,600,1800,600,9600,9600,25.0394590000069,20.235002812523817,19.51614433924357,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_31,aug_orbit,FNO + aug. + orbit,31,0.02,4,0.1,150,600,1800,600,9600,9600,24.81355639999674,20.40575281248493,21.48692275683085,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_47,aug_orbit,FNO + aug. + orbit,47,0.02,4,0.1,150,600,1800,600,9600,9600,19.699127100000624,13.967314374986016,25.29923955599467,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_59,aug_orbit,FNO + aug. + orbit,59,0.02,4,0.1,150,600,1800,600,9600,9600,28.667046999995364,15.312148125030944,18.715242604414623,rng_file_mtime
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_71,aug_orbit,FNO + aug. + orbit,71,0.02,4,0.1,150,600,1800,600,9600,9600,19.617711099999724,14.441020625008605,20.062833042939506,rng_file_mtime
