run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.smoothness,config.dataset.amplitude,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes1,config.model.modes2,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_orbit,config.training.lambda_aug,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.eval_every,config.training.eval_orbit_samples,config.training.data_fraction,config.training.num_workers,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.stop_after_epochs,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,config.runtime.resume,data_fraction,lambda_orbit
runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug\seed_23,0.02626639255322516,7c855735feb6,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,7c855735feb6,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.006699758840294834,0.011666346637994736,0.0003645733324373355,22.369341500045266,309.41229999880306,19.33826874992519,20,5,aug,fno2d,16,256,0.026287612912710756,0.004193463662079085,0.0001310457394399714,2668513,2668513,0.02631818817462772,0.00416964841760685,0.0002606030261004281,23,runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.1,0,1.0,20,5,20,False,auto,runs/ablations/2d_low_label_aug_orbit/fraction_0.1/aug/seed_23,False,True,0.1,0.05
runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug\seed_31,0.028971905121579766,e402aabbf5f8,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,e402aabbf5f8,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.36938732606358826,0.33956640234179225,0.010611450073181008,0.005757914301323552,0.011798800201391877,0.00036871250629349616,20.892518599983305,222.1622600016417,13.885141250102606,20,5,aug,fno2d,16,256,0.02930266209295951,0.004641475833100213,0.00014504611978438165,2668513,2668513,0.029295993852429092,0.004652160816725185,0.00029076005104532404,31,runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug\seed_31\config.yaml,31,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.1,0,1.0,20,5,20,False,auto,runs/ablations/2d_low_label_aug_orbit/fraction_0.1/aug/seed_31,False,True,0.1,0.05
runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug\seed_47,0.02622307394631207,3d23812ab8e7,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,3d23812ab8e7,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.0047280496595867305,0.010272200764172372,0.0003210062738803866,20.505212099989876,264.6685050014639,16.541781562591495,20,5,aug,fno2d,16,256,0.026361136988271028,0.004274219963299314,0.00013356937385310355,2668513,2668513,0.02637934614904225,0.004251218888315019,0.0002657011805196887,47,runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug\seed_47\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.1,0,1.0,20,5,20,False,auto,runs/ablations/2d_low_label_aug_orbit/fraction_0.1/aug/seed_47,False,True,0.1,0.05
runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug_orbit_lambda_0.05\seed_23,0.026021102908998728,817269de816f,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,817269de816f,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.0066443180144020175,0.011571427443321864,0.00036160710760380825,16.632066699967254,185.36304500012193,11.58519031250762,20,5,aug_orbit,fno2d,16,256,0.025964521017158404,0.004111131407674908,0.00012847285648984088,2668513,2668513,0.025974330957978964,0.004113964471478636,0.00025712277946741475,23,runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug_orbit_lambda_0.05\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.1,0,1.0,20,5,20,False,auto,runs/ablations/2d_low_label_aug_orbit/fraction_0.1/aug_orbit_lambda_0.05/seed_23,False,True,0.1,0.05
runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug_orbit_lambda_0.05\seed_31,0.029395497869700193,71f2310ac7d2,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,71f2310ac7d2,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.36938732606358826,0.33956640234179225,0.010611450073181008,0.005841385441897273,0.01197607265116221,0.00037425227034881906,17.564689999970142,214.72451000008732,13.420281875005458,20,5,aug_orbit,fno2d,16,256,0.029725244181463495,0.00475238753856206,0.00014851211058006437,2668513,2668513,0.02973193151410669,0.004770326247006751,0.00029814539043792194,31,runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug_orbit_lambda_0.05\seed_31\config.yaml,31,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.1,0,1.0,20,5,20,False,auto,runs/ablations/2d_low_label_aug_orbit/fraction_0.1/aug_orbit_lambda_0.05/seed_31,False,True,0.1,0.05
runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug_orbit_lambda_0.05\seed_47,0.02636135066859424,be6870521183,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,be6870521183,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.0047397440976304495,0.01029941076318778,0.00032185658634961814,25.38884810003219,247.99903499952052,15.499939687470032,20,5,aug_orbit,fno2d,16,256,0.02651958286878653,0.004341348960283042,0.00013566715500884508,2668513,2668513,0.026515387115068734,0.004322563796965491,0.00027016023731034317,47,runs\ablations\2d_low_label_aug_orbit\fraction_0.1\aug_orbit_lambda_0.05\seed_47\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.1,0,1.0,20,5,20,False,auto,runs/ablations/2d_low_label_aug_orbit/fraction_0.1/aug_orbit_lambda_0.05/seed_47,False,True,0.1,0.05
runs\ablations\2d_low_label_aug_orbit\fraction_0.25\aug\seed_23,0.010566936922259629,0ed8811efa50,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,0ed8811efa50,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.003018877521702379,0.005272222868690837,0.00016475696464658866,18.073081700014882,223.056505000568,13.9410315625355,20,5,aug,fno2d,16,256,0.010665666704881005,0.0019927359110791906,6.227299722122471e-05,2668513,2668513,0.010708152898587286,0.00204272488896127,0.00012767030556007938,23,runs\ablations\2d_low_label_aug_orbit\fraction_0.25\aug\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.25,0,1.0,20,5,20,False,auto,runs/ablations/2d_low_label_aug_orbit/fraction_0.25/aug/seed_23,False,True,0.25,0.05
runs\ablations\2d_low_label_aug_orbit\fraction_0.25\aug\seed_31,0.012222066055983305,5e6f110d45d9,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,5e6f110d45d9,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.36938732606358826,0.33956640234179225,0.010611450073181008,0.0027016131972104063,0.005541155010094971,0.00017316109406546784,18.073095400002785,222.3455900006229,13.896599375038932,20,5,aug,fno2d,16,256,0.01232191851886455,0.0021729259105800476,6.790393470562649e-05,2668513,2668513,0.012304616335313767,0.0021575261849654703,0.0001348453865603419,31,runs\ablations\2d_low_label_aug_orbit\fraction_0.25\aug\seed_31\config.yaml,31,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.25,0,1.0,20,5,20,False,auto,runs/ablations/2d_low_label_aug_orbit/fraction_0.25/aug/seed_31,False,True,0.25,0.05
runs\ablations\2d_low_label_aug_orbit\fraction_0.25\aug\seed_47,0.011294261901639402,12cd396582c9,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,12cd396582c9,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.0022560263781006284,0.0049000127618105994,0.00015312539880658123,17.633869000012055,228.69195000093896,14.293246875058685,20,5,aug,fno2d,16,256,0.011302588711259887,0.002136682530923657,6.677132909136428e-05,2668513,2668513,0.01128815655829385,0.0021578799244066854,0.00013486749527541784,47,runs\ablations\2d_low_label_aug_orbit\fraction_0.25\aug\seed_47\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.25,0,1.0,20,5,20,False,auto,runs/ablations/2d_low_label_aug_orbit/fraction_0.25/aug/seed_47,False,True,0.25,0.05
runs\ablations\2d_low_label_aug_orbit\fraction_0.25\aug_orbit_lambda_0.05\seed_23,0.010765096405521035,eff13eede96b,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,eff13eede96b,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.0030523236936979004,0.005325937519940484,0.00016643554749814013,18.4840723000234,213.99518999969587,13.374699374980992,20,5,aug_orbit,fno2d,16,256,0.010818693888722919,0.001990398499280115,6.21999531025036e-05,2668513,2668513,0.010853839805349708,0.002045553763266518,0.00012784711020415737,23,runs\ablations\2d_low_label_aug_orbit\fraction_0.25\aug_orbit_lambda_0.05\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.25,0,1.0,20,5,20,False,auto,runs/ablations/2d_low_label_aug_orbit/fraction_0.25/aug_orbit_lambda_0.05/seed_23,False,True,0.25,0.05
