severity,severity_scale,method,relative_l2,relative_l2,relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,equivariance_defect_relative,equivariance_defect_relative,epsilon_mean,epsilon_mean,epsilon_mean
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
1.5x,1.5,mixed_semi_aug_orbit,0.10376379297425349,0.004463853984965441,3,0.10359618444150935,0.004517094070593744,3,0.015058566419429079,0.004052327148599538,3,0.45030536719908315,0.03987678285611372,3
1.5x,1.5,split_semi_aug_orbit,0.1691986129929622,0.020895688666998907,3,0.16905185176680484,0.02095594053085532,3,0.02232118336201694,0.007443544515241291,3,0.45030536719908315,0.03987678285611372,3
1.5x,1.5,update_aug,0.11226896429434419,0.005565277692490972,3,0.11211667698808014,0.005579932759128349,3,0.016233526363063078,0.003999499422307462,3,0.45030536719908315,0.03987678285611372,3
1.5x,1.5,update_aug_orbit,0.10703506087884307,0.013709987391513427,3,0.10690183111000806,0.01377408518160902,3,0.015641754734253038,0.005416767882818276,3,0.45030536719908315,0.03987678285611372,3
2x,2.0,mixed_semi_aug_orbit,0.10376379297425349,0.004463853984965441,3,0.10359618506239106,0.0045170929961852405,3,0.015058737660112342,0.004052482432098916,3,0.52401826546217,0.033456292772843246,3
2x,2.0,split_semi_aug_orbit,0.1691986129929622,0.020895688666998907,3,0.1690518520772457,0.0209559413749391,3,0.02232150243858892,0.007443580402735859,3,0.52401826546217,0.033456292772843246,3
2x,2.0,update_aug,0.11226896429434419,0.005565277692490972,3,0.11211667663883418,0.0055799316909283395,3,0.016233692805410982,0.0039996545504409255,3,0.52401826546217,0.033456292772843246,3
2x,2.0,update_aug_orbit,0.10703506087884307,0.013709987391513427,3,0.10690183041151613,0.013774084858927981,3,0.01564192400199005,0.005416949796328395,3,0.52401826546217,0.033456292772843246,3
3x,3.0,mixed_semi_aug_orbit,0.10376379297425349,0.004463853984965441,3,0.10359618467434,0.004517093473064271,3,0.015058472238750417,0.004052362170030889,3,0.6714440677314997,0.020639746240867902,3
3x,3.0,split_semi_aug_orbit,0.1691986129929622,0.020895688666998907,3,0.1690518509130925,0.020955939390176752,3,0.022321085880458707,0.007443376586492256,3,0.6714440677314997,0.020639746240867902,3
3x,3.0,update_aug,0.11226896429434419,0.005565277692490972,3,0.1121166772597159,0.005579932082409923,3,0.016233413588243668,0.00399956122286325,3,0.6714440677314997,0.020639746240867902,3
3x,3.0,update_aug_orbit,0.10703506087884307,0.013709987391513427,3,0.1069018308383723,0.013774086112773748,3,0.015641632187145166,0.005416845138304482,3,0.6714440677314997,0.020639746240867902,3
train_radius,1.0,mixed_semi_aug_orbit,0.10376379297425349,0.004463853984965441,3,0.1035961836654072,0.004517093358411931,3,0.01505868114389249,0.004052472078702015,3,0.3765924660644184,0.04630090141932781,3
train_radius,1.0,split_semi_aug_orbit,0.1691986129929622,0.020895688666998907,3,0.1690518520772457,0.020955941265432126,3,0.022321445827747272,0.007443499545459503,3,0.3765924660644184,0.04630090141932781,3
train_radius,1.0,update_aug,0.11226896429434419,0.005565277692490972,3,0.1121166767552495,0.005579931778422828,3,0.01623362246733251,0.003999633695112995,3,0.3765924660644184,0.04630090141932781,3
train_radius,1.0,update_aug_orbit,0.10703506087884307,0.013709987391513427,3,0.10690183006227016,0.01377408537400101,3,0.015641885630344632,0.005416929182424967,3,0.3765924660644184,0.04630090141932781,3
