severity_scale,severity,method,compared_to,rel_delta_pct,ood_delta_pct,defect_delta_pct
1.0,train_radius,mixed_semi_aug_orbit,update_aug,-7.575710147099968,-7.599666112511061,-7.237702649574274
1.0,train_radius,split_semi_aug_orbit,update_aug,50.70826925004954,50.78207539658499,37.50132401234267
1.0,train_radius,update_aug_orbit,update_aug,-4.661932572726846,-4.651267629313804,-3.64513119717208
1.0,train_radius,mixed_semi_aug_orbit,update_aug_orbit,-3.0562582743727584,-3.0922261994368316,-3.7284794188799264
1.0,train_radius,split_semi_aug_orbit,update_aug_orbit,58.077747238808364,58.137472463075035,42.703036930819984
1.5,1.5x,mixed_semi_aug_orbit,update_aug,-7.575710147099968,-7.59966561216997,-7.237860199663359
1.5,1.5x,split_semi_aug_orbit,update_aug,50.70826925004954,50.782074806567714,37.500521222581604
1.5,1.5x,update_aug_orbit,update_aug,-4.661932572726846,-4.651266892816064,-3.6453670975427843
1.5,1.5x,mixed_semi_aug_orbit,update_aug_orbit,-3.0562582743727584,-3.092226423228439,-3.728407232641706
1.5,1.5x,split_semi_aug_orbit,update_aug_orbit,58.077747238808364,58.1374706227819,42.70255314218014
2.0,2x,mixed_semi_aug_orbit,update_aug,-7.575710147099968,-7.599664770559067,-7.23775643276332
2.0,2x,split_semi_aug_orbit,update_aug,50.70826925004954,50.782075553148175,37.501076964748115
2.0,2x,update_aug_orbit,update_aug,-4.661932572726846,-4.651267218807109,-3.6453123175008817
2.0,2x,mixed_semi_aug_orbit,update_aug_orbit,-3.0562582743727584,-3.092225209241073,-3.72835427280922
2.0,2x,split_semi_aug_orbit,update_aug_orbit,58.077747238808364,58.137471946443384,42.70304877935109
3.0,3x,mixed_semi_aug_orbit,update_aug,-7.575710147099968,-7.599665628368902,-7.23779593926035
3.0,3x,split_semi_aug_orbit,update_aug,50.70826925004954,50.78207367980367,37.500875950230125
3.0,3x,update_aug_orbit,update_aug,-4.661932572726846,-4.651267366106026,-3.645452620803502
3.0,3x,mixed_semi_aug_orbit,update_aug_orbit,-3.0562582743727584,-3.092225959188888,-3.728255091396404
3.0,3x,split_semi_aug_orbit,update_aug_orbit,58.077747238808364,58.137470226011814,42.70304795175382
