checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,relative_l2,relative_l2_std,relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,num_samples,num_batches,eval_seconds
runs\ablations\2d_semi_supervised_low_label_aug_orbit\fraction_0.01\semi_aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_low_label_ood_severity\scale_1.0\mixed_semi_aug_orbit\seed_23,mixed_semi_aug_orbit,23,train_radius,1.0,0.25,,0.10191039415076375,0.011605736281905997,0.0007253585176191248,0.10172361484728754,0.011791027731476429,0.0003684696166086384,0.01178750394808148,0.026777292042608397,0.0008367903763315124,0.3444450057577342,0.3216826469154639,0.010052582716108246,256,16,24.30701739998767
runs\ablations\2d_semi_supervised_low_label_aug_orbit\fraction_0.01\semi_aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_low_label_ood_severity\scale_1.0\mixed_semi_aug_orbit\seed_31,mixed_semi_aug_orbit,31,train_radius,1.0,0.25,,0.1088557867333293,0.014169459964242286,0.0008855912477651428,0.10874841955956072,0.014049912878591468,0.0004390597774559834,0.01959204125864744,0.033400314184419,0.0010437598182630938,0.42966185905970633,0.37532557126126453,0.011728924101914517,256,16,27.969683700008318
runs\ablations\2d_semi_supervised_low_label_aug_orbit\fraction_0.01\semi_aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_low_label_ood_severity\scale_1.0\mixed_semi_aug_orbit\seed_47,mixed_semi_aug_orbit,47,train_radius,1.0,0.25,,0.10052519803866744,0.01295403717020442,0.0008096273231377762,0.10031651658937335,0.01278471430948084,0.00039952232217127623,0.01379649822494855,0.03008877475184563,0.0009402742109951759,0.35567053337581456,0.3316507511924657,0.010364085974764552,256,16,26.824801800015848
runs\ablations\2d_split_semi_supervised_low_label_aug_orbit\fraction_0.01\semi_aug_orbit_lambda_0.05_unlabeled_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_low_label_ood_severity\scale_1.0\split_semi_aug_orbit\seed_23,split_semi_aug_orbit,23,train_radius,1.0,0.25,,0.16842632740736008,0.01836344378533274,0.0011477152365832962,0.16823084698989987,0.01862539391030373,0.0005820435596969915,0.017789971483139766,0.040411212394508185,0.0012628503873283808,0.3444450057577342,0.3216826469154639,0.010052582716108246,256,16,26.743187900050543
runs\ablations\2d_split_semi_supervised_low_label_aug_orbit\fraction_0.01\semi_aug_orbit_lambda_0.05_unlabeled_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_low_label_ood_severity\scale_1.0\split_semi_aug_orbit\seed_31,split_semi_aug_orbit,31,train_radius,1.0,0.25,,0.19046973809599876,0.02236955756817633,0.0013980973480110207,0.1904062305111438,0.022548862760367022,0.0007046519612614694,0.030912132856087737,0.05268127840753532,0.0016462899502354788,0.42966185905970633,0.37532557126126453,0.011728924101914517,256,16,27.503448300005402
runs\ablations\2d_split_semi_supervised_low_label_aug_orbit\fraction_0.01\semi_aug_orbit_lambda_0.05_unlabeled_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_low_label_ood_severity\scale_1.0\split_semi_aug_orbit\seed_47,split_semi_aug_orbit,47,train_radius,1.0,0.25,,0.14869977347552776,0.017572868643886505,0.0010983042902429066,0.14851847873069346,0.017558133085856326,0.0005486916589330102,0.018262233144014317,0.03980013454241824,0.00124375420445057,0.35567053337581456,0.3316507511924657,0.010364085974764552,256,16,23.084923000016715
runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_low_label_ood_severity\scale_1.0\update_aug\seed_23,update_aug,23,train_radius,1.0,0.25,,0.11529044434428215,0.01273310460354204,0.0007958190377213775,0.11508146487176418,0.012937674273635978,0.0004043023210511243,0.013348412653584774,0.03032695237963441,0.0009477172618635754,0.3444450057577342,0.3216826469154639,0.010052582716108246,256,16,24.412923600000795
runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_low_label_ood_severity\scale_1.0\update_aug\seed_31,update_aug,31,train_radius,1.0,0.25,,0.11566997645422816,0.015146672792836801,0.0009466670495523001,0.11558838828932494,0.014979080145911037,0.0004680962545597199,0.020799325666459367,0.03548654143987621,0.0011089544199961315,0.42966185905970633,0.37532557126126453,0.011728924101914517,256,16,27.052857999980915
runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_low_label_ood_severity\scale_1.0\update_aug\seed_47,update_aug,47,train_radius,1.0,0.25,,0.10584647208452225,0.013552920695892288,0.000847057543493268,0.10568017710465938,0.013434253786641284,0.0004198204308325401,0.014553129081953387,0.03176094846455333,0.0009925296395172916,0.35567053337581456,0.3316507511924657,0.010364085974764552,256,16,26.665601500018965
runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_low_label_ood_severity\scale_1.0\update_aug_orbit\seed_23,update_aug_orbit,23,train_radius,1.0,0.25,,0.0996473478153348,0.011258309235418517,0.0007036443272136573,0.0994932681787759,0.011381977102589678,0.00035568678445592743,0.011601865004521983,0.026382994676915773,0.0008244685836536179,0.3444450057577342,0.3216826469154639,0.010052582716108246,256,16,27.06108030001633
