run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.smoothness,config.dataset.amplitude,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes1,config.model.modes2,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_orbit,config.training.lambda_aug,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.eval_every,config.training.eval_orbit_samples,config.training.data_fraction,config.training.num_workers,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.steps_per_epoch,config.training.stop_after_epochs,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,config.runtime.resume,data_fraction,steps_per_epoch,lambda_orbit
runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_23,0.09775028377771378,2c91fc6e0c5f,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,2c91fc6e0c5f,False,,,66e0bd0ea05b7485767b1129ab3c6bbc0216dcdd,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.018022658723001683,0.0313882479640741,0.0009808827488773156,35.52769499999704,414.2658950004261,25.89161843752663,20,5,aug_orbit,fno2d,16,256,0.09942657593637705,0.011404941319803047,0.0003564044162438452,2668513,2668513,0.0996473478153348,0.011258309235418517,0.0007036443272136573,23,runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,4,25,False,auto,runs/ablations/2d_update_matched_low_label_control/fraction_0.01/aug_orbit_lambda_0.05_steps_4/seed_23,False,True,0.01,4,0.05
runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_31,0.12221551965922117,b3571a4b527b,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,b3571a4b527b,False,,,66e0bd0ea05b7485767b1129ab3c6bbc0216dcdd,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.36938732606358826,0.33956640234179225,0.010611450073181008,0.016532819255957065,0.03395947512377749,0.0010612335976180466,37.07355859997915,439.77503500063904,27.48593968753994,20,5,aug_orbit,fno2d,16,256,0.12280657596420497,0.015888910224266695,0.0004965284445083342,2668513,2668513,0.12285451125353575,0.015935146109727506,0.000995946631857969,31,runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,4,25,False,auto,runs/ablations/2d_update_matched_low_label_control/fraction_0.01/aug_orbit_lambda_0.05_steps_4/seed_31,False,True,0.01,4,0.05
runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_47,0.09758948814123869,89e9b1934051,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,89e9b1934051,False,,,66e0bd0ea05b7485767b1129ab3c6bbc0216dcdd,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.013581294876125583,0.029544340721384597,0.0009232606475432686,38.65301599999657,432.6482250005938,27.040514062537113,20,5,aug_orbit,fno2d,16,256,0.09849143505562097,0.012499040421935337,0.0003905950131854793,2668513,2668513,0.09860332356765866,0.01255396870862117,0.0007846230442888232,47,runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,4,25,False,auto,runs/ablations/2d_update_matched_low_label_control/fraction_0.01/aug_orbit_lambda_0.05_steps_4/seed_47,False,True,0.01,4,0.05
runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_steps_4\seed_23,0.11333439778536558,1350a8a3d8be,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,1350a8a3d8be,False,,,66e0bd0ea05b7485767b1129ab3c6bbc0216dcdd,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.02067221165578559,0.0359966713833578,0.0011248959807299312,40.296090300020296,446.4290850010002,27.901817812562513,20,5,aug,fno2d,16,256,0.11514156637713313,0.012824240884204226,0.00040075752763138207,2668513,2668513,0.11529044434428215,0.01273310460354204,0.0007958190377213775,23,runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,4,25,False,auto,runs/ablations/2d_update_matched_low_label_control/fraction_0.01/aug_steps_4/seed_23,False,True,0.01,4,0.05
runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_steps_4\seed_31,0.11471789609640837,27bdda767135,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,27bdda767135,False,,,66e0bd0ea05b7485767b1129ab3c6bbc0216dcdd,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.36938732606358826,0.33956640234179225,0.010611450073181008,0.015727040889416344,0.03231725851194464,0.00100991432849827,38.59710069996072,449.6239650005009,28.101497812531306,20,5,aug,fno2d,16,256,0.11564606497995555,0.015076538675048141,0.0004711418335952544,2668513,2668513,0.11566997645422816,0.015146672792836801,0.0009466670495523001,31,runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,4,25,False,auto,runs/ablations/2d_update_matched_low_label_control/fraction_0.01/aug_steps_4/seed_31,False,True,0.01,4,0.05
runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_steps_4\seed_47,0.10481133498251438,f0744fd7a4d1,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,f0744fd7a4d1,False,,,66e0bd0ea05b7485767b1129ab3c6bbc0216dcdd,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.01461960831164788,0.03182663107107854,0.0009945822209712044,35.5661381999962,411.80167499987874,25.73760468749242,20,5,aug,fno2d,16,256,0.1056654448620975,0.01349869103814212,0.00042183409494194124,2668513,2668513,0.10584647208452225,0.013552920695892288,0.000847057543493268,47,runs\ablations\2d_update_matched_low_label_control\fraction_0.01\aug_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0,1.0,20,5,4,25,False,auto,runs/ablations/2d_update_matched_low_label_control/fraction_0.01/aug_steps_4/seed_47,False,True,0.01,4,0.05
runs\ablations\2d_update_matched_low_label_control\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23,0.0764953913167119,b42b4df1de49,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,b42b4df1de49,False,,,66e0bd0ea05b7485767b1129ab3c6bbc0216dcdd,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.015725210558755975,0.027357938615495386,0.0008549355817342308,40.80981230002362,463.1315350008663,28.945720937554142,20,5,aug_orbit,fno2d,16,256,0.07702646194957197,0.009830059112278777,0.0003071893472587118,2668513,2668513,0.07688545063138008,0.009647451377899205,0.0006029657111187003,23,runs\ablations\2d_update_matched_low_label_control\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,25,False,auto,runs/ablations/2d_update_matched_low_label_control/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_23,False,True,0.02,4,0.05
runs\ablations\2d_update_matched_low_label_control\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31,0.09935309551656246,4bc3ba9f6118,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,4bc3ba9f6118,False,,,66e0bd0ea05b7485767b1129ab3c6bbc0216dcdd,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.36938732606358826,0.33956640234179225,0.010611450073181008,0.015166516243013461,0.031126774249490584,0.0009727116952965807,40.63056289998349,484.27556499955244,30.267222812472028,20,5,aug_orbit,fno2d,16,256,0.10003448161296546,0.01244431852485613,0.00038888495390175407,2668513,2668513,0.10005427524447441,0.012455587051904644,0.0007784741907440403,31,runs\ablations\2d_update_matched_low_label_control\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,25,False,auto,runs/ablations/2d_update_matched_low_label_control/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_31,False,True,0.02,4,0.05
runs\ablations\2d_update_matched_low_label_control\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47,0.0885074557736516,6cb8447c01dd,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,6cb8447c01dd,False,,,66e0bd0ea05b7485767b1129ab3c6bbc0216dcdd,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.012791907473548747,0.027806308864683653,0.0008689471520213642,38.57239699998172,476.29238000081386,29.768273750050867,20,5,aug_orbit,fno2d,16,256,0.08961862255819142,0.011282891622989446,0.0003525903632184202,2668513,2668513,0.08963507181033492,0.011214816969738799,0.0007009260606086749,47,runs\ablations\2d_update_matched_low_label_control\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,25,False,auto,runs/ablations/2d_update_matched_low_label_control/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_47,False,True,0.02,4,0.05
runs\ablations\2d_update_matched_low_label_control\fraction_0.02\aug_steps_4\seed_23,0.07398908492177725,aa4bc3f24a13,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,aa4bc3f24a13,False,,,66e0bd0ea05b7485767b1129ab3c6bbc0216dcdd,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.014921890269423699,0.02596899401849049,0.0008115310630778278,37.83924830000615,434.26468500110786,27.14154281256924,20,5,aug,fno2d,16,256,0.07453616766724735,0.009865227755974782,0.00030828836737421193,2668513,2668513,0.07442332385107875,0.00972690715853756,0.0006079316974085975,23,runs\ablations\2d_update_matched_low_label_control\fraction_0.02\aug_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0,1.0,20,5,4,25,False,auto,runs/ablations/2d_update_matched_low_label_control/fraction_0.02/aug_steps_4/seed_23,False,True,0.02,4,0.05
