run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.modes,config.dataset.amplitude,config.dataset.mean,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_aug,config.training.lambda_orbit,config.training.eval_every,config.training.eval_orbit_samples,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.data_fraction,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,data_fraction,lambda_orbit
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.01\seed_23,0.029777726624161005,0b35d5a73c4f,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,0b35d5a73c4f,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.02270868473332044,0.03514542227186886,0.0007766114505032246,1.5307278000000224,17.21915500002069,0.5380985937506466,20,5,aug_orbit,fno1d,16,512,0.04327342857141048,0.040151216817667916,0.0008872249276457604,287361,287361,0.03234867053106427,0.03796929777971051,0.001678021746057789,23,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.01\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.01,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.01\seed_23,False,0.05,0.01
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.01\seed_31,0.0289565809071064,18ac01572957,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,18ac01572957,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.027390026562625902,0.03692633781729309,0.0008159644960935374,1.6307841999987431,17.4851050000143,0.5464095312504469,20,5,aug_orbit,fno1d,16,512,0.046656855673063546,0.04042440771071102,0.0008932616505529225,287361,287361,0.032713068067096174,0.036202736205684635,0.0015999500167842092,31,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.01\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.01,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.01\seed_31,False,0.05,0.01
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.01\seed_47,0.03328327415511012,3fcfaa3a75ab,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,3fcfaa3a75ab,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.0261939002816578,0.039399388724437406,0.0008706117169267028,1.6442865999997593,16.658509999979287,0.5205784374993527,20,5,aug_orbit,fno1d,16,512,0.04847248553414829,0.045041544781219536,0.0009952869296849338,287361,287361,0.03601762291509658,0.04274754361813551,0.0018891923732157086,47,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.01\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.01,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.01\seed_47,False,0.05,0.01
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.05\seed_23,0.03052155184559524,c32dec3597f0,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,c32dec3597f0,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.022773208448432003,0.035417466860358626,0.0007826228434190439,1.7468293000001722,15.88635999996768,0.49644874999899,20,5,aug_orbit,fno1d,16,512,0.0442341731977649,0.040189434266308874,0.0008880694219299376,287361,287361,0.03334913868457079,0.03792264806410231,0.0016759601004173526,23,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.05\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.05,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.05\seed_23,False,0.05,0.05
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.05\seed_31,0.030052280519157648,46703a9b4fdf,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,46703a9b4fdf,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.027440180264126868,0.0370888285063096,0.000819555066971139,1.5311581999994814,16.379760000017995,0.5118675000005624,20,5,aug_orbit,fno1d,16,512,0.04767721600364894,0.041387133254919724,0.0009145350805757814,287361,287361,0.0340402158908546,0.03760936029353415,0.0016621146062278799,31,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.05\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.05,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.05\seed_31,False,0.05,0.05
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.05\seed_47,0.03374197194352746,1461a00d55fa,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,1461a00d55fa,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.02568463344584382,0.03889981826912372,0.000859572665156929,1.4885877999986405,16.679170000134036,0.5212240625041886,20,5,aug_orbit,fno1d,16,512,0.048816493508638814,0.045544803234507575,0.0010064074754664784,287361,287361,0.037045984296128154,0.043643645381669274,0.0019287948503174555,47,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.05\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.05,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.05\seed_47,False,0.05,0.05
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.1\seed_23,0.030241206753998995,7d07877390ad,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,7d07877390ad,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.02200872715715918,0.034296145532546514,0.0007578449085820111,1.5144251999990956,16.666889999942214,0.5208403124981942,20,5,aug_orbit,fno1d,16,512,0.043036945222411305,0.03959052191843174,0.0008748352037261789,287361,287361,0.03264790039975196,0.03770734480303502,0.0016664449506728362,23,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.1\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.1,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.1\seed_23,False,0.05,0.1
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.1\seed_31,0.031134348129853606,e7dde5790115,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,e7dde5790115,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.027214130363751643,0.03696558378371678,0.0008168317176245503,1.4767565000001923,17.779814999994414,0.5556192187498254,20,5,aug_orbit,fno1d,16,512,0.04812399478396401,0.042197002827041065,0.0009324308388983953,287361,287361,0.03505303687416017,0.039058509835188084,0.0017261585729689344,31,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.1\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.1,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.1\seed_31,False,0.05,0.1
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.1\seed_47,0.03335068514570594,d2b721aca977,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,d2b721aca977,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.02430626710307826,0.03746479561876661,0.0008278628449311851,3.4781822000004468,16.004890000112937,0.5001528125035293,20,5,aug_orbit,fno1d,16,512,0.04741053353063762,0.044562786353263585,0.0009847077630925005,287361,287361,0.03667622781358659,0.04271549455976703,0.0018877759915592715,47,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.1\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.1,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.1\seed_47,False,0.05,0.1
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.25\seed_23,0.029956641606986523,3918fc6900a5,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,3918fc6900a5,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.020024543021123442,0.03189454767513317,0.0007047765919988842,1.4725446999982523,16.95170999992115,0.5297409374975359,20,5,aug_orbit,fno1d,16,512,0.040689853980438784,0.03824281764471264,0.0008450548652580268,287361,287361,0.031968669150955975,0.037528225862643504,0.0016585289370859744,23,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.25\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.25,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.25\seed_23,False,0.05,0.25
