data_fraction,method,model_name,dataset_kind,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
0.05,aug,fno1d,burgers1d,0.033474337542429566,,1,0.04473491560202092,,1,0.02347632747512729,,1,0.5506592187884962,,1,17.62109500123188,,1
0.05,aug_orbit,fno1d,burgers1d,0.031065433868207037,,1,0.03904102250817232,,1,0.018693823699828194,,1,0.5373468749894528,,1,17.19509999966249,,1
0.05,baseline,fno1d,burgers1d,0.032317668781615794,,1,0.3505025007179938,,1,0.33289048518329833,,1,0.5103170313304872,,1,16.33014500257559,,1
0.05,orbit,fno1d,burgers1d,0.033035342348739505,,1,0.04539504038984887,,1,0.02406108192993761,,1,0.5101335937069962,,1,16.324274998623878,,1
0.1,aug,fno1d,burgers1d,0.02010053733829409,,1,0.02740549619193189,,1,0.014376863410011875,,1,0.3824215624263161,,1,12.237489997642115,,1
0.1,aug_orbit,fno1d,burgers1d,0.02014157932717353,,1,0.025471029613981955,,1,0.012147289970613429,,1,0.3756442187295761,,1,12.020614999346435,,1
0.1,baseline,fno1d,burgers1d,0.02019736892543733,,1,0.347139902994968,,1,0.336139062789105,,1,0.5009796874219319,,1,16.03134999750182,,1
0.1,orbit,fno1d,burgers1d,0.021467503684107214,,1,0.031845362405874766,,1,0.0177682802399457,,1,0.3778989061174798,,1,12.092764995759353,,1
0.25,aug,fno1d,burgers1d,0.009257968398742378,,1,0.013239106519904453,,1,0.007524898720014939,,1,0.5271824998999364,,1,16.869839996797964,,1
0.25,aug_orbit,fno1d,burgers1d,0.009060179261723533,,1,0.012200735225633252,,1,0.006406256612146777,,1,0.5154479687917046,,1,16.494335001334548,,1
0.25,baseline,fno1d,burgers1d,0.009013519273139536,,1,0.34460349503933685,,1,0.339913071893744,,1,0.6266660937399138,,1,20.05331499967724,,1
0.25,orbit,fno1d,burgers1d,0.00956154105369933,,1,0.016791917914815713,,1,0.010799097198961327,,1,0.508574687410146,,1,16.274389997124672,,1
1.0,aug,fno1d,burgers1d,0.0025781953590922058,,1,0.004080569206053042,,1,0.0026036903469881523,,1,0.5432135936644045,,1,17.382834997260943,,1
1.0,aug_orbit,fno1d,burgers1d,0.0028185868577566,,1,0.003932329827875947,,1,0.002267523037099206,,1,0.5058828124674619,,1,16.18824999895878,,1
1.0,baseline,fno1d,burgers1d,0.0022595967675442807,,1,0.3469472629203665,,1,0.3457840403657624,,1,0.49945265618589474,,1,15.982484997948632,,1
1.0,orbit,fno1d,burgers1d,0.0028017884033033624,,1,0.006770745460016769,,1,0.0051338507114757626,,1,0.49116734371636994,,1,15.717354998923838,,1
