run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.modes,config.dataset.amplitude,config.dataset.mean,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_aug,config.training.eval_every,config.training.eval_orbit_samples,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.data_fraction,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,data_fraction,config.training.lambda_orbit,lambda_orbit,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.num_workers
runs\ablations\label_efficiency\0.05\aug,0.030696359230205417,e0318be13af6,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,e0318be13af6,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.02347632747512729,0.036344641679197,0.0008031107059736072,1.520482699968852,17.62109500123188,0.5506592187884962,20,5,aug,fno1d,16,512,0.04473491560202092,0.04061446704199891,0.0008974614081148428,287361,287361,0.033474337542429566,0.03789018590304906,0.0016745254620290572,23,runs\ablations\label_efficiency\0.05\aug\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.05,False,auto,runs/ablations/label_efficiency/0.05/aug,0.05,,,,,
runs\ablations\label_efficiency\0.05\aug_orbit,0.029299945570528507,579fb7294d1e,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,579fb7294d1e,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.018693823699828194,0.030230521376473016,0.0006680064582534047,1.4283366999588907,17.19509999966249,0.5373468749894528,20,5,aug_orbit,fno1d,16,512,0.03904102250817232,0.03614388034537107,0.0007986744653314705,287361,287361,0.031065433868207037,0.03515486728880375,0.001553640315726642,23,runs\ablations\label_efficiency\0.05\aug_orbit\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.05,False,auto,runs/ablations/label_efficiency/0.05/aug_orbit,0.05,0.5,0.5,,,
runs\ablations\label_efficiency\0.05\baseline,0.03008014289662242,edfe4de6d710,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,edfe4de6d710,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.33289048518329833,0.4287374357562747,0.00947384838036855,1.5780205000191927,16.33014500257559,0.5103170313304872,20,5,baseline,fno1d,16,512,0.3505025007179938,0.41700363158024684,0.00921456548968154,287361,287361,0.032317668781615794,0.04082518291704419,0.0018042352302389466,23,runs\ablations\label_efficiency\0.05\baseline\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",baseline,150,32,0.001,0.0001,,10,4,1.0,20,5,0.05,False,auto,runs/ablations/label_efficiency/0.05/baseline,0.05,,,,,
runs\ablations\label_efficiency\0.05\orbit,0.030473062535747886,e54264ef02f4,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,e54264ef02f4,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.02406108192993761,0.03745190045093812,0.0008275778992869332,1.59297990007326,16.324274998623878,0.5101335937069962,20,5,orbit,fno1d,16,512,0.04539504038984887,0.04126117475459171,0.0009117517646467182,287361,287361,0.033035342348739505,0.03727584546072305,0.001647375193733691,23,runs\ablations\label_efficiency\0.05\orbit\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5, 'length': 1.0, 'channel': 0}]","[0.5, 0.5]",orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.05,False,auto,runs/ablations/label_efficiency/0.05/orbit,0.05,0.5,0.5,True,1e-06,0.0
runs\ablations\label_efficiency\0.1\aug,0.017937404685653746,87aed39eea1a,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,87aed39eea1a,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.014376863410011875,0.023835169204966075,0.0005266878054862588,1.1245103999972343,12.237489997642115,0.3824215624263161,20,5,aug,fno1d,16,512,0.02740549619193189,0.0292661286323823,0.0006466961879698532,287361,287361,0.02010053733829409,0.02767253270165547,0.0012229647203716922,23,runs\ablations\label_efficiency\0.1\aug\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.1,False,auto,runs/ablations/label_efficiency/0.1/aug,0.1,,,,,
runs\ablations\label_efficiency\0.1\aug_orbit,0.01830410386901349,8915292b8960,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,8915292b8960,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.012147289970613429,0.021186012487332016,0.00046814915925297946,1.0744344999548048,12.020614999346435,0.3756442187295761,20,5,aug_orbit,fno1d,16,512,0.025471029613981955,0.028225163593618475,0.0006236938930358527,287361,287361,0.02014157932717353,0.028034068250822396,0.0012389424852751881,23,runs\ablations\label_efficiency\0.1\aug_orbit\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.1,False,auto,runs/ablations/label_efficiency/0.1/aug_orbit,0.1,0.5,0.5,,,
runs\ablations\label_efficiency\0.1\baseline,0.018557911622337997,4421534541c3,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,4421534541c3,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.336139062789105,0.43234424817350425,0.00955354842782764,1.4532639000099152,16.03134999750182,0.5009796874219319,20,5,baseline,fno1d,16,512,0.347139902994968,0.42473229891298925,0.0093853465234477,287361,287361,0.02019736892543733,0.02949079593852553,0.0013033213619200058,23,runs\ablations\label_efficiency\0.1\baseline\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",baseline,150,32,0.001,0.0001,,10,4,1.0,20,5,0.1,False,auto,runs/ablations/label_efficiency/0.1/baseline,0.1,,,,,
runs\ablations\label_efficiency\0.1\orbit,0.01921500777825713,57ee3327548e,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,57ee3327548e,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0177682802399457,0.02938573460539554,0.0006493391315507306,1.1411680000601336,12.092764995759353,0.3778989061174798,20,5,orbit,fno1d,16,512,0.031845362405874766,0.033408627479685066,0.000738233345031892,287361,287361,0.021467503684107214,0.029014437101759705,0.0012822690766853028,23,runs\ablations\label_efficiency\0.1\orbit\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5, 'length': 1.0, 'channel': 0}]","[0.5, 0.5]",orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.1,False,auto,runs/ablations/label_efficiency/0.1/orbit,0.1,0.5,0.5,True,1e-06,0.0
runs\ablations\label_efficiency\0.25\aug,0.00933837442426011,ebe424f48f57,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,ebe424f48f57,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.007524898720014939,0.013060251519333795,0.0002885935129163386,1.511764399940148,16.869839996797964,0.5271824998999364,20,5,aug,fno1d,16,512,0.013239106519904453,0.01535479606708146,0.0003392962632115572,287361,287361,0.009257968398742378,0.013950340520746144,0.0006165237738800669,23,runs\ablations\label_efficiency\0.25\aug\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.25,False,auto,runs/ablations/label_efficiency/0.25/aug,0.25,,,,,
runs\ablations\label_efficiency\0.25\aug_orbit,0.00883260922273621,4a3fc7913362,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,4a3fc7913362,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.006406256612146777,0.011522144134880372,0.0002546058203619599,1.5113685000687838,16.494335001334548,0.5154479687917046,20,5,aug_orbit,fno1d,16,512,0.012200735225633252,0.014678799601656762,0.000324358710562809,287361,287361,0.009060179261723533,0.014253974988669737,0.0006299426483344883,23,runs\ablations\label_efficiency\0.25\aug_orbit\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.25,False,auto,runs/ablations/label_efficiency/0.25/aug_orbit,0.25,0.5,0.5,,,
