evidence_scope,source,method,task,rollout_mode,symmetry_scope,uncertainty_scope,seed,training_samples,epochs,rollout_time_steps,trajectory_nmse,orbit_ood_trajectory_nmse,equivariance_defect_relative,latency_ms_per_sample,parameters,train_wall_seconds,dataset_sha256,config_hash,orbit_eval_samples,orbit_eval_seed,metrics_path
local_independent_lpsda_aligned_protocol,Ours (independent protocol),"FNO (AR), local calibration",KdV (40s),FNO (AR),none,sample SD across five training seeds,23,64,20,100,0.11489646911621093,,,12.781707500107586,10856084,13545.291866999934,875998b67d499ad4aa5a4f023d640ef597a59c367d3f99527e8b0ade5b0a8356,de5d65903732,0,,runs\external\lpsda_kdv_faithful\baseline\seed_23\test_metrics.json
local_independent_lpsda_aligned_protocol,Ours (independent protocol),"FNO (AR), local calibration",KdV (40s),FNO (AR),none,sample SD across five training seeds,31,64,20,100,0.1245376467704773,,,11.165266874741064,10856084,15794.775142000057,875998b67d499ad4aa5a4f023d640ef597a59c367d3f99527e8b0ade5b0a8356,4c0d87a74ec1,0,,runs\external\lpsda_kdv_faithful\baseline\seed_31\test_metrics.json
local_independent_lpsda_aligned_protocol,Ours (independent protocol),"FNO (AR), local calibration",KdV (40s),FNO (AR),none,sample SD across five training seeds,47,64,20,100,0.12158741056919098,,,11.620834374480182,10856084,15258.152717899997,875998b67d499ad4aa5a4f023d640ef597a59c367d3f99527e8b0ade5b0a8356,0c318d679932,0,,runs\external\lpsda_kdv_faithful\baseline\seed_47\test_metrics.json
local_independent_lpsda_aligned_protocol,Ours (independent protocol),"FNO (AR), local calibration",KdV (40s),FNO (AR),none,sample SD across five training seeds,59,64,20,100,0.12007436901330948,,,13.300438124861103,10856084,15419.936202800018,875998b67d499ad4aa5a4f023d640ef597a59c367d3f99527e8b0ade5b0a8356,026700f05608,0,,runs\external\lpsda_kdv_faithful\baseline\seed_59\test_metrics.json
local_independent_lpsda_aligned_protocol,Ours (independent protocol),"FNO (AR), local calibration",KdV (40s),FNO (AR),none,sample SD across five training seeds,71,64,20,100,0.12132807075977325,,,10.646500624716282,10856084,17123.559654299985,875998b67d499ad4aa5a4f023d640ef597a59c367d3f99527e8b0ade5b0a8356,e22484193034,0,,runs\external\lpsda_kdv_faithful\baseline\seed_71\test_metrics.json
local_independent_lpsda_aligned_protocol,Ours (independent protocol),FNO (AR) + LOCO (g3 only; lambda=0.05),KdV (40s),FNO (AR),g3 Galilean only,sample SD across five training seeds,23,64,20,100,0.11533856391906738,0.5522795915603638,0.5905296206474304,10.123988750274293,10856084,26013.00071729999,875998b67d499ad4aa5a4f023d640ef597a59c367d3f99527e8b0ade5b0a8356,aab38a0e61c3,4,40123,runs\external\lpsda_kdv_faithful\loco_lambda_0p05\seed_23\test_metrics.json
local_independent_lpsda_aligned_protocol,Ours (independent protocol),FNO (AR) + LOCO (g3 only; lambda=0.05),KdV (40s),FNO (AR),g3 Galilean only,sample SD across five training seeds,31,64,20,100,0.1224915012717247,0.5374116897583008,0.5736277103424072,9.852233749552397,10856084,28702.133104000008,875998b67d499ad4aa5a4f023d640ef597a59c367d3f99527e8b0ade5b0a8356,0097f726862f,4,40123,runs\external\lpsda_kdv_faithful\loco_lambda_0p05\seed_31\test_metrics.json
local_independent_lpsda_aligned_protocol,Ours (independent protocol),FNO (AR) + LOCO (g3 only; lambda=0.05),KdV (40s),FNO (AR),g3 Galilean only,sample SD across five training seeds,47,64,20,100,0.121001236140728,0.5518800616264343,0.5827378630638123,10.069641250447603,10856084,25214.894439999945,875998b67d499ad4aa5a4f023d640ef597a59c367d3f99527e8b0ade5b0a8356,ea6fceb23e7a,4,40123,runs\external\lpsda_kdv_faithful\loco_lambda_0p05\seed_47\test_metrics.json
local_independent_lpsda_aligned_protocol,Ours (independent protocol),FNO (AR) + LOCO (g3 only; lambda=0.05),KdV (40s),FNO (AR),g3 Galilean only,sample SD across five training seeds,59,64,20,100,0.11986158788204193,0.5027480721473694,0.5491819381713867,10.470830625126837,10856084,25351.923856799956,875998b67d499ad4aa5a4f023d640ef597a59c367d3f99527e8b0ade5b0a8356,ed97c3b02d6f,4,40123,runs\external\lpsda_kdv_faithful\loco_lambda_0p05\seed_59\test_metrics.json
local_independent_lpsda_aligned_protocol,Ours (independent protocol),FNO (AR) + LOCO (g3 only; lambda=0.05),KdV (40s),FNO (AR),g3 Galilean only,sample SD across five training seeds,71,64,20,100,0.12099338322877884,0.5262904167175293,0.5659288167953491,10.236300625001604,10856084,28602.566099000003,875998b67d499ad4aa5a4f023d640ef597a59c367d3f99527e8b0ade5b0a8356,5f4adef69aa9,4,40123,runs\external\lpsda_kdv_faithful\loco_lambda_0p05\seed_71\test_metrics.json
