source,method,samples,seeds,trajectory_nmse,trajectory_nmse_std,orbit_ood_trajectory_nmse,orbit_ood_trajectory_nmse_std,equivariance_defect_relative,equivariance_defect_relative_std,latency_ms_per_sample,latency_ms_per_sample_std
LPSDA Table 3,Published FNO(AR),64,,0.0604,0.0036,,,,,,
LPSDA Table 3,Published FNO(AR)+LPSDA,64,,0.0387,0.0025,,,,,,
LPSDA Table 3,Published FNO(NO),64,,0.1699,0.01,,,,,,
LPSDA Table 3,Published FNO(NO)+LPSDA,64,,0.0574,0.0045,,,,,,
ours (0.56M),FNO,64,5.0,0.3739647515118122,0.01941820474323556,0.40956548005342486,0.020260917855142224,0.2597322375047952,0.011769435995276302,2.2239922496373765,0.32500617990082775
ours (0.56M),FNO + aug.,64,5.0,0.3860406182706356,0.020147745144552864,0.41853665802627804,0.021050320355518706,0.25946912639774383,0.012717135561184475,2.312279499892611,0.2775215998025684
ours (0.56M),"FNO + LOCO, \(\lambda=0.20\)",64,5.0,0.3844740688800812,0.022926489878722933,0.4006740843877196,0.02410879627465655,0.2257966652046889,0.016213249660843913,2.0932730002095923,0.06693905966912987
ours (0.56M),"FNO + aug. + LOCO, \(\lambda=0.20\)",64,5.0,0.39211571365594866,0.021373137607816395,0.41469616908580065,0.02253011265694139,0.24439169554971157,0.014896350652757052,2.371382999990601,0.253766277305542
ours (1.09M),FNO,64,5.0,0.27785991616547107,0.017208707619684217,0.32519468953832986,0.01862774398451342,0.24786796127445995,0.009343641866072191,9.695522250549402,4.702037497675036
ours (1.09M),"FNO + LOCO, \(\lambda=0.10\)",64,5.0,0.27986735440790655,0.016607423371337866,0.3116373377852142,0.01684714644168115,0.21869514170102775,0.007471921498750167,6.51823250023881,0.848455300897642
