run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path
runs\ablations\data_fraction\0.05,0.03678105189464986,17f224672443,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,17f224672443,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.05143607880904466,0.07392185826126037,0.0016334577267015005,1.3004777999594808,13.465770002221689,0.42080531256942777,20,5,orbit,fno1d,16,512,0.07527798620867543,0.0698493218032625,0.0015434665346365087,287361,287361,0.040427685366012156,0.04580067803633304,0.0020241231264020534,23,runs\ablations\data_fraction\0.05\config.yaml
runs\ablations\data_fraction\0.1,0.02459825435653329,811ae0478093,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,811ae0478093,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.040318533711860116,0.058078083623530424,0.0012833564615161793,1.307158499956131,13.180855003884062,0.41190171887137694,20,5,orbit,fno1d,16,512,0.056826372689101845,0.05611843456166512,0.0012400539258789662,287361,287361,0.026918207528069615,0.034985225952174626,0.0015461431570078915,23,runs\ablations\data_fraction\0.1\config.yaml
runs\ablations\data_fraction\0.25,0.011472267680801451,989891419bb8,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,989891419bb8,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.027839159387557988,0.04185757013174253,0.0009249303651295822,1.2198484999826178,12.8664750023745,0.4020773438242031,20,5,orbit,fno1d,16,512,0.03479718557355227,0.040625476058678146,0.0008977046753132203,287361,287361,0.011624401435256004,0.018186357649728393,0.0008037310512004242,23,runs\ablations\data_fraction\0.25\config.yaml
runs\ablations\data_fraction\0.5,0.005321345292031765,bd9e7d07662f,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,bd9e7d07662f,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.02159015881815507,0.034895813993900265,0.000771095834690978,1.1691292999312282,12.9763999953866,0.40551249985583127,20,5,orbit,fno1d,16,512,0.024802678053674754,0.034133356865878824,0.0007542477532663536,287361,287361,0.005614971960312687,0.010269785972112186,0.00045386470638843787,23,runs\ablations\data_fraction\0.5\config.yaml
runs\ablations\data_fraction\1.0,0.00259993203508202,6abbd28a4676,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,6abbd28a4676,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.015755130336104095,0.02503261426096884,0.0005531478529611918,1.160810500034131,12.938180001219735,0.4043181250381167,20,5,orbit,fno1d,16,512,0.017266904842472286,0.024367022090056242,0.0005384402049125365,287361,287361,0.002725151483900845,0.004509066681032015,0.00019927447668625353,23,runs\ablations\data_fraction\1.0\config.yaml
runs\ablations\label_efficiency\0.05\aug,0.030696359230205417,e0318be13af6,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,e0318be13af6,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.02347632747512729,0.036344641679197,0.0008031107059736072,1.520482699968852,17.62109500123188,0.5506592187884962,20,5,aug,fno1d,16,512,0.04473491560202092,0.04061446704199891,0.0008974614081148428,287361,287361,0.033474337542429566,0.03789018590304906,0.0016745254620290572,23,runs\ablations\label_efficiency\0.05\aug\config.yaml
runs\ablations\label_efficiency\0.05\aug_orbit,0.029299945570528507,579fb7294d1e,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,579fb7294d1e,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.018693823699828194,0.030230521376473016,0.0006680064582534047,1.4283366999588907,17.19509999966249,0.5373468749894528,20,5,aug_orbit,fno1d,16,512,0.03904102250817232,0.03614388034537107,0.0007986744653314705,287361,287361,0.031065433868207037,0.03515486728880375,0.001553640315726642,23,runs\ablations\label_efficiency\0.05\aug_orbit\config.yaml
runs\ablations\label_efficiency\0.05\baseline,0.03008014289662242,edfe4de6d710,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,edfe4de6d710,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.33289048518329833,0.4287374357562747,0.00947384838036855,1.5780205000191927,16.33014500257559,0.5103170313304872,20,5,baseline,fno1d,16,512,0.3505025007179938,0.41700363158024684,0.00921456548968154,287361,287361,0.032317668781615794,0.04082518291704419,0.0018042352302389466,23,runs\ablations\label_efficiency\0.05\baseline\config.yaml
runs\ablations\label_efficiency\0.05\orbit,0.030473062535747886,e54264ef02f4,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,e54264ef02f4,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.02406108192993761,0.03745190045093812,0.0008275778992869332,1.59297990007326,16.324274998623878,0.5101335937069962,20,5,orbit,fno1d,16,512,0.04539504038984887,0.04126117475459171,0.0009117517646467182,287361,287361,0.033035342348739505,0.03727584546072305,0.001647375193733691,23,runs\ablations\label_efficiency\0.05\orbit\config.yaml
runs\ablations\label_efficiency\0.1\aug,0.017937404685653746,87aed39eea1a,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,87aed39eea1a,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.014376863410011875,0.023835169204966075,0.0005266878054862588,1.1245103999972343,12.237489997642115,0.3824215624263161,20,5,aug,fno1d,16,512,0.02740549619193189,0.0292661286323823,0.0006466961879698532,287361,287361,0.02010053733829409,0.02767253270165547,0.0012229647203716922,23,runs\ablations\label_efficiency\0.1\aug\config.yaml
