run_dir,method,seed,force_mae,orbit_ood_force_mae,equivariance_defect_relative,relative_l2,orbit_ood_relative_l2,latency_ms_per_sample,train_wall_seconds,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.lambda_orbit,dataset_sha256,config_hash
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_steps_24\seed_23,aug,23,20.03110304260254,20.162287914276124,0.7525510153770447,0.9877763214111328,0.9902221326828002,0.012126125002396293,41.78457730001537,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,250cc51b3a45
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_steps_24\seed_31,aug,31,19.814739013671876,19.94567761993408,0.7154269915819168,0.976484748840332,0.9785436441898346,0.0159261874796357,40.904645399947185,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,1d88f61edd9c
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_steps_24\seed_47,aug,47,19.94479931640625,20.042982486724853,0.7346422321796418,0.9830515518188476,0.9848432147502899,0.013619624987768475,40.50042009999743,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,08ec2623331e
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_steps_24\seed_59,aug,59,19.83252764892578,20.020945838928224,0.7448644702434539,0.9779680700302124,0.9826495473384858,0.013235812511993572,40.92098059999989,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,0a854fc61907
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_steps_24\seed_71,aug,71,19.94434049987793,20.09561197280884,0.7386540479660034,0.9834681396484375,0.9878261995315551,0.01315825000347104,40.084624799957965,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,dbc77bba27a5
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_orbit_lambda_0.01_steps_16\seed_23,aug_orbit,23,19.50003448486328,19.611610801696777,0.23507973539829255,0.958364912033081,0.9605498507022857,0.010890000012295786,35.93518829997629,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,6c800739acfa
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_orbit_lambda_0.01_steps_16\seed_31,aug_orbit,31,19.27538478088379,19.37766566467285,0.23803761130571366,0.9469136743545532,0.9491898674964905,0.013163937474018894,34.90974109998206,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,ee8d4b7fcd1e
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_orbit_lambda_0.01_steps_16\seed_47,aug_orbit,47,19.614386428833008,19.695263313293456,0.23392784145474435,0.9644175319671631,0.9659601318836212,0.012365250004222617,36.42388499999652,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,096aa9ec2368
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_orbit_lambda_0.01_steps_16\seed_59,aug_orbit,59,19.377232711791994,19.490324989318847,0.2415008447766304,0.9519198522567749,0.9544691746234893,0.013852374977432191,35.99653939995915,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,2edb44a9004c
runs\appendix\rmd17_ethanol\forward_matched_500_5seed\aug_orbit_lambda_0.01_steps_16\seed_71,aug_orbit,71,19.368989059448243,19.450896953582763,0.24279772490262985,0.9516266584396362,0.9540013711452484,0.015095374983502552,37.79926890000934,False,0.001,0.01,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,6ffd1bcbec00
