run_dir,method,seed,force_mae,orbit_ood_force_mae,equivariance_defect_relative,relative_l2,orbit_ood_relative_l2,latency_ms_per_sample,train_wall_seconds,dataset_sha256,config_hash
runs\appendix\rmd17_ethanol\labels_500\baseline\seed_23,baseline,23,20.228436141967773,20.37401431655884,0.7268715444803238,0.9960219764709473,1.0005453081130982,0.020329375001892913,20.657876899989787,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,7c452ba53fc7
runs\appendix\rmd17_ethanol\labels_500\baseline\seed_31,baseline,31,20.25660530090332,20.363597129821777,0.734094767332077,0.9974280338287353,1.0007527711391448,0.011426062483224086,23.50234399997862,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,19e99c24945a
runs\appendix\rmd17_ethanol\labels_500\baseline\seed_47,baseline,47,20.266007720947265,20.390850128173827,0.7591285240650177,0.9982694263458252,1.002799693584442,0.021487812518898863,20.632234300021082,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,01ba45f13a7d
runs\appendix\rmd17_ethanol\labels_500\aug\seed_23,aug,23,20.15570310974121,20.239203098297118,0.5367009360790252,0.9926135416030883,0.993731633901596,0.010242749995086342,21.734856600000057,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,0104be9496e9
runs\appendix\rmd17_ethanol\labels_500\aug\seed_31,aug,31,20.141486572265624,20.21355994415283,0.5428025815486908,0.9921438465118408,0.9930074756145477,0.011349062515364494,24.141700199979823,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,e4f6ecafe2dd
runs\appendix\rmd17_ethanol\labels_500\aug\seed_47,aug,47,20.1475927734375,20.20601591873169,0.5386228532791137,0.992225492477417,0.9933458380699157,0.009456437510380056,21.782494099985342,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,a18a56c00578
runs\appendix\rmd17_ethanol\labels_500\aug_orbit_no_output_lambda_0.01\seed_23,aug_orbit_no_output,23,20.109652282714844,20.21237735748291,0.5785048494338989,0.9911260051727295,0.9929473850727081,0.019031687479582615,39.76969119999558,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,48a0f25fca05
runs\appendix\rmd17_ethanol\labels_500\aug_orbit_no_output_lambda_0.01\seed_31,aug_orbit_no_output,31,20.098870498657227,20.1848624458313,0.5964713442325592,0.9903873319625854,0.9917483093738556,0.01233000002685003,38.219310399959795,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,73ec130ac240
runs\appendix\rmd17_ethanol\labels_500\aug_orbit_no_output_lambda_0.01\seed_47,aug_orbit_no_output,47,20.10160708618164,20.16114548110962,0.5881908131837845,0.9903062419891357,0.991579454421997,0.011771749996114522,37.83809560001828,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,2a8fbaf827d9
runs\appendix\rmd17_ethanol\labels_500\aug_orbit_shuffle_lambda_0.01\seed_23,aug_orbit_shuffle,23,20.163156295776368,20.24458611679077,0.6689555566310883,0.9942153844833373,0.9947528879642487,0.012562187475850806,38.79144429997541,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,4e3d4bf33e6c
runs\appendix\rmd17_ethanol\labels_500\aug_orbit_shuffle_lambda_0.01\seed_31,aug_orbit_shuffle,31,20.139609588623046,20.207797588348388,0.6920450502634048,0.9929168133735656,0.9935127650499344,0.014400750005734153,40.832216599956155,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,e3e151af7ca1
runs\appendix\rmd17_ethanol\labels_500\aug_orbit_shuffle_lambda_0.01\seed_47,aug_orbit_shuffle,47,20.163311294555665,20.223357883453367,0.6862761925458908,0.99422367477417,0.9947492648363113,0.015052687485876959,36.469039499992505,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,b423838d1d1d
runs\appendix\rmd17_ethanol\labels_500\aug_orbit_lambda_0.01\seed_23,aug_orbit,23,19.50003448486328,19.611610801696777,0.23507973539829255,0.958364912033081,0.9605498507022857,0.009436375003133435,30.880529800022487,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,e27a004137b7
runs\appendix\rmd17_ethanol\labels_500\aug_orbit_lambda_0.01\seed_31,aug_orbit,31,19.27538478088379,19.37766566467285,0.23803761130571366,0.9469136743545532,0.9491898674964905,0.009582875027263071,29.662385100033134,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,0b279e409978
runs\appendix\rmd17_ethanol\labels_500\aug_orbit_lambda_0.01\seed_47,aug_orbit,47,19.614386428833008,19.695263313293456,0.23392784145474435,0.9644175319671631,0.9659601318836212,0.012396249985613395,29.844091900042258,fb5515b3355651459c2ad9078e7cfb5bb63dce96e55e7c36956cbe9ff25e5472,b4ea0551f6e9
